time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.406305663654,0.2535406328,-0.152765030854,peak
0.01,left,0.439427497558,0.281334215865,-0.158093281693,peak
0.02,left,0.473023795116,0.310878265758,-0.162145529358,peak
0.03,left,0.506800149762,0.342076351645,-0.164723798117,peak
0.04,left,0.540461056101,0.374781123906,-0.165679932195,peak
0.05,left,0.573722939217,0.408791298242,-0.164931640975,peak
0.06,left,0.606324589394,0.443856277232,-0.162468312163,peak
0.07,left,0.638034392536,0.479687874763,-0.158346517773,peak
0.08,left,0.668654342935,0.515975415573,-0.152678927362,peak
0.09,left,0.698021255481,0.552400046687,-0.145621208793,peak
0.1,left,0.726006083078,0.588645110604,-0.137360972474,peak
0.11,left,0.752512215141,0.624403097343,-0.128109117798,peak
0.12,left,0.77747318712,0.65938240403,-0.11809078309,peak
0.13,left,0.800849996963,0.693314490933,-0.10753550603,peak
0.14,left,0.822628111203,0.725959605,-0.0966685062029,peak
0.15,left,0.842814061817,0.757110349689,-0.0857037121274,peak
0.16,left,0.861431645255,0.786593412196,-0.0748382330591,peak
0.17,left,0.8785182093,0.814269813429,-0.0642483958712,peak
0.18,left,0.894121656574,0.840034025489,-0.0540876310844,peak
0.19,left,0.908298318764,0.863812257362,-0.0444860614025,peak
0.2,left,0.921111506729,0.885560159935,-0.0355513467943,peak
0.21,left,0.932630523906,0.90526015434,-0.0273703695661,peak
0.22,left,0.942929725335,0.922918547423,-0.0200111779127,peak
0.23,left,0.952087127593,0.938562565495,-0.0135245620979,peak
0.24,left,0.960182535036,0.952237407833,-0.00794512720345,peak
0.25,left,0.967295519229,0.964003394174,-0.00329212505498,peak
0.26,left,0.973503524466,0.973933259105,0.000429734639462,peak
0.27,left,0.978880356767,0.982109629108,0.00322927234055,peak
0.28,left,0.983495349358,0.988622705096,0.0051273557375,peak
0.29,left,0.987413170156,0.993568164717,0.00615499456125,peak
0.3,left,0.990693876106,0.997045289864,0.00635141375753,peak
0.31,left,0.993393023479,0.999155316477,0.00576229299798,peak
0.32,left,0.995561981636,1,0.00443801836427,peak
0.33,left,0.997248353481,0.999680387297,0.00243203381617,peak
0.34,left,0.998496200762,0.998295781882,-0.000200418879883,peak
0.35,left,0.999346179879,0.995942886522,-0.003403293357,peak
0.36,left,0.999835839748,0.992715107163,-0.00712073258433,peak
0.37,left,1,0.988702003329,-0.0112979966712,peak
0.38,left,0.999871127122,0.983988870786,-0.0158822563353,peak
0.39,left,0.999479764138,0.978656441386,-0.0208233227513,peak
0.4,left,0.998854842843,0.972780684862,-0.0260741579809,peak
0.41,left,0.998023650416,0.966432699034,-0.0315909513823,peak
0.42,left,0.997011621162,0.959678675273,-0.0373329458889,peak
0.43,left,0.995842238691,0.952579926508,-0.043262312183,peak
0.44,left,0.994536952905,0.945192967349,-0.0493439855561,peak
0.45,left,0.993114958149,0.937569636194,-0.0555453219551,peak
0.46,left,0.991593008096,0.929757250257,-0.061835757839,peak
0.47,left,0.989985344375,0.921798788435,-0.0681865559398,peak
0.48,left,0.988303563916,0.913733097524,-0.0745704663915,peak
0.49,left,0.986556518853,0.905595114427,-0.0809614044263,peak
0.5,left,0.984750525344,0.897416097365,-0.0873344279785,peak
0.51,left,0.982889847267,0.889223861717,-0.09366598555,peak
0.52,left,0.980977317489,0.881043016964,-0.0999343005248,peak
0.53,left,0.979015137534,0.872895201342,-0.106119936192,peak
0.54,left,0.977005730183,0.864799311813,-0.11220641837,peak
0.55,left,0.974952309488,0.856771728267,-0.118180581221,peak
0.56,left,0.972859138788,0.848826530725,-0.124032608063,peak
0.57,left,0.970731684597,0.840975706031,-0.129755978566,peak
0.58,left,0.968576609301,0.833229340313,-0.135347268988,peak
0.59,left,0.966401431474,0.825595796953,-0.14080563452,peak
0.6,left,0.964213978388,0.818081881962,-0.146132096427,peak
0.61,left,0.962021833854,0.810692999671,-0.151328834183,peak
0.62,left,0.959831782343,0.803433301834,-0.15639848051,peak
0.63,left,0.957649388034,0.796305830137,-0.161343557896,peak
0.64,left,0.955479016372,0.789312650625,-0.166166365747,peak
0.65,left,0.953324212201,0.782454977688,-0.170869234513,peak
0.66,left,0.951188067856,0.775733283719,-0.175454784137,peak
