time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.406305663654,0.205387871917,-0.200917791737,peak
0.01,left,0.439427497558,0.230583819547,-0.208843678011,peak
0.02,left,0.473023795116,0.257796161961,-0.215227633154,peak
0.03,left,0.506800149762,0.287034527002,-0.219765622761,peak
0.04,left,0.540461056101,0.318275045099,-0.222186011002,peak
0.05,left,0.573722939217,0.351452614421,-0.222270324796,peak
0.06,left,0.606324589394,0.386452009557,-0.219872579837,peak
0.07,left,0.638034392536,0.42309769225,-0.214936700286,peak
0.08,left,0.668654342935,0.461143072904,-0.207511270031,peak
0.09,left,0.698021255481,0.500264187554,-0.197757067927,peak
0.1,left,0.726006083078,0.540066794534,-0.185939288544,peak
0.11,left,0.752512215141,0.580109837835,-0.172402377306,peak
0.12,left,0.77747318712,0.619936493582,-0.157536693539,peak
0.13,left,0.800849996963,0.659101221574,-0.141748775389,peak
0.14,left,0.822628111203,0.697187216066,-0.125440895137,peak
0.15,left,0.842814061817,0.733816173257,-0.10899788856,peak
0.16,left,0.861431645255,0.768655507557,-0.0927761376976,peak
0.17,left,0.8785182093,0.801424402779,-0.0770938065209,peak
0.18,left,0.894121656574,0.831897030729,-0.0622246258445,peak
0.19,left,0.908298318764,0.859902636072,-0.048395682692,peak
0.2,left,0.921111506729,0.8853233233,-0.0357881834289,peak
0.21,left,0.932630523906,0.908090285711,-0.0245402381955,peak
0.22,left,0.942929725335,0.928179066616,-0.0147506587194,peak
0.23,left,0.952087127593,0.945604302391,-0.00648282520242,peak
0.24,left,0.960182535036,0.960414280271,0.000231745235052,peak
0.25,left,0.967295519229,0.97268555239,0.00539003316086,peak
0.26,left,0.973503524466,0.982517776774,0.0090142523086,peak
0.27,left,0.978880356767,0.990028899347,0.01114854258,peak
0.28,left,0.983495349358,0.995350745875,0.0118553965165,peak
0.29,left,0.987413170156,0.998625060037,0.0112118898813,peak
0.3,left,0.990693876106,1,0.00930612389395,peak
0.31,left,0.993393023479,0.999627087467,0.00623406398841,peak
0.32,left,0.995561981636,0.997658591525,0.00209660988921,peak
0.33,left,0.997248353481,0.994245323654,-0.0030030298275,peak
0.34,left,0.998496200762,0.9895348156,-0.0089613851611,peak
0.35,left,0.999346179879,0.983669846494,-0.0156763333847,peak
0.36,left,0.999835839748,0.976787282675,-0.0230485570723,peak
0.37,left,1,0.969017195246,-0.0309828047538,peak
0.38,left,0.999871127122,0.960482222751,-0.0393889043704,peak
0.39,left,0.999479764138,0.951297147164,-0.0481826169736,peak
0.4,left,0.998854842843,0.941568652678,-0.0572861901652,peak
0.41,left,0.998023650416,0.931395239086,-0.0666284113299,peak
0.42,left,0.997011621162,0.920867263097,-0.0761443580648,peak
0.43,left,0.995842238691,0.910067083584,-0.0857751551075,peak
0.44,left,0.994536952905,0.899069290803,-0.0954676621017,peak
0.45,left,0.993114958149,0.887941001726,-0.105173956423,peak
0.46,left,0.991593008096,0.876742205883,-0.114850802213,peak
0.47,left,0.989985344375,0.865526148974,-0.124459195401,peak
0.48,left,0.988303563916,0.854339742142,-0.133963821774,peak
0.49,left,0.986556518853,0.843223985727,-0.143332533126,peak
0.5,left,0.984750525344,0.832214398908,-0.152536126436,peak
0.51,left,0.982889847267,0.821341448188,-0.161548399079,peak
0.52,left,0.980977317489,0.810630969098,-0.17034634839,peak
0.53,left,0.979015137534,0.800104577163,-0.178910560371,peak
0.54,left,0.977005730183,0.789780064376,-0.187225665806,peak
0.55,left,0.974952309488,0.779671777404,-0.195280532084,peak
0.56,left,0.972859138788,0.76979097547,-0.203068163317,peak
0.57,left,0.970731684597,0.760146167221,-0.210585517376,peak
0.58,left,0.968576609301,0.750743425789,-0.217833183512,peak
0.59,left,0.966401431474,0.741586681427,-0.224814750046,peak
0.6,left,0.964213978388,0.732677991451,-0.231535986938,peak
0.61,left,0.962021833854,0.724017787739,-0.238004046115,peak
0.62,left,0.959831782343,0.715605103204,-0.244226679139,peak
0.63,left,0.957649388034,0.707437778429,-0.250211609605,peak
0.64,left,0.955479016372,0.699512648521,-0.255966367851,peak
0.65,left,0.953324212201,0.691825710982,-0.261498501219,peak
0.66,left,0.951188067856,0.684372276353,-0.266815791503,peak
0.67,left,0.94907346897,0.677147102666,-0.271926366304,peak
0.68,left,0.94698319774,0.670144514583,-0.276838683157,peak
0.69,left,0.944919724832,0.663358508549,-0.281561216282,peak
0.7,left,0.94288472107,0.656782845435,-0.286101875635,peak
0.71,left,0.940878640494,0.650411131856,-0.290467508638,peak
0.72,left,0.938900552052,0.644236890184,-0.294663661867,peak
0.73,left,0.93694808266,0.638253616637,-0.298694466023,peak
0.74,left,0.935017511872,0.632454828266,-0.302562683606,peak
0.75,left,0.933104219233,0.626834102142,-0.306270117091,peak
0.76,left,0.931203331362,0.621385110241,-0.309818221121,peak
0.77,left,0.92931029343,0.616101651035,-0.313208642395,peak
0.78,left,0.92742134887,0.610977676255,-0.316443672615,peak
0.79,left,0.925533807342,0.606007310931,-0.319526496411,peak
0.8,left,0.923645863289,0.601184866554,-0.322460996735,peak
0.81,left,0.9217560857,0.59650484895,-0.32525123675,peak
0.82,left,0.919862902193,0.591961962292,-0.327900939901,peak
0.83,left,0.917964236446,0.587551110035,-0.330413126411,peak
0.84,left,0.916057463263,0.583267394172,-0.332790069091,peak
0.85,left,0.914139868437,0.579106113818,-0.335033754619,peak
0.86,left,0.912209419407,0.575062763379,-0.337146656029,peak
0.87,left,0.910265379669,0.571133030573,-0.339132349095,peak
0.88,left,0.908308610369,0.567312793593,-0.340995816776,peak
0.89,left,0.906341678162,0.563598116321,-0.342743561842,peak
0.9,left,0.904368665449,0.559985242265,-0.344383423184,peak
0.91,left,0.902394533047,0.556470587862,-0.345923945184,peak
0.92,left,0.900424322732,0.553050734714,-0.347373588018,peak
0.93,left,0.89846255735,0.549722421388,-0.348740135962,peak
0.94,left,0.896512821933,0.546482536069,-0.350030285864,peak
0.95,left,0.894577512269,0.543328110136,-0.351249402133,peak
0.96,left,0.892657871821,0.540256311777,-0.352401560045,peak
0.97,left,0.890754199947,0.537264439459,-0.353489760487,peak
0.98,left,0.888866035478,0.534349915585,-0.354516119893,peak
0.99,left,0.886992391522,0.531510279582,-0.35548211194,peak
1,left,0.885132121511,0.528743180378,-0.356388941133,peak
1.01,left,0.883284223402,0.526046370063,-0.357237853339,peak
1.02,left,0.881447970259,0.523417699465,-0.358030270795,peak
1.03,left,0.879623080009,0.520855114451,-0.358767965558,peak
1.04,left,0.877810006367,0.518356652026,-0.359453354341,peak
1.05,left,0.876010109744,0.515920435941,-0.360089673803,peak
1.06,left,0.87422562299,0.513544672099,-0.360680950891,peak
