time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.401826212093,0.00217284331184,-0.399653368781,rise
0.01,left,0.404656076826,0.00236663889132,-0.402289437935,rise
0.02,left,0.407421963803,0.00260382323828,-0.404818140565,rise
0.03,left,0.410124869749,0.00289073053825,-0.40723413921,rise
0.04,left,0.412771821372,0.00323435780838,-0.409537463564,rise
0.05,left,0.415375524245,0.00364240252414,-0.411733121721,rise
0.06,left,0.417953178627,0.00412329589525,-0.413829882732,rise
0.07,left,0.420525278452,0.00468622536356,-0.415839053089,rise
0.08,left,0.423114299792,0.0053411414715,-0.417773158321,rise
0.09,left,0.425743133213,0.00609876069992,-0.419644372513,rise
0.1,left,0.428433447989,0.00697058442597,-0.421462863563,rise
0.11,left,0.431203759402,0.00796893397159,-0.42323482543,rise
0.12,left,0.434067120962,0.0091069809293,-0.424960140033,rise
0.13,left,0.437029351237,0.0103987544195,-0.426630596818,rise
0.14,left,0.440088637389,0.0118591174534,-0.428229519935,rise
0.15,left,0.443236394985,0.0135037109375,-0.429732684048,rise
0.16,left,0.446459088234,0.015348866116,-0.431110222119,rise
0.17,left,0.449740837264,0.0174114847883,-0.432329352476,rise
0.18,left,0.453066004789,0.0197088858654,-0.433357118924,rise
0.19,left,0.456420729405,0.0222586188159,-0.434162110589,rise
0.2,left,0.459793370247,0.0250782477317,-0.434715122515,rise
0.21,left,0.463174359458,0.0281851133987,-0.43498924606,rise
0.22,left,0.466555434901,0.0315960823433,-0.434959352557,rise
0.23,left,0.469928433578,0.0353272889445,-0.434601144633,rise
0.24,left,0.473284523248,0.0393938749938,-0.433890648254,rise
0.25,left,0.476614228403,0.0438097358678,-0.432804492536,rise
0.26,left,0.479907844747,0.048587284565,-0.431320560182,rise
0.27,left,0.483156025737,0.0537372399052,-0.429418785832,rise
0.28,left,0.486350355681,0.059268443448,-0.427081912233,rise
0.29,left,0.489483343265,0.0651877116995,-0.424295631565,rise
0.3,left,0.49254771076,0.0714997273141,-0.421047983446,rise
0.31,left,0.495535680909,0.0782069661868,-0.417328714722,rise
0.32,left,0.498438695776,0.0853096556566,-0.413129040119,rise
0.33,left,0.501247367872,0.0928057640488,-0.408441603823,rise
0.34,left,0.503951855124,0.1006910253,-0.403260829824,rise
0.35,left,0.506543111618,0.108958999654,-0.397584111963,rise
0.36,left,0.509014536314,0.117601164754,-0.391413371561,rise
0.37,left,0.511363245116,0.126607030118,-0.384756214999,rise
0.38,left,0.513591093666,0.135964273556,-0.37762682011,rise
0.39,left,0.515705538127,0.145658897392,-0.370046640735,rise
0.4,left,0.517719790715,0.155675397731,-0.362044392984,rise
0.41,left,0.519652108542,0.165996942655,-0.353655165887,rise
0.42,left,0.521524278702,0.176605557202,-0.344918721499,rise
0.43,left,0.523359151422,0.187482310595,-0.335876840827,rise
0.44,left,0.525177775482,0.198607501491,-0.326570273991,rise
0.45,left,0.526997394972,0.209960838215,-0.317036556757,rise
0.46,left,0.528830869133,0.221521611362,-0.307309257771,rise
0.47,left,0.5306869806,0.233268857597,-0.297418123003,rise
0.48,left,0.532571077342,0.245181513697,-0.287389563644,rise
0.49,left,0.534485964585,0.257238560242,-0.277247404343,rise
0.5,left,0.536432742586,0.269419154757,-0.267013587829,rise
0.51,left,0.538411137879,0.281702751492,-0.256708386386,rise
0.52,left,0.54041952313,0.294069203498,-0.246350319632,rise
0.53,left,0.542454942897,0.306498848473,-0.235956094425,rise
0.54,left,0.544512899611,0.318972586244,-0.225540313367,rise
0.55,left,0.546587002794,0.331471952627,-0.215115050167,rise
0.56,left,0.548669216615,0.343979185958,-0.204690030657,rise
0.57,left,0.55075072535,0.356477279621,-0.19427344573,rise
0.58,left,0.552822594373,0.368950018745,-0.183872575628,rise
0.59,left,0.55487602799,0.38138200722,-0.17349402077,rise
0.6,left,0.556902744586,0.393758692436,-0.16314405215,rise
0.61,left,0.558895519454,0.406066387846,-0.152829131608,rise
0.62,left,0.560848638334,0.418292289276,-0.142556349058,rise
0.63,left,0.562758418532,0.430424481806,-0.132333936726,rise
0.64,left,0.564623729784,0.442451937361,-0.122171792423,rise
0.65,left,0.566445974709,0.454364507706,-0.112081467003,rise
0.66,left,0.56822861329,0.46615291477,-0.10207569852,rise
0.67,left,0.569976801081,0.477808735551,-0.0921680655309,rise
0.68,left,0.571696986651,0.489324380764,-0.0823726058864,rise
0.69,left,0.57339612255,0.500693066878,-0.0727030556716,rise
0.7,left,0.57508094763,0.511908779823,-0.0631721678075,rise
0.71,left,0.576757757242,0.522966229993,-0.053791527249,rise
0.72,left,0.578432353136,0.53386080164,-0.0445715514958,rise
0.73,left,0.58010998762,0.544588502845,-0.035521484775,rise
