time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.406305663654,0.202618513689,-0.203687149966,peak
0.01,left,0.439427497558,0.227479033543,-0.211948464015,peak
0.02,left,0.473023795116,0.254358797556,-0.218664997559,peak
0.03,left,0.506800149762,0.283273990233,-0.22352615953,peak
0.04,left,0.540461056101,0.314208728912,-0.226252327189,peak
0.05,left,0.573722939217,0.347107535909,-0.226615403308,peak
0.06,left,0.606324589394,0.381866678157,-0.224457911238,peak
0.07,left,0.638034392536,0.418324250809,-0.219710141728,peak
0.08,left,0.668654342935,0.456249456429,-0.212404886506,peak
0.09,left,0.698021255481,0.495334746927,-0.202686508553,peak
0.1,left,0.726006083078,0.535198640234,-0.190807442844,peak
0.11,left,0.752512215141,0.575403787298,-0.177108427843,peak
0.12,left,0.77747318712,0.615484945356,-0.161988241764,peak
0.13,left,0.800849996963,0.65497733845,-0.145872658513,peak
0.14,left,0.822628111203,0.69343984919,-0.129188262014,peak
0.15,left,0.842814061817,0.730471781316,-0.1123422805,peak
0.16,left,0.861431645255,0.765723694909,-0.0957079503452,peak
0.17,left,0.8785182093,0.798903031681,-0.0796151776192,peak
0.18,left,0.894121656574,0.829775109456,-0.0643465471174,peak
0.19,left,0.908298318764,0.85816109715,-0.0501372216145,peak
0.2,left,0.921111506729,0.883935168691,-0.0371763380381,peak
0.21,left,0.932630523906,0.907021398029,-0.0256091258779,peak
0.22,left,0.942929725335,0.927389803702,-0.0155399216329,peak
0.23,left,0.952087127593,0.945051512421,-0.00703561517221,peak
0.24,left,0.960182535036,0.960053434444,-0.000129100592621,peak
0.25,left,0.967295519229,0.972472779656,0.00517726042759,peak
0.26,left,0.973503524466,0.982411661641,0.00890813717587,peak
0.27,left,0.978880356767,0.989991963429,0.0111116066615,peak
0.28,left,0.983495349358,0.995350579697,0.0118552303385,peak
0.29,left,0.987413170156,0.998635104618,0.0112219344618,peak
0.3,left,0.990693876106,1,0.00930612389395,peak
0.31,left,0.993393023479,0.999603252809,0.00621022933002,peak
0.32,left,0.995561981636,0.997603512479,0.00204153084321,peak
0.33,left,0.997248353481,0.994157685201,-0.00309066827977,peak
0.34,left,0.998496200762,0.989418953259,-0.00907724750246,peak
0.35,left,0.999346179879,0.983535182436,-0.0158109974427,peak
0.36,left,0.999835839748,0.976647679466,-0.0231881602819,peak
0.37,left,1,0.96889026165,-0.0311097383498,peak
0.38,left,0.999871127122,0.960388600393,-0.039482526729,peak
0.39,left,0.999479764138,0.95125980096,-0.0482199631778,peak
0.4,left,0.998854842843,0.941612183111,-0.0572426597319,peak
0.41,left,0.998023650416,0.931545230231,-0.0664784201849,peak
0.42,left,0.997011621162,0.921149677752,-0.0758619434098,peak
0.43,left,0.995842238691,0.910507714532,-0.0853345241593,peak
0.44,left,0.994536952905,0.89969327357,-0.0948436793342,peak
0.45,left,0.993114958149,0.888772391241,-0.104342566908,peak
0.46,left,0.991593008096,0.877803617002,-0.113789391094,peak
0.47,left,0.989985344375,0.866838458056,-0.123146886319,peak
0.48,left,0.988303563916,0.855921846069,-0.132381717847,peak
0.49,left,0.986556518853,0.84509261514,-0.141463903713,peak
0.5,left,0.984750525344,0.83438398177,-0.150366543574,peak
0.51,left,0.982889847267,0.823824019365,-0.159065827902,peak
0.52,left,0.980977317489,0.813436121604,-0.167541195885,peak
0.53,left,0.979015137534,0.803239449973,-0.175775687562,peak
0.54,left,0.977005730183,0.793249361567,-0.183756368615,peak
0.55,left,0.974952309488,0.783477814671,-0.191474494817,peak
0.56,left,0.972859138788,0.773933750914,-0.198925387874,peak
0.57,left,0.970731684597,0.764623452783,-0.206108231813,peak
0.58,left,0.968576609301,0.755550875069,-0.213025734233,peak
0.59,left,0.966401431474,0.746717949344,-0.21968348213,peak
0.6,left,0.964213978388,0.738124861922,-0.226089116466,peak
0.61,left,0.962021833854,0.72977030725,-0.232251526604,peak
0.62,left,0.959831782343,0.72165171869,-0.238180063653,peak
0.63,left,0.957649388034,0.713765477423,-0.243883910611,peak
0.64,left,0.955479016372,0.706107099786,-0.249371916585,peak
0.65,left,0.953324212201,0.698671403994,-0.254652808207,peak
0.66,left,0.951188067856,0.691452657477,-0.259735410379,peak
0.67,left,0.94907346897,0.684444706521,-0.26462876245,peak
0.68,left,0.94698319774,0.677641090334,-0.269342107406,peak
0.69,left,0.944919724832,0.671035140949,-0.273884583882,peak
0.7,left,0.94288472107,0.664620069216,-0.278264651854,peak
0.71,left,0.940878640494,0.65838903753,-0.282489602963,peak
0.72,left,0.938900552052,0.65233522077,-0.286565331281,peak
0.73,left,0.93694808266,0.64645185724,-0.29049622542,peak
0.74,left,0.935017511872,0.640732291259,-0.294285220613,peak
0.75,left,0.933104219233,0.635170008147,-0.297934211085,peak
0.76,left,0.931203331362,0.629758662161,-0.301444669201,peak
0.77,left,0.92931029343,0.624492098272,-0.304818195158,peak
0.78,left,0.92742134887,0.619364368419,-0.308056980451,peak
0.79,left,0.925533807342,0.614369742951,-0.311164064391,peak
0.8,left,0.923645863289,0.609502718259,-0.31414314503,peak
0.81,left,0.9217560857,0.604758021309,-0.31699806439,peak
0.82,left,0.919862902193,0.600130611592,-0.319732290601,peak
0.83,left,0.917964236446,0.595615680706,-0.32234855574,peak
0.84,left,0.916057463263,0.59120864965,-0.324848813613,peak
0.85,left,0.914139868437,0.586905164261,-0.327234704175,peak
0.86,left,0.912209419407,0.582701089281,-0.329508330126,peak
0.87,left,0.910265379669,0.578592501201,-0.331672878468,peak
0.88,left,0.908308610369,0.574575680246,-0.333732930123,peak
0.89,left,0.906341678162,0.570647102514,-0.335694575648,peak
0.9,left,0.904368665449,0.566803433012,-0.337565232437,peak
0.91,left,0.902394533047,0.563041518903,-0.339353014144,peak
0.92,left,0.900424322732,0.559358381399,-0.341065941333,peak
0.93,left,0.89846255735,0.555751205852,-0.342711351498,peak
0.94,left,0.896512821933,0.55221733103,-0.344295490903,peak
0.95,left,0.894577512269,0.548754239019,-0.34582327325,peak
0.96,left,0.892657871821,0.54535954663,-0.347298325191,peak
0.97,left,0.890754199947,0.542030998103,-0.348723201844,peak
0.98,left,0.888866035478,0.538766458235,-0.350099577243,peak
0.99,left,0.886992391522,0.535563905358,-0.351428486164,peak
1,left,0.885132121511,0.532421424033,-0.352710697479,peak
1.01,left,0.883284223402,0.529337197812,-0.35394702559,peak
1.02,left,0.881447970259,0.526309502724,-0.355138467535,peak
1.03,left,0.879623080009,0.523336701711,-0.356286378298,peak
1.04,left,0.877810006367,0.520417239702,-0.357392766665,peak
1.05,left,0.876010109744,0.517549638754,-0.35846047099,peak
1.06,left,0.87422562299,0.514732492739,-0.359493130251,peak
1.07,left,0.872459490009,0.511964462143,-0.360495027866,peak
1.08,left,0.870715001065,0.509244270011,-0.361470731054,peak
1.09,left,0.868995282662,0.506570698713,-0.362424583949,peak
1.1,left,0.867302957817,0.503942586173,-0.363360371644,peak
1.11,left,0.865640052625,0.50135882131,-0.364281231315,peak
1.12,left,0.86400791867,0.498818339707,-0.365189578963,peak
1.13,left,0.862407128627,0.496320120201,-0.366087008426,peak
1.14,left,0.860837509821,0.493863182142,-0.366974327679,peak
1.15,left,0.859298278149,0.491446582669,-0.36785169548,peak
1.16,left,0.85778811937,0.489069413257,-0.368718706112,peak
1.17,left,0.856305309978,0.486730795879,-0.369574514099,peak
1.18,left,0.85484799403,0.484429880159,-0.370418113871,peak
1.19,left,0.853414453904,0.482165842324,-0.37124861158,peak
1.2,left,0.852003294936,0.479937885491,-0.372065409445,peak
1.21,left,0.850613646665,0.477745240109,-0.372868406556,peak
1.22,left,0.84924518535,0.475587163797,-0.373658021553,peak
1.23,left,0.847897703219,0.473462940742,-0.374434762477,peak
1.24,left,0.846570463579,0.471371880655,-0.375198582924,peak
1.25,left,0.84526177923,0.469313316935,-0.375948462295,peak
1.26,left,0.843968939587,0.467286604366,-0.376682335221,peak
1.27,left,0.842688491386,0.465291116971,-0.377397374415,peak
1.28,left,0.84141686955,0.463326246404,-0.378090623146,peak
1.29,left,0.840151072809,0.461391401455,-0.378759671353,peak
1.3,left,0.838888980353,0.459486008682,-0.379402971671,peak
1.31,left,0.837629356019,0.457609513096,-0.380019842923,peak
1.32,left,0.836371827523,0.455761378029,-0.380610449494,peak
1.33,left,0.835116814337,0.45394108431,-0.381175730027,peak
1.34,left,0.833865335779,0.452148128729,-0.381717207049,peak
1.35,left,0.83261890114,0.450382021594,-0.382236879547,peak
1.36,left,0.83137947396,0.448642284161,-0.382737189799,peak
1.37,left,0.83014927242,0.446928447176,-0.383220825244,peak
1.38,left,0.828930507692,0.445240050613,-0.383690457079,decay
1.39,left,0.827725321695,0.443576644016,-0.38414867768,decay
1.4,left,0.826535878912,0.441937786953,-0.384598091959,decay
1.41,left,0.825364499016,0.440323049341,-0.385041449675,decay
1.42,left,0.824213878688,0.438732011402,-0.385481867286,decay
1.43,left,0.823087294392,0.437164263006,-0.385923031387,decay
1.44,left,0.821988504681,0.435619402467,-0.386369102214,decay
1.45,left,0.820921358635,0.434097035609,-0.386824323026,decay
1.46,left,0.819889348928,0.432596775811,-0.387292573117,decay
1.47,left,0.818895107437,0.431118244802,-0.387776862635,decay
1.48,left,0.817939805273,0.429661073388,-0.388278731885,decay
1.49,left,0.817022766085,0.428224901548,-0.388797864537,decay
1.5,left,0.816141470508,0.426809377985,-0.389332092523,decay
1.51,left,0.815291706265,0.425414159555,-0.38987754671,decay
1.52,left,0.814467749894,0.424038910965,-0.390428838928,decay
1.53,left,0.813662689294,0.422683304812,-0.390979384482,decay
1.54,left,0.812868800082,0.421347021807,-0.391521778275,decay
1.55,left,0.812077863384,0.420029751029,-0.392048112355,decay
1.56,left,0.811281595917,0.418731189832,-0.392550406085,decay
1.57,left,0.810472321202,0.417451043024,-0.393021278178,decay
1.58,left,0.809643675025,0.416189021667,-0.393454653359,decay
1.59,left,0.808791150572,0.414944842371,-0.393846308201,decay
1.6,left,0.807912519772,0.41371822723,-0.394194292542,decay
1.61,left,0.807008012658,0.41250890383,-0.394499108828,decay
1.62,left,0.806080003795,0.411316605121,-0.394763398674,decay
1.63,left,0.805132343976,0.410141069435,-0.394991274541,decay
1.64,left,0.804169647965,0.408982040721,-0.395187607244,decay
1.65,left,0.803196572931,0.407839268812,-0.395357304119,decay
1.66,left,0.802217174467,0.406712509627,-0.395504664839,decay
1.67,left,0.801234603902,0.405601525142,-0.39563307876,decay
1.68,left,0.800251114825,0.404506082876,-0.395745031949,decay
1.69,left,0.79926810016,0.403425954835,-0.395842145325,decay
1.7,left,0.798286174358,0.402360916149,-0.395925258209,decay
1.71,left,0.797305503644,0.401310743977,-0.395994759667,decay
1.72,left,0.796326234274,0.400275217121,-0.396051017153,decay
1.73,left,0.795348703593,0.399254116292,-0.396094587301,decay
1.74,left,0.794373460664,0.398247224701,-0.396126235963,decay
1.75,left,0.793401242999,0.397254328489,-0.39614691451,decay
1.76,left,0.792432829834,0.396275216834,-0.396157613,decay
1.77,left,0.791468757807,0.395309681761,-0.396159076046,decay
1.78,left,0.790509096236,0.394357517695,-0.396151578541,decay
1.79,left,0.789553336777,0.393418520865,-0.396134815912,decay
1.8,left,0.788600351907,0.392492488727,-0.39610786318,decay
1.81,left,0.787648526975,0.391579219641,-0.396069307334,decay
1.82,left,0.786696079933,0.390678513242,-0.396017566692,decay
1.83,left,0.785741389803,0.38979017161,-0.395951218193,decay
1.84,left,0.784783243021,0.388914000377,-0.395869242644,decay
1.85,left,0.783821022391,0.388049808613,-0.395771213777,decay
1.86,left,0.782854786322,0.387197408052,-0.395657378271,decay
1.87,left,0.781885149141,0.386356613204,-0.395528535937,decay
1.88,left,0.780913112577,0.385527242554,-0.395385870023,decay
1.89,left,0.779940109103,0.384709119811,-0.395230989292,decay
1.9,left,0.778968178452,0.383902074538,-0.395066103914,decay
1.91,left,0.778000057401,0.38310594208,-0.394894115322,decay
1.92,left,0.777039204203,0.382320562826,-0.394718641376,decay
1.93,left,0.776089757387,0.381545781176,-0.394543976211,decay
1.94,left,0.775156298584,0.380781444708,-0.394374853876,decay
1.95,left,0.774243490805,0.380027403736,-0.394216087069,decay
1.96,left,0.773355731443,0.379283511238,-0.394072220204,decay
1.97,left,0.772496743317,0.378549623127,-0.39394712019,decay
1.98,left,0.771669119438,0.377825598459,-0.393843520979,decay
1.99,left,0.770874088551,0.377111299246,-0.393762789304,decay
2,left,0.770111593549,0.376406589836,-0.393705003713,decay
2.01,left,0.769380481919,0.375711336188,-0.393669145731,decay
2.02,left,0.768678732128,0.375025405497,-0.393653326631,decay
2.03,left,0.768003822248,0.374348666104,-0.393655156144,decay
2.04,left,0.767353121384,0.373680987376,-0.393672134008,decay
2.05,left,0.766724088247,0.373022239284,-0.393701848963,decay
2.06,left,0.766114377311,0.372372291644,-0.393742085668,decay
2.07,left,0.765521927924,0.371731013274,-0.393790914651,decay
2.08,left,0.764944816109,0.37109827154,-0.393846544569,decay
2.09,left,0.764380834905,0.370473932846,-0.393906902059,decay
2.1,left,0.763827025531,0.369857864015,-0.393969161516,decay
2.11,left,0.76327919327,0.369249933856,-0.394029259414,decay
2.12,left,0.762731407253,0.368650014285,-0.394081392968,decay
2.13,left,0.762175790232,0.368057980606,-0.394117809627,decay
2.14,left,0.761602857001,0.367473710782,-0.394129146218,decay
2.15,left,0.761002256642,0.366897084319,-0.394105172322,decay
2.16,left,0.760363721947,0.366327981742,-0.394035740205,decay
2.17,left,0.759678217353,0.365766285099,-0.393911932253,decay
2.18,left,0.75893904856,0.365211878969,-0.393727169591,decay
2.19,left,0.758142482454,0.364664651189,-0.393477831265,decay
2.2,left,0.757287845039,0.364124493095,-0.393163351944,decay
2.21,left,0.756377351385,0.363591299444,-0.392786051942,decay
2.22,left,0.755415697313,0.363064967755,-0.392350729559,decay
2.23,left,0.754409484796,0.362545396981,-0.391864087815,decay
2.24,left,0.753366751776,0.36203248621,-0.391334265566,decay
2.25,left,0.752296632364,0.361526133915,-0.390770498449,decay
2.26,left,0.751208932366,0.361026237788,-0.390182694578,decay
2.27,left,0.750113608117,0.3605326953,-0.389580912817,decay
2.28,left,0.749020299027,0.360045404839,-0.388974894188,decay
2.29,left,0.747937927167,0.359564266763,-0.388373660404,decay
2.3,left,0.746874410925,0.359089183849,-0.387785227076,decay
2.31,left,0.745836711169,0.358620061054,-0.387216650114,decay
2.32,left,0.744831115062,0.358156805098,-0.386674309964,decay
