time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.406305663654,0.235399433246,-0.170906230409,peak
0.01,left,0.439427497558,0.262430469718,-0.176997027839,peak
0.02,left,0.473023795116,0.291368552738,-0.181655242378,peak
0.03,left,0.506800149762,0.322166125532,-0.18463402423,peak
0.04,left,0.540461056101,0.354731130187,-0.185729925914,peak
0.05,left,0.573722939217,0.388918054574,-0.184804884643,peak
0.06,left,0.606324589394,0.424520123819,-0.181804465576,peak
0.07,left,0.638034392536,0.461267643716,-0.17676674882,peak
0.08,left,0.668654342935,0.498836614697,-0.169817728238,peak
0.09,left,0.698021255481,0.536865905011,-0.16115535047,peak
0.1,left,0.726006083078,0.574977386487,-0.151028696591,peak
0.11,left,0.752512215141,0.612794617379,-0.139717597762,peak
0.12,left,0.77747318712,0.649957676983,-0.127515510138,peak
0.13,left,0.800849996963,0.686132707729,-0.114717289234,peak
0.14,left,0.822628111203,0.721017041554,-0.10161106965,peak
0.15,left,0.842814061817,0.754342899232,-0.0884711625846,peak
0.16,left,0.861431645255,0.785880973624,-0.0755506716305,peak
0.17,left,0.8785182093,0.815442886764,-0.0630753225361,peak
0.18,left,0.894121656574,0.842881814186,-0.0512398423871,peak
0.19,left,0.908298318764,0.868091491378,-0.0402068273858,peak
0.2,left,0.921111506729,0.891004018823,-0.0301074879061,peak
0.21,left,0.932630523906,0.911586839751,-0.0210436841552,peak
0.22,left,0.942929725335,0.929839198496,-0.0130905268394,peak
0.23,left,0.952087127593,0.945788324968,-0.00629880262496,peak
0.24,left,0.960182535036,0.95948553579,-0.000696999246694,peak
0.25,left,0.967295519229,0.971002392962,0.00370687373345,peak
0.26,left,0.973503524466,0.980427021826,0.00692349735992,peak
0.27,left,0.978880356767,0.987860660805,0.00898030403827,peak
0.28,left,0.983495349358,0.993414489704,0.00991914034638,peak
0.29,left,0.987413170156,0.997206761518,0.0097935913617,peak
0.3,left,0.990693876106,0.999360248052,0.00866637194556,peak
0.31,left,0.993393023479,1,0.00660697652094,peak
0.32,left,0.995561981636,0.99925141351,0.00368943187406,peak
0.33,left,0.997248353481,0.997238588126,-9.76535559694e-06,peak
0.34,left,0.998496200762,0.9940829574,-0.00441324336176,peak
0.35,left,0.999346179879,0.989902170852,-0.00944400902652,peak
0.36,left,0.999835839748,0.984809203485,-0.0150266362627,peak
0.37,left,1,0.978911669346,-0.021088330654,peak
0.38,left,0.999871127122,0.972311317129,-0.0275598099929,peak
0.39,left,0.999479764138,0.965103686181,-0.0343760779572,peak
0.4,left,0.998854842843,0.957377901419,-0.0414769414242,peak
0.41,left,0.998023650416,0.94921658629,-0.0488070641262,peak
