time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.401826212093,0.00546490095859,-0.396361311134,rise
0.01,left,0.404656076826,0.00564272667103,-0.399013350155,rise
0.02,left,0.407421963803,0.00583132349997,-0.401590640303,rise
0.03,left,0.410124869749,0.00603008365233,-0.404094786096,rise
0.04,left,0.412771821372,0.00623815737434,-0.406533663998,rise
0.05,left,0.415375524245,0.0064545001158,-0.408921024129,rise
0.06,left,0.417953178627,0.00667791121529,-0.411275267412,rise
0.07,left,0.420525278452,0.00690708634449,-0.413618192108,rise
0.08,left,0.423114299792,0.00714070900418,-0.415973590788,rise
0.09,left,0.425743133213,0.00737754848096,-0.418365584732,rise
0.1,left,0.428433447989,0.00761653501778,-0.420816912971,rise
0.11,left,0.431203759402,0.0078568138835,-0.423346945518,rise
0.12,left,0.434067120962,0.00809778385923,-0.425969337103,rise
0.13,left,0.437029351237,0.00833911955919,-0.428690231678,rise
0.14,left,0.440088637389,0.00858078190061,-0.431507855488,rise
0.15,left,0.443236394985,0.00882302809408,-0.434413366891,rise
0.16,left,0.446459088234,0.00906642432263,-0.437392663912,rise
0.17,left,0.449740837264,0.00931185228509,-0.440428984979,rise
0.18,left,0.453066004789,0.00956050411024,-0.443505500679,rise
0.19,left,0.456420729405,0.00981387165397,-0.446606857751,rise
0.2,left,0.459793370247,0.0100737365501,-0.449719633697,rise
0.21,left,0.463174359458,0.0103421587967,-0.452832200662,rise
0.22,left,0.466555434901,0.0106214604482,-0.455933974453,rise
0.23,left,0.469928433578,0.0109142068178,-0.45901422676,rise
0.24,left,0.473284523248,0.0112231885597,-0.462061334688,rise
0.25,left,0.476614228403,0.0115514054661,-0.465062822937,rise
0.26,left,0.479907844747,0.0119020533526,-0.468005791394,rise
0.27,left,0.483156025737,0.0122785125448,-0.470877513192,rise
0.28,left,0.486350355681,0.0126843323716,-0.473666023309,rise
0.29,left,0.489483343265,0.0131232115155,-0.476360131749,rise
0.3,left,0.49254771076,0.0135989783948,-0.478948732366,rise
0.31,left,0.495535680909,0.0141155718273,-0.481420109081,rise
0.32,left,0.498438695776,0.0146770218246,-0.483761673951,rise
0.33,left,0.501247367872,0.0152874313477,-0.485959936524,rise
0.34,left,0.503951855124,0.0159509549993,-0.488000900125,rise
0.35,left,0.506543111618,0.0166717695312,-0.489871342087,rise
0.36,left,0.509014536314,0.0174540394537,-0.491560496861,rise
0.37,left,0.511363245116,0.0183018846333,-0.493061360483,rise
0.38,left,0.513591093666,0.019219350288,-0.494371743377,rise
0.39,left,0.515705538127,0.020210379167,-0.49549515896,rise
0.4,left,0.517719790715,0.021278788634,-0.496441002081,rise
0.41,left,0.519652108542,0.0224282517269,-0.497223856815,rise
0.42,left,0.521524278702,0.0236622810969,-0.497861997605,rise
0.43,left,0.523359151422,0.0249842184496,-0.498374932973,rise
0.44,left,0.525177775482,0.026397230859,-0.498780544623,rise
0.45,left,0.526997394972,0.0279043110663,-0.499093083906,rise
0.46,left,0.528830869133,0.0295082741142,-0.499322595019,rise
0.47,left,0.5306869806,0.0312117428733,-0.499475237727,rise
0.48,left,0.532571077342,0.0330171252761,-0.499553952065,rise
0.49,left,0.534485964585,0.0349265942373,-0.499559370348,rise
0.5,left,0.536432742586,0.0369420750985,-0.499490667488,rise
0.51,left,0.538411137879,0.0390652371437,-0.499345900735,rise
0.52,left,0.54041952313,0.0412974867045,-0.499122036426,rise
0.53,left,0.542454942897,0.0436399619195,-0.498814980978,rise
0.54,left,0.544512899611,0.0460935298331,-0.498419369778,rise
0.55,left,0.546587002794,0.0486587871592,-0.497928215635,rise
0.56,left,0.548669216615,0.0513360634643,-0.497333153151,rise
0.57,left,0.55075072535,0.0541254217464,-0.496625303604,rise
0.58,left,0.552822594373,0.057026655256,-0.495795939117,rise
0.59,left,0.55487602799,0.0600392878097,-0.494836740181,rise
0.6,left,0.556902744586,0.0631625847344,-0.493740159852,rise
0.61,left,0.558895519454,0.0663955734814,-0.492499945973,rise
0.62,left,0.560848638334,0.0697370681813,-0.491111570153,rise
0.63,left,0.562758418532,0.0731856942731,-0.489572724259,rise
0.64,left,0.564623729784,0.0767399116713,-0.487883818113,rise
0.65,left,0.566445974709,0.0803980347027,-0.486047940006,rise
0.66,left,0.56822861329,0.0841582464045,-0.484070366885,rise
0.67,left,0.569976801081,0.0880186052436,-0.481958195838,rise
0.68,left,0.571696986651,0.0919770450588,-0.479719941592,rise
0.69,left,0.57339612255,0.0960313731251,-0.477364749425,rise
0.7,left,0.57508094763,0.100179272291,-0.47490167534,rise
0.71,left,0.576757757242,0.104418310486,-0.472339446756,rise
0.72,left,0.578432353136,0.108745956766,-0.46968639637,rise
0.73,left,0.58010998762,0.113159598119,-0.466950389501,rise
0.74,left,0.581795447503,0.117656551183,-0.464138896321,rise
0.75,left,0.583493003144,0.122234067061,-0.461258936084,rise
0.76,left,0.585205868507,0.126889330896,-0.45831653761,rise
0.77,left,0.586935648525,0.131619463083,-0.455316185442,rise
0.78,left,0.5886823559,0.136421528774,-0.452260827126,rise
0.79,left,0.590444581629,0.141292554889,-0.449152026741,rise
0.8,left,0.592219476885,0.146229550465,-0.445989926421,rise
0.81,left,0.594003187182,0.151229525565,-0.442773661617,rise
0.82,left,0.595792119671,0.156289504252,-0.43950261542,rise
