time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.406305663654,0.19168289652,-0.214622767135,peak
0.01,left,0.439427497558,0.215772576905,-0.223654920653,peak
0.02,left,0.473023795116,0.241893550959,-0.231130244157,peak
0.03,left,0.506800149762,0.270078346825,-0.236721802938,peak
0.04,left,0.540461056101,0.300330903109,-0.240130152992,peak
0.05,left,0.573722939217,0.332619537218,-0.241103401999,peak
0.06,left,0.606324589394,0.366868831554,-0.23945575784,peak
0.07,left,0.638034392536,0.402950316833,-0.235084075703,peak
0.08,left,0.668654342935,0.440671820577,-0.227982522358,peak
0.09,left,0.698021255481,0.479766155328,-0.218255100153,peak
0.1,left,0.726006083078,0.519883909277,-0.206122173801,peak
0.11,left,0.752512215141,0.560599628854,-0.191912586288,peak
0.12,left,0.77747318712,0.601435497459,-0.176037689661,peak
0.13,left,0.800849996963,0.641894480044,-0.158955516919,peak
0.14,left,0.822628111203,0.681491471684,-0.141136639519,peak
0.15,left,0.842814061817,0.719777017011,-0.123037044806,peak
0.16,left,0.861431645255,0.756352831636,-0.105078813618,peak
0.17,left,0.8785182093,0.790879586654,-0.0876386226457,peak
0.18,left,0.894121656574,0.823079047504,-0.0710426090695,peak
0.19,left,0.908298318764,0.852733836685,-0.0555644820789,peak
0.2,left,0.921111506729,0.879686277614,-0.0414252291148,peak
0.21,left,0.932630523906,0.903835802604,-0.0287947213026,peak
0.22,left,0.942929725335,0.925134700639,-0.0177950246964,peak
0.23,left,0.952087127593,0.943582679178,-0.0085044484149,peak
0.24,left,0.960182535036,0.959220780205,-0.000961754831912,peak
0.25,left,0.967295519229,0.972125074297,0.00482955506855,peak
0.26,left,0.973503524466,0.982400441113,0.00889691664709,peak
0.27,left,0.978880356767,0.990174650032,0.0112942932647,peak
0.28,left,0.983495349358,0.995592880808,0.0120975314497,peak
0.29,left,0.987413170156,0.998812766681,0.0113995965253,peak
0.3,left,0.990693876106,1,0.00930612389394,peak
0.31,left,0.993393023479,0.999324509657,0.00593148617788,peak
0.32,left,0.995561981636,0.996957196815,0.00139521517959,peak
0.33,left,0.997248353481,0.993067199936,-0.00418115354466,peak
0.34,left,0.998496200762,0.987819651509,-0.0106765492522,peak
0.35,left,0.999346179879,0.981373883574,-0.0179722963048,peak
0.36,left,0.999835839748,0.973882035742,-0.0259538040054,peak
0.37,left,1,0.965488018892,-0.0345119811077,peak
0.38,left,0.999871127122,0.956326788985,-0.0435443381365,peak
0.39,left,0.999479764138,0.946523887474,-0.0529558766636,peak
0.4,left,0.998854842843,0.936195207772,-0.0626596350708,peak
0.41,left,0.998023650416,0.92544695098,-0.0725766994364,peak
0.42,left,0.997011621162,0.914375737471,-0.0826358836907,peak
0.43,left,0.995842238691,0.90306884371,-0.0927733949816,peak
0.44,left,0.994536952905,0.891604537136,-0.102932415769,peak
0.45,left,0.993114958149,0.880052485836,-0.113062472313,peak
0.46,left,0.991593008096,0.868474222798,-0.123118785298,peak
0.47,left,0.989985344375,0.856923647312,-0.133061697063,peak
0.48,left,0.988303563916,0.845447548899,-0.142856015016,peak
0.49,left,0.986556518853,0.834086141121,-0.152470377732,peak
0.5,left,0.984750525344,0.822873594805,-0.161876930539,peak
0.51,left,0.982889847267,0.811838563,-0.171051284267,peak
0.52,left,0.980977317489,0.801004691919,-0.17997262557,peak
0.53,left,0.979015137534,0.790391113309,-0.188624024225,peak
0.54,left,0.977005730183,0.780012914862,-0.196992815321,peak
0.55,left,0.974952309488,0.769881585876,-0.205070723612,peak
0.56,left,0.972859138788,0.760005435572,-0.212853703216,peak
0.57,left,0.970731684597,0.750389981967,-0.22034170263,peak
0.58,left,0.968576609301,0.741038310639,-0.227538298663,peak
0.59,left,0.966401431474,0.731951404447,-0.234450027027,peak
0.6,left,0.964213978388,0.723128445429,-0.24108553296,peak
0.61,left,0.962021833854,0.714567089131,-0.247454744723,peak
0.62,left,0.959831782343,0.706263712327,-0.253568070016,peak
0.63,left,0.957649388034,0.698213636078,-0.259435751955,peak
0.64,left,0.955479016372,0.690411325592,-0.26506769078,peak
0.65,left,0.953324212201,0.682850567684,-0.270473644517,peak
0.66,left,0.951188067856,0.675524626547,-0.275663441309,peak
0.67,left,0.94907346897,0.668426379062,-0.280647089908,peak
0.68,left,0.94698319774,0.661548431898,-0.285434765843,peak
0.69,left,0.944919724832,0.65488322278,-0.290036502051,peak
0.7,left,0.94288472107,0.648423107393,-0.294461613677,peak
0.71,left,0.940878640494,0.642160433381,-0.298718207112,peak
0.72,left,0.938900552052,0.636087603443,-0.302812948609,peak
0.73,left,0.93694808266,0.630197128396,-0.306750954263,peak
0.74,left,0.935017511872,0.624481670364,-0.310535841508,peak
0.75,left,0.933104219233,0.618934077049,-0.314170142183,peak
0.76,left,0.931203331362,0.613547408589,-0.317655922773,peak
0.77,left,0.92931029343,0.608314957911,-0.32099533552,peak
0.78,left,0.92742134887,0.603230265185,-0.324191083685,peak
0.79,left,0.925533807342,0.598287127084,-0.327246680258,peak
0.8,left,0.923645863289,0.593479602203,-0.330166261086,peak
0.81,left,0.9217560857,0.588802013984,-0.332954071716,peak
0.82,left,0.919862902193,0.584248951048,-0.335613951145,peak
0.83,left,0.917964236446,0.5798152644,-0.338148972046,peak
0.84,left,0.916057463263,0.575496062128,-0.340561401135,peak
0.85,left,0.914139868437,0.571286702324,-0.342853166112,peak
