time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.401826212093,0.00169952032574,-0.400126691767,rise
0.01,left,0.404656076826,0.00178055471338,-0.402875522113,rise
0.02,left,0.407421963803,0.00188326923724,-0.405538694566,rise
0.03,left,0.410124869749,0.00201104229378,-0.408113827455,rise
0.04,left,0.412771821372,0.00216763166526,-0.410604189707,rise
0.05,left,0.415375524245,0.00235720042765,-0.413018323817,rise
0.06,left,0.417953178627,0.0025843419975,-0.41536883663,rise
0.07,left,0.420525278452,0.00285410843033,-0.417671170022,rise
0.08,left,0.423114299792,0.00317204699383,-0.419942252798,rise
0.09,left,0.425743133213,0.00354423507086,-0.422198898142,rise
0.1,left,0.428433447989,0.00397730766733,-0.424456140322,rise
0.11,left,0.431203759402,0.00447849467409,-0.426725264728,rise
0.12,left,0.434067120962,0.00505567072646,-0.429011450236,rise
0.13,left,0.437029351237,0.00571739803188,-0.431311953205,rise
0.14,left,0.440088637389,0.00647295326202,-0.433615684127,rise
0.15,left,0.443236394985,0.00733233973786,-0.435904055247,rise
0.16,left,0.446459088234,0.00830628348575,-0.438152804749,rise
0.17,left,0.449740837264,0.00940621098035,-0.440334626284,rise
0.18,left,0.453066004789,0.0106442071402,-0.442421797649,rise
0.19,left,0.456420729405,0.012032952777,-0.444387776628,rise
0.2,left,0.459793370247,0.0135856411496,-0.446207729097,rise
0.21,left,0.463174359458,0.0153158723201,-0.447858487138,rise
0.22,left,0.466555434901,0.0172375239365,-0.449317910964,rise
0.23,left,0.469928433578,0.0193646020565,-0.450563831521,rise
0.24,left,0.473284523248,0.0217110797283,-0.45157344352,rise
0.25,left,0.476614228403,0.0242907272988,-0.452323501105,rise
0.26,left,0.479907844747,0.0271169352967,-0.45279090945,rise
0.27,left,0.483156025737,0.0302025326236,-0.452953493114,rise
0.28,left,0.486350355681,0.0335596041392,-0.452790751541,rise
0.29,left,0.489483343265,0.0371993129972,-0.452284030268,rise
0.3,left,0.49254771076,0.0411317347721,-0.451415975988,rise
0.31,left,0.495535680909,0.0453657108857,-0.450169970023,rise
0.32,left,0.498438695776,0.049908727105,-0.448529968671,rise
0.33,left,0.501247367872,0.0547668159293,-0.446480551943,rise
0.34,left,0.503951855124,0.0599444772433,-0.444007377881,rise
0.35,left,0.506543111618,0.0654446182511,-0.441098493367,rise
0.36,left,0.509014536314,0.0712685183459,-0.437746017968,rise
0.37,left,0.511363245116,0.0774158188752,-0.433947426241,rise
0.38,left,0.513591093666,0.0838845343189,-0.429706559347,rise
0.39,left,0.515705538127,0.0906710845963,-0.42503445353,rise
0.4,left,0.517719790715,0.0977703485416,-0.419949442174,rise
0.41,left,0.519652108542,0.105175736364,-0.414476372178,rise
0.42,left,0.521524278702,0.112879280216,-0.408644998486,rise
0.43,left,0.523359151422,0.120871740557,-0.402487410865,rise
0.44,left,0.525177775482,0.129142720978,-0.396035054505,rise
0.45,left,0.526997394972,0.137680786119,-0.389316608853,rise
0.46,left,0.528830869133,0.146473583468,-0.382357285665,rise
0.47,left,0.5306869806,0.155507969722,-0.375179010877,rise
0.48,left,0.532571077342,0.164770137084,-0.367800940258,rise
0.49,left,0.534485964585,0.174245733441,-0.360240231144,rise
0.5,left,0.536432742586,0.183919975071,-0.352512767515,rise
0.51,left,0.538411137879,0.193777752631,-0.344633385247,rise
0.52,left,0.54041952313,0.203803731888,-0.336615791242,rise
0.53,left,0.542454942897,0.213982453124,-0.328472489774,rise
0.54,left,0.544512899611,0.224298430017,-0.320214469593,rise
