time_after_pulse_ms,reference_left_normalized,simulation_left_normalized,reference_right_normalized,simulation_right_normalized,left_residual,right_residual,region
0,0.248838156359,0.177040882713,0.017679334599,0.000510808159389,-0.0717972736465,-0.0171685264397,rise
0.01,0.269123318052,0.197596087022,0.0176209771202,0.000545464659129,-0.0715272310301,-0.0170755124611,rise
0.02,0.289699060633,0.219656199615,0.01753011242,0.000587937146358,-0.070042861018,-0.0169421752736,rise
0.03,0.310385077518,0.24319746092,0.0174082202008,0.000639354792162,-0.0671876165988,-0.0167688654086,rise
0.04,0.331000389152,0.26816412286,0.0172585122966,0.000700963490971,-0.0628362662923,-0.0165575488057,rise
0.05,0.351371322693,0.294461643018,0.0170855403422,0.000774133536068,-0.056909679675,-0.0163114068061,rise
0.06,0.37133790266,0.321948896694,0.0168943101812,0.000860369539507,-0.049389005966,-0.0160339406417,rise
0.07,0.390758279136,0.350429926169,0.0166891265665,0.000961319899029,-0.0403283529664,-0.0157278066674,rise
0.08,0.40951118535,0.379648824317,0.0164724828031,0.00107878425915,-0.029862361033,-0.0153936985439,rise
0.09,0.427496680089,0.409294619403,0.0162443696217,0.00121472361788,-0.0182020606857,-0.0150296460038,rise
0.1,0.444635729648,0.439018970504,0.0160022708082,0.00137127385039,-0.0056167591438,-0.0146309969578,rise
0.11,0.460869165764,0.468460502542,0.0157417831037,0.0015507573253,0.00759133677708,-0.0141910257784,rise
0.12,0.476156282838,0.497267353405,0.015457540325,0.00175569019883,0.0211110705666,-0.0137018501261,rise
0.13,0.490473194423,0.525114146348,0.0151440902105,0.00198878571978,0.0346409519245,-0.0131553044907,rise
0.14,0.503810999631,0.551712913761,0.0147964711303,0.00225295315976,0.0479019141302,-0.0125435179705,rise
0.15,0.516173698909,0.576818303656,0.0144104550668,0.00255129177639,0.0606446047467,-0.0118591632904,rise
0.16,0.527575866176,0.600228883227,0.013982707954,0.00288707942014,0.0726530170503,-0.0110956285339,rise
0.17,0.538040374737,0.62178714801,0.0135111830696,0.00326375556849,0.083746773273,-0.0102474275011,rise
0.18,0.54759656211,0.64137894043,0.0129957985809,0.00368489869241,0.0937823783198,-0.00931089988852,rise
0.19,0.556278928117,0.658931598746,0.0124391350666,0.00415419760202,0.102652670629,-0.00828493746458,rise
0.2,0.564126246911,0.674410803141,0.0118468372428,0.00467541639841,0.11028455623,-0.00717142084434,rise
0.21,0.571180962742,0.687816585462,0.0112276007423,0.00525235401193,0.116635622721,-0.00597524673037,rise
0.22,0.577488613667,0.699178896058,0.0105927827066,0.00588880041955,0.121690282391,-0.00470398228702,rise
