time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.406305663654,0.264172314726,-0.142133348929,peak
0.01,left,0.439427497558,0.292744164655,-0.146683332903,peak
0.02,left,0.473023795116,0.3230742083,-0.149949586816,peak
0.03,left,0.506800149762,0.355054325565,-0.151745824197,peak
0.04,left,0.540461056101,0.388522893894,-0.151938162207,peak
0.05,left,0.573722939217,0.4232621878,-0.150460751417,peak
0.06,left,0.606324589394,0.459004193945,-0.147320395449,peak
0.07,left,0.638034392536,0.495443975663,-0.142590416873,peak
0.08,left,0.668654342935,0.532255462504,-0.136398880431,peak
0.09,left,0.698021255481,0.569104359905,-0.128916895576,peak
0.1,left,0.726006083078,0.605657699359,-0.120348383719,peak
0.11,left,0.752512215141,0.641593264086,-0.110918951055,peak
0.12,left,0.77747318712,0.67660936618,-0.100863820941,peak
0.13,left,0.800849996963,0.710432776841,-0.0904172201227,peak
0.14,left,0.822628111203,0.742823943036,-0.0798041681675,peak
0.15,left,0.842814061817,0.773579854553,-0.0692342072633,peak
0.16,left,0.861431645255,0.802535011848,-0.0588966334063,peak
0.17,left,0.8785182093,0.829560927221,-0.0489572820791,peak
0.18,left,0.894121656574,0.854564538588,-0.0395571179855,peak
0.19,left,0.908298318764,0.877485854399,-0.0308124643653,peak
0.2,left,0.921111506729,0.898295091207,-0.0228164155224,peak
0.21,left,0.932630523906,0.916989513928,-0.0156410099784,peak
0.22,left,0.942929725335,0.933590142701,-0.00933958263432,peak
0.23,left,0.952087127593,0.948138452151,-0.00394867544211,peak
0.24,left,0.960182535036,0.960693159059,0.000510624022247,peak
0.25,left,0.967295519229,0.971327168777,0.00403164954788,peak
0.26,left,0.973503524466,0.980124727153,0.00662120268759,peak
0.27,left,0.978880356767,0.987178806171,0.00829844940366,peak
0.28,left,0.983495349358,0.992588739624,0.00909339026587,peak
0.29,left,0.987413170156,0.996458116946,0.00904494678999,peak
0.3,left,0.990693876106,0.998892935107,0.00819905900086,peak
0.31,left,0.993393023479,1,0.00660697652095,peak
0.32,left,0.995561981636,0.999885561856,0.0043235802207,peak
0.33,left,0.997248353481,0.998654164496,0.00140581101478,peak
0.34,left,0.998496200762,0.99640768913,-0.00208851163116,peak
0.35,left,0.999346179879,0.993244578682,-0.00610160119626,peak
