time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.401826212093,0.00140915703217,-0.400417055061,rise
0.01,left,0.404656076826,0.00152585507452,-0.403130221752,rise
0.02,left,0.407421963803,0.00164792608225,-0.405774037721,rise
0.03,left,0.410124869749,0.00177483910965,-0.408350030639,rise
0.04,left,0.412771821372,0.00190604869961,-0.410865772673,rise
0.05,left,0.415375524245,0.00204098677744,-0.413334537467,rise
0.06,left,0.417953178627,0.00217907576831,-0.415774102859,rise
0.07,left,0.420525278452,0.00231976250755,-0.418205515945,rise
0.08,left,0.423114299792,0.00246254471222,-0.42065175508,rise
0.09,left,0.425743133213,0.00260697654869,-0.423136156665,rise
0.1,left,0.428433447989,0.00275266285274,-0.425680785136,rise
0.11,left,0.431203759402,0.00289926057955,-0.428304498822,rise
0.12,left,0.434067120962,0.00304649358273,-0.431020627379,rise
0.13,left,0.437029351237,0.00319417560029,-0.433835175637,rise
0.14,left,0.440088637389,0.00334223697384,-0.436746400415,rise
0.15,left,0.443236394985,0.00349075261889,-0.439745642366,rise
0.16,left,0.446459088234,0.00363996810163,-0.442819120133,rise
0.17,left,0.449740837264,0.00379032350776,-0.445950513756,rise
0.18,left,0.453066004789,0.00394247602853,-0.449123528761,rise
0.19,left,0.456420729405,0.00409731539089,-0.452323414014,rise
0.2,left,0.459793370247,0.004255967209,-0.455537403038,rise
0.21,left,0.463174359458,0.00441979025473,-0.458754569204,rise
0.22,left,0.466555434901,0.00459037432236,-0.461965060578,rise
0.23,left,0.469928433578,0.00476953723241,-0.465158896345,rise
0.24,left,0.473284523248,0.00495931537921,-0.468325207869,rise
0.25,left,0.476614228403,0.00516194466085,-0.471452283743,rise
0.26,left,0.479907844747,0.00537983460205,-0.474528010145,rise
0.27,left,0.483156025737,0.00561554270939,-0.477540483028,rise
0.28,left,0.486350355681,0.00587175564303,-0.480478600038,rise
0.29,left,0.489483343265,0.00615127687551,-0.483332066389,rise
0.3,left,0.49254771076,0.00645701432114,-0.486090696439,rise
0.31,left,0.495535680909,0.00679196384073,-0.488743717068,rise
0.32,left,0.498438695776,0.00715918853324,-0.491279507242,rise
0.33,left,0.501247367872,0.00756179534255,-0.493685572529,rise
0.34,left,0.503951855124,0.00800291486602,-0.495948940258,rise
0.35,left,0.506543111618,0.00848569086285,-0.498057420755,rise
0.36,left,0.509014536314,0.00901327592442,-0.50000126039,rise
0.37,left,0.511363245116,0.00958882510622,-0.50177442001,rise
0.38,left,0.513591093666,0.010215486774,-0.503375606891,rise
0.39,left,0.515705538127,0.0108963924349,-0.504809145692,rise
0.4,left,0.517719790715,0.0116346451853,-0.50608514553,rise
0.41,left,0.519652108542,0.0124333077271,-0.507218800815,rise
0.42,left,0.521524278702,0.0132953880092,-0.508228890692,rise
0.43,left,0.523359151422,0.0142238169064,-0.509135334516,rise
0.44,left,0.525177775482,0.0152214150719,-0.50995636041,rise
0.45,left,0.526997394972,0.0162908530641,-0.510706541908,rise
0.46,left,0.528830869133,0.0174346176073,-0.511396251526,rise
0.47,left,0.5306869806,0.0186549934357,-0.512031987164,rise
0.48,left,0.532571077342,0.019954057674,-0.512617019668,rise
