time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.401826212093,0.000566302609036,-0.401259909484,rise
0.01,left,0.404656076826,0.00067674653224,-0.403979330294,rise
0.02,left,0.407421963803,0.000807288915492,-0.406614674888,rise
0.03,left,0.410124869749,0.000960438939789,-0.409164430809,rise
0.04,left,0.412771821372,0.00113891686246,-0.41163290451,rise
0.05,left,0.415375524245,0.00134567243008,-0.414029851815,rise
0.06,left,0.417953178627,0.00158396151093,-0.416369217116,rise
0.07,left,0.420525278452,0.00185749782305,-0.418667780629,rise
0.08,left,0.423114299792,0.00217060611292,-0.420943693679,rise
0.09,left,0.425743133213,0.0025283008379,-0.423214832375,rise
0.1,left,0.428433447989,0.00293630493351,-0.425497143056,rise
0.11,left,0.431203759402,0.00340105480147,-0.4278027046,rise
0.12,left,0.434067120962,0.00392970330266,-0.430137417659,rise
0.13,left,0.437029351237,0.00453011420956,-0.432499237028,rise
0.14,left,0.440088637389,0.00521084858504,-0.434877788804,rise
0.15,left,0.443236394985,0.00598114875151,-0.437255246234,rise
0.16,left,0.446459088234,0.00685091940169,-0.439608168833,rise
0.17,left,0.449740837264,0.00783069762579,-0.441910139638,rise
0.18,left,0.453066004789,0.00893160342687,-0.444134401363,rise
0.19,left,0.456420729405,0.0101652699702,-0.446255459435,rise
0.2,left,0.459793370247,0.0115437573143,-0.448249612932,rise
0.21,left,0.463174359458,0.0130794506654,-0.450094908793,rise
0.22,left,0.466555434901,0.0147849454832,-0.451770489417,rise
0.23,left,0.469928433578,0.0166729238742,-0.453255509703,rise
0.24,left,0.473284523248,0.0187560230884,-0.45452850016,rise
0.25,left,0.476614228403,0.0210466950109,-0.455567533393,rise
0.26,left,0.479907844747,0.0235570577485,-0.456350786999,rise
0.27,left,0.483156025737,0.026298743203,-0.456857282534,rise
0.28,left,0.486350355681,0.0292827449484,-0.457067610732,rise
0.29,left,0.489483343265,0.0325192705324,-0.456964072733,rise
0.3,left,0.49254771076,0.0360176036536,-0.456530107107,rise
0.31,left,0.495535680909,0.0397859797449,-0.455749701164,rise
0.32,left,0.498438695776,0.0438314743136,-0.454607221462,rise
0.33,left,0.501247367872,0.0481599051679,-0.453087462704,rise
0.34,left,0.503951855124,0.0527757553466,-0.451176099778,rise
0.35,left,0.506543111618,0.0576821214317,-0.448860990186,rise
0.36,left,0.509014536314,0.0628806835265,-0.446133852788,rise
0.37,left,0.511363245116,0.0683716920217,-0.442991553095,rise
0.38,left,0.513591093666,0.0741539725894,-0.439437121076,rise
0.39,left,0.515705538127,0.080224952597,-0.43548058553,rise
0.4,left,0.517719790715,0.0865807071748,-0.431139083541,rise
0.41,left,0.519652108542,0.0932160196966,-0.426436088845,rise
0.42,left,0.521524278702,0.100124451948,-0.421399826753,rise
0.43,left,0.523359151422,0.107298421483,-0.416060729939,rise
0.44,left,0.525177775482,0.114729285671,-0.410448489811,rise
0.45,left,0.526997394972,0.122407435107,-0.404589959866,rise
0.46,left,0.528830869133,0.130322401245,-0.398508467888,rise
0.47,left,0.5306869806,0.138462976114,-0.392224004486,rise
0.48,left,0.532571077342,0.146817333589,-0.385753743753,rise
0.49,left,0.534485964585,0.155373144796,-0.379112819788,rise
