time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.406305663654,0.228138504782,-0.178167158872,peak
0.01,left,0.439427497558,0.254359267474,-0.185068230084,peak
0.02,left,0.473023795116,0.282444740168,-0.190579054948,peak
0.03,left,0.506800149762,0.312352150397,-0.194447999365,peak
0.04,left,0.540461056101,0.343996075939,-0.196464980162,peak
0.05,left,0.573722939217,0.377239556582,-0.196483382635,peak
0.06,left,0.606324589394,0.411884781874,-0.19443980752,peak
0.07,left,0.638034392536,0.447667525188,-0.190366867348,peak
0.08,left,0.668654342935,0.484262462612,-0.184391880322,peak
0.09,left,0.698021255481,0.521301216031,-0.176720039449,peak
0.1,left,0.726006083078,0.558395769534,-0.167610313544,peak
0.11,left,0.752512215141,0.595160170447,-0.157352044695,peak
0.12,left,0.77747318712,0.631229362988,-0.146243824132,peak
0.13,left,0.800849996963,0.666274840252,-0.134575156711,peak
0.14,left,0.822628111203,0.700015920291,-0.122612190913,peak
0.15,left,0.842814061817,0.732226131593,-0.110587930224,peak
0.16,left,0.861431645255,0.76273393234,-0.0986977129149,peak
0.17,left,0.8785182093,0.791417866177,-0.0871003431227,peak
0.18,left,0.894121656574,0.818198821112,-0.0759228354615,peak
0.19,left,0.908298318764,0.843032257385,-0.0652660613787,peak
0.2,left,0.921111506729,0.865901379553,-0.0552101271761,peak
0.21,left,0.932630523906,0.886811236236,-0.0458192876709,peak
0.22,left,0.942929725335,0.905783658715,-0.03714606662,peak
0.23,left,0.952087127593,0.922852957299,-0.0292341702944,peak
0.24,left,0.960182535036,0.938062302078,-0.0221202329583,peak
0.25,left,0.967295519229,0.951460746494,-0.0158347727348,peak
0.26,left,0.973503524466,0.963100910937,-0.010402613529,peak
0.27,left,0.978880356767,0.973037333776,-0.00584302299127,peak
0.28,left,0.983495349358,0.981325407717,-0.00216994164086,peak
0.29,left,0.987413170156,0.988020793267,0.000607623110703,peak
0.3,left,0.990693876106,0.993179253952,0.00248537784589,peak
0.31,left,0.993393023479,0.996856894013,0.00346387053419,peak
0.32,left,0.995561981636,0.999110788273,0.00354880663698,peak
0.33,left,0.997248353481,1,0.00275164651885,peak
0.34,left,0.998496200762,0.999586988458,0.00109078769677,peak
0.35,left,0.999346179879,0.997939136993,-0.00140704288543,peak
0.36,left,0.999835839748,0.995129549876,-0.00470628987162,peak
0.37,left,1,0.991236468308,-0.00876353169171,peak
0.38,left,0.999871127122,0.986341769416,-0.013529357706,peak
0.39,left,0.999479764138,0.980529395785,-0.0189503683532,peak
0.4,left,0.998854842843,0.973884038904,-0.0249708039385,peak
0.41,left,0.998023650416,0.966490065375,-0.0315335850419,peak
0.42,left,0.997011621162,0.958430647633,-0.0385809735284,peak
0.43,left,0.995842238691,0.949787064263,-0.0460551744287,peak
0.44,left,0.994536952905,0.940638137903,-0.0538988150012,peak
0.45,left,0.993114958149,0.931059790198,-0.0620551679514,peak
