time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.401826212093,0.00349956086359,-0.398326651229,rise
0.01,left,0.404656076826,0.00368565875842,-0.400970418068,rise
0.02,left,0.407421963803,0.00389153638646,-0.403530427417,rise
0.03,left,0.410124869749,0.00411830041598,-0.406006569333,rise
0.04,left,0.412771821372,0.00436696911533,-0.408404852257,rise
0.05,left,0.415375524245,0.00463850048237,-0.410737023762,rise
0.06,left,0.417953178627,0.00493391546223,-0.413019263165,rise
0.07,left,0.420525278452,0.00525447136914,-0.415270807083,rise
0.08,left,0.423114299792,0.00560179866197,-0.41751250113,rise
0.09,left,0.425743133213,0.00597798178867,-0.419765151425,rise
0.1,left,0.428433447989,0.00638560851073,-0.422047839478,rise
0.11,left,0.431203759402,0.00682780094614,-0.424375958456,rise
0.12,left,0.434067120962,0.00730823651735,-0.426758884445,rise
0.13,left,0.437029351237,0.00783116346129,-0.429198187776,rise
0.14,left,0.440088637389,0.00840140919718,-0.431687228191,rise
0.15,left,0.443236394985,0.00902437833431,-0.434212016651,rise
0.16,left,0.446459088234,0.00970603399348,-0.436753054241,rise
0.17,left,0.449740837264,0.0104528560744,-0.43928798119,rise
0.18,left,0.453066004789,0.0112717788862,-0.441794225903,rise
0.19,left,0.456420729405,0.0121701148087,-0.444250614596,rise
0.2,left,0.459793370247,0.0131554653403,-0.446637904906,rise
0.21,left,0.463174359458,0.0142356167192,-0.448938742739,rise
0.22,left,0.466555434901,0.0154184165577,-0.451137018343,rise
0.23,left,0.469928433578,0.0167116275861,-0.453216805992,rise
0.24,left,0.473284523248,0.018122754223,-0.455161769025,rise
0.25,left,0.476614228403,0.0196588624906,-0.456955365913,rise
0.26,left,0.479907844747,0.0213264669677,-0.458581377779,rise
0.27,left,0.483156025737,0.0231315400439,-0.460024485693,rise
0.28,left,0.486350355681,0.0250795971748,-0.461270758506,rise
0.29,left,0.489483343265,0.0271757767561,-0.462307566509,rise
0.3,left,0.49254771076,0.0294248808692,-0.463122829891,rise
0.31,left,0.495535680909,0.0318313734437,-0.463704307465,rise
0.32,left,0.498438695776,0.0343993346007,-0.464039361175,rise
0.33,left,0.501247367872,0.0371323693314,-0.464114998541,rise
0.34,left,0.503951855124,0.0400334680458,-0.463918387079,rise
0.35,left,0.506543111618,0.0431048469867,-0.463438264631,rise
0.36,left,0.509014536314,0.0463478620063,-0.462666674308,rise
0.37,left,0.511363245116,0.0497630663723,-0.461600178744,rise
0.38,left,0.513591093666,0.053350357889,-0.460240735777,rise
0.39,left,0.515705538127,0.0571091172852,-0.458596420841,rise
0.4,left,0.517719790715,0.0610382985987,-0.456681492117,rise
0.41,left,0.519652108542,0.0651364696768,-0.454515638865,rise
0.42,left,0.521524278702,0.0694018036955,-0.452122475006,rise
0.43,left,0.523359151422,0.0738320219239,-0.449527129498,rise
0.44,left,0.525177775482,0.0784242872911,-0.446753488191,rise
0.45,left,0.526997394972,0.0831750742679,-0.443822320705,rise
0.46,left,0.528830869133,0.0880800965368,-0.440750772596,rise
0.47,left,0.5306869806,0.0931343543137,-0.437552626286,rise
0.48,left,0.532571077342,0.098332255834,-0.434238821508,rise
0.49,left,0.534485964585,0.103667730404,-0.430818234181,rise
0.5,left,0.536432742586,0.109134300706,-0.42729844188,rise
0.51,left,0.538411137879,0.114725114076,-0.423686023803,rise
0.52,left,0.54041952313,0.120432934854,-0.419986588277,rise
0.53,left,0.542454942897,0.126250099437,-0.41620484346,rise
0.54,left,0.544512899611,0.132168435134,-0.412344464476,rise
0.55,left,0.546587002794,0.138179162221,-0.408407840573,rise
0.56,left,0.548669216615,0.144272838054,-0.404396378561,rise
0.57,left,0.55075072535,0.15043938834,-0.40031133701,rise
0.58,left,0.552822594373,0.156668195084,-0.396154399289,rise
0.59,left,0.55487602799,0.162948184719,-0.391927843271,rise
0.6,left,0.556902744586,0.169267895477,-0.387634849109,rise
0.61,left,0.558895519454,0.175615525742,-0.383279993712,rise
0.62,left,0.560848638334,0.18197896706,-0.378869671274,rise
0.63,left,0.562758418532,0.188345825278,-0.374412593254,rise
0.64,left,0.564623729784,0.194703433198,-0.369920296586,rise
0.65,left,0.566445974709,0.201038886776,-0.365407087933,rise
0.66,left,0.56822861329,0.20733919797,-0.36088941532,rise
0.67,left,0.569976801081,0.213591636878,-0.356385164204,rise
0.68,left,0.571696986651,0.219784220817,-0.351912765833,rise
0.69,left,0.57339612255,0.225906268723,-0.347489853827,rise
0.7,left,0.57508094763,0.231948994327,-0.343131953304,rise
0.71,left,0.576757757242,0.237906146969,-0.338851610273,rise
0.72,left,0.578432353136,0.243774712366,-0.334657640769,rise
0.73,left,0.58010998762,0.249555685946,-0.330554301674,rise
0.74,left,0.581795447503,0.255254931714,-0.326540515789,rise
0.75,left,0.583493003144,0.260883989982,-0.322609013162,rise
0.76,left,0.585205868507,0.266460378679,-0.318745489828,rise
0.77,left,0.586935648525,0.272007040126,-0.314928608399,rise
0.78,left,0.5886823559,0.277551186709,-0.311131169191,rise
0.79,left,0.590444581629,0.283123004681,-0.307321576948,rise
0.8,left,0.592219476885,0.288754388831,-0.303465088054,rise
0.81,left,0.594003187182,0.294477697115,-0.299525490067,rise
0.82,left,0.595792119671,0.300324497614,-0.295467622057,rise
0.83,left,0.597584613798,0.306324279891,-0.291260333908,rise
0.84,left,0.599382514333,0.312503102492,-0.286879411841,rise
0.85,left,0.601192115641,0.318882299867,-0.282309815774,rise
0.86,left,0.603023745058,0.325477694724,-0.277546050334,rise
0.87,left,0.604889956131,0.33229965282,-0.272590303312,rise
0.88,left,0.606803476722,0.339353706825,-0.267449769896,rise
0.89,left,0.608775763895,0.346641266628,-0.262134497267,rise
0.9,left,0.610815822662,0.354160223105,-0.256655599557,rise
0.91,left,0.612929041683,0.361905437641,-0.251023604041,rise
0.92,left,0.61511656761,0.369869125634,-0.245247441976,rise
0.93,left,0.617375312495,0.378041141323,-0.239334171173,rise
0.94,left,0.619698199673,0.386409170405,-0.233289029268,rise
0.95,left,0.622074871123,0.394958865529,-0.227116005594,rise
0.96,left,0.624493038266,0.403674021712,-0.220819016554,rise
0.97,left,0.626939950757,0.412536866926,-0.214403083831,rise
0.98,left,0.629403791222,0.42152842406,-0.207875367161,rise
0.99,left,0.631875154923,0.430628859346,-0.201246295577,rise
1,left,0.634348027987,0.439817788166,-0.194530239822,rise
1.01,left,0.636819556524,0.449074544763,-0.187745011761,rise
1.02,left,0.639288991905,0.458378425261,-0.180910566644,rise
1.03,left,0.64175649351,0.467708912998,-0.174047580513,rise
1.04,left,0.644221826585,0.477045894958,-0.167175931627,rise
1.05,left,0.646683181152,0.486369861294,-0.160313319858,rise
1.06,left,0.649136896256,0.495662044545,-0.153474851711,rise
1.07,left,0.651578156127,0.504904466968,-0.146673689158,rise
1.08,left,0.654001888351,0.514079930927,-0.139921957424,rise
1.09,left,0.656403611863,0.523172010142,-0.133231601721,rise
1.1,left,0.658780157781,0.532165068116,-0.126615089665,rise
1.11,left,0.661129578415,0.541044309996,-0.120085268419,rise
1.12,left,0.66345006064,0.549795872634,-0.113654188006,rise
1.13,left,0.665738531308,0.558406957981,-0.107331573327,rise
1.14,left,0.667989426126,0.566866015416,-0.10112341071,rise
1.15,left,0.670193934401,0.575162939816,-0.0950309945845,rise
1.16,left,0.67234032889,0.583289169204,-0.0890511596853,rise
1.17,left,0.674415465655,0.591237594378,-0.083177871277,rise
1.18,left,0.67640655086,0.59900235108,-0.0774041997805,rise
1.19,left,0.678302416917,0.606578619791,-0.0717237971254,rise
1.2,left,0.680094458056,0.613962483858,-0.0661319741982,rise
1.21,left,0.681777271094,0.621150849291,-0.0606264218033,rise
1.22,left,0.683348520656,0.628141425967,-0.0552070946893,rise
1.23,left,0.684808246397,0.634932770706,-0.0498754756914,rise
1.24,left,0.686158447062,0.641524393482,-0.0446340535798,rise
1.25,left,0.687402998165,0.647916892251,-0.039486105914,rise
1.26,left,0.688547471886,0.65411200488,-0.0344354670062,rise
1.27,left,0.689598918771,0.660112493531,-0.0294864252401,rise
1.28,left,0.690565620441,0.665921924223,-0.0246436962185,rise
1.29,left,0.69145648371,0.671544455227,-0.0199120284831,rise
1.3,left,0.692280317971,0.676984678814,-0.0152956391577,rise
1.31,left,0.693045637234,0.682247516886,-0.010798120348,rise
1.32,left,0.693760932142,0.687338167695,-0.00642276444643,rise
1.33,left,0.694434970434,0.692262101552,-0.00217286888224,rise
1.34,left,0.695077283408,0.69702510417,0.00194782076225,rise
1.35,left,0.695698963547,0.701633344802,0.00593438125435,rise
1.36,left,0.696312994719,0.706093399913,0.00978040519359,rise
1.37,left,0.696933575057,0.710412179553,0.0134786044959,rise
