time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.401826212093,0.00058616793471,-0.401240044158,rise
0.01,left,0.404656076826,0.000748497430955,-0.403907579395,rise
0.02,left,0.407421963803,0.000923529073219,-0.40649843473,rise
0.03,left,0.410124869749,0.00111129276817,-0.40901357698,rise
0.04,left,0.412771821372,0.00131190878866,-0.411459912584,rise
0.05,left,0.415375524245,0.00152571727116,-0.413849806974,rise
0.06,left,0.417953178627,0.00175334141941,-0.416199837208,rise
0.07,left,0.420525278452,0.00199572354838,-0.418529554904,rise
0.08,left,0.423114299792,0.00225416064459,-0.420860139148,rise
0.09,left,0.425743133213,0.00253034167682,-0.423212791537,rise
0.1,left,0.428433447989,0.00282638373494,-0.425607064254,rise
0.11,left,0.431203759402,0.00314486208266,-0.428058897319,rise
0.12,left,0.434067120962,0.00348883199215,-0.43057828897,rise
0.13,left,0.437029351237,0.00386184066461,-0.433167510573,rise
0.14,left,0.440088637389,0.00426792464409,-0.435820712745,rise
0.15,left,0.443236394985,0.00471159120931,-0.438524803776,rise
0.16,left,0.446459088234,0.0051977894357,-0.441261298799,rise
0.17,left,0.449740837264,0.00573187656195,-0.444008960702,rise
0.18,left,0.453066004789,0.00631958008378,-0.446746424706,rise
0.19,left,0.456420729405,0.00696695363394,-0.449453775771,rise
0.2,left,0.459793370247,0.00768032451152,-0.452113045735,rise
0.21,left,0.463174359458,0.0084662305092,-0.454708128949,rise
0.22,left,0.466555434901,0.0093313434501,-0.457224091451,rise
0.23,left,0.469928433578,0.010282387489,-0.459646046089,rise
0.24,left,0.473284523248,0.0113260831421,-0.461958440106,rise
0.25,left,0.476614228403,0.0124691399229,-0.46414508848,rise
0.26,left,0.479907844747,0.0137182763892,-0.466189568358,rise
0.27,left,0.483156025737,0.0150802310853,-0.468075794652,rise
0.28,left,0.486350355681,0.0165617483147,-0.469788607366,rise
0.29,left,0.489483343265,0.018169535609,-0.471313807656,rise
0.3,left,0.49254771076,0.0199101905275,-0.472637520233,rise
0.31,left,0.495535680909,0.0217900939414,-0.473745586967,rise
0.32,left,0.498438695776,0.0238152664625,-0.474623429313,rise
0.33,left,0.501247367872,0.0259912108858,-0.475256156986,rise
0.34,left,0.503951855124,0.0283228198443,-0.47562903528,rise
0.35,left,0.506543111618,0.030814408242,-0.475728703376,rise
0.36,left,0.509014536314,0.0334698222104,-0.475544714104,rise
0.37,left,0.511363245116,0.0362925390491,-0.475070706067,rise
0.38,left,0.513591093666,0.0392857230935,-0.474305370572,rise
0.39,left,0.515705538127,0.0424522345402,-0.473253303586,rise
