time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.406305663654,0.198715571696,-0.207590091958,peak
0.01,left,0.439427497558,0.222977581982,-0.216449915575,peak
0.02,left,0.473023795116,0.24917114937,-0.223852645746,peak
0.03,left,0.506800149762,0.277303177091,-0.229496972671,peak
0.04,left,0.540461056101,0.307347956531,-0.23311309957,peak
0.05,left,0.573722939217,0.339239680558,-0.234483258659,peak
0.06,left,0.606324589394,0.372863843102,-0.233460746292,peak
0.07,left,0.638034392536,0.408047400009,-0.229986992528,peak
0.08,left,0.668654342935,0.444548966771,-0.224105376164,peak
0.09,left,0.698021255481,0.482055131609,-0.215966123871,peak
0.1,left,0.726006083078,0.52019095745,-0.205815125628,peak
0.11,left,0.752512215141,0.558543889038,-0.193968326104,peak
0.12,left,0.77747318712,0.596691189529,-0.180781997592,peak
0.13,left,0.800849996963,0.634223811896,-0.166626185068,peak
0.14,left,0.822628111203,0.670765305244,-0.15186280596,peak
0.15,left,0.842814061817,0.705985331637,-0.136828730179,peak
0.16,left,0.861431645255,0.739607788993,-0.121823856262,peak
0.17,left,0.8785182093,0.771414115967,-0.107104093333,peak
0.18,left,0.894121656574,0.801241753932,-0.092879902642,peak
0.19,left,0.908298318764,0.828978289611,-0.0793200291527,peak
0.2,left,0.921111506729,0.854553598138,-0.0665579085917,peak
0.21,left,0.932630523906,0.877932273832,-0.0546982500748,peak
0.22,left,0.942929725335,0.899107091512,-0.0438226338232,peak
0.23,left,0.952087127593,0.918093465045,-0.0339936625485,peak
0.24,left,0.960182535036,0.934924817569,-0.0252577174669,peak
0.25,left,0.967295519229,0.949648786507,-0.0176467327215,peak
0.26,left,0.973503524466,0.962324195098,-0.0111793293675,peak
0.27,left,0.978880356767,0.973018655401,-0.00586170136605,peak
0.28,left,0.983495349358,0.981806515845,-0.00168883351298,peak
0.29,left,0.987413170156,0.988766928188,0.00135375803197,peak
0.3,left,0.990693876106,0.993982118557,0.00328824245119,peak
0.31,left,0.993393023479,0.997536058081,0.00414303460227,peak
0.32,left,0.995561981636,0.99951359189,0.0039516102545,peak
0.33,left,0.997248353481,1,0.00275164651884,peak
0.34,left,0.998496200762,0.999080961799,0.000584761037383,peak
0.35,left,0.999346179879,0.996842902114,-0.0025032777646,peak
0.36,left,0.999835839748,0.993373702751,-0.0064621369967,peak
0.37,left,1,0.988763566232,-0.0112364337678,peak
0.38,left,0.999871127122,0.983105392452,-0.0167657346696,peak
0.39,left,0.999479764138,0.976494178334,-0.0229855858034,peak
0.4,left,0.998854842843,0.969025768038,-0.0298290748049,peak
0.41,left,0.998023650416,0.960795563424,-0.0372280869928,peak
0.42,left,0.997011621162,0.951897420733,-0.0451142004288,peak
0.43,left,0.995842238691,0.942422714618,-0.0534195240736,peak
0.44,left,0.994536952905,0.932459531139,-0.0620774217661,peak
0.45,left,0.993114958149,0.922091954013,-0.0710230041363,peak
0.46,left,0.991593008096,0.911399410683,-0.0801935974126,peak
0.47,left,0.989985344375,0.900456105923,-0.0895292384515,peak
0.48,left,0.988303563916,0.889330698208,-0.0989728657075,peak
0.49,left,0.986556518853,0.8780863332,-0.108470185653,peak
0.5,left,0.984750525344,0.866780912391,-0.117969612953,peak
0.51,left,0.982889847267,0.855467394502,-0.127422452765,peak
0.52,left,0.980977317489,0.844194040893,-0.136783276596,peak
0.53,left,0.979015137534,0.83300458893,-0.146010548604,peak
0.54,left,0.977005730183,0.821938343902,-0.15506738628,peak
0.55,left,0.974952309488,0.811030179927,-0.16392212956,peak
0.56,left,0.972859138788,0.800310439974,-0.172548698813,peak
0.57,left,0.970731684597,0.789804801637,-0.18092688296,peak
0.58,left,0.968576609301,0.779534338462,-0.189042270839,peak
0.59,left,0.966401431474,0.76951595102,-0.196885480454,peak
0.6,left,0.964213978388,0.759763032347,-0.204450946041,peak
0.61,left,0.962021833854,0.750286125892,-0.211735707962,peak
0.62,left,0.959831782343,0.741093480273,-0.21873830207,peak
0.63,left,0.957649388034,0.73219149838,-0.225457889653,peak
0.64,left,0.955479016372,0.72358508583,-0.231893930542,peak
0.65,left,0.953324212201,0.715277902657,-0.238046309544,peak
0.66,left,0.951188067856,0.70727252097,-0.243915546886,peak
0.67,left,0.94907346897,0.69957049979,-0.24950296918,peak
0.68,left,0.94698319774,0.692172407614,-0.254810790126,peak
0.69,left,0.944919724832,0.685077815165,-0.259841909666,peak
0.7,left,0.94288472107,0.678285240937,-0.264599480133,peak
0.71,left,0.940878640494,0.671792017701,-0.269086622793,peak
0.72,left,0.938900552052,0.665594065373,-0.273306486679,peak
0.73,left,0.93694808266,0.659685566259,-0.2772625164,peak
0.74,left,0.935017511872,0.654058538594,-0.280958973278,peak
0.75,left,0.933104219233,0.64870230309,-0.284401916142,peak
0.76,left,0.931203331362,0.643602836123,-0.287600495239,peak
0.77,left,0.92931029343,0.638742131332,-0.290568162099,peak
0.78,left,0.92742134887,0.634097965468,-0.293323383402,peak
0.79,left,0.925533807342,0.629644371112,-0.29588943623,peak
0.8,left,0.923645863289,0.625352599437,-0.298293263852,peak
0.81,left,0.9217560857,0.621192178013,-0.300563907687,peak
0.82,left,0.919862902193,0.617131915087,-0.302730987106,peak
0.83,left,0.917964236446,0.61314085946,-0.304823376986,peak
0.84,left,0.916057463263,0.609189238951,-0.306868224312,peak
0.85,left,0.914139868437,0.605249400034,-0.308890468402,peak
0.86,left,0.912209419407,0.601296770965,-0.310912648443,peak
0.87,left,0.910265379669,0.597310765731,-0.312954613937,peak
0.88,left,0.908308610369,0.593275323199,-0.31503328717,peak
0.89,left,0.906341678162,0.589178850538,-0.317162827624,peak
0.9,left,0.904368665449,0.585013760386,-0.319354905064,peak
0.91,left,0.902394533047,0.580775935096,-0.321618597951,peak
0.92,left,0.900424322732,0.576464251314,-0.323960071418,peak
0.93,left,0.89846255735,0.572080170084,-0.326382387265,peak
0.94,left,0.896512821933,0.56762738629,-0.328885435642,peak
0.95,left,0.894577512269,0.563111531555,-0.331465980714,peak
0.96,left,0.892657871821,0.558539924963,-0.334117946858,peak
0.97,left,0.890754199947,0.55392135921,-0.336832840737,peak
0.98,left,0.888866035478,0.549265894943,-0.339600140535,peak
0.99,left,0.886992391522,0.544584641365,-0.342407750157,peak
1,left,0.885132121511,0.539889529659,-0.345242591852,peak
1.01,left,0.883284223402,0.535193095648,-0.348091127754,peak
1.02,left,0.881447970259,0.530508274697,-0.350939695563,peak
1.03,left,0.879623080009,0.525848203246,-0.353774876762,peak
1.04,left,0.877810006367,0.521226020591,-0.356583985776,peak
1.05,left,0.876010109744,0.516654664478,-0.359355445267,peak
1.06,left,0.87422562299,0.51214665399,-0.362078969,peak
1.07,left,0.872459490009,0.507713876923,-0.364745613086,peak
1.08,left,0.870715001065,0.503367449483,-0.367347551581,peak
1.09,left,0.868995282662,0.49911769884,-0.369877583822,peak
1.1,left,0.867302957817,0.494974223012,-0.372328734806,peak
1.11,left,0.865640052625,0.490945949437,-0.374694103188,peak
