time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.401826212093,0.00174729459357,-0.400078917499,rise
0.01,left,0.404656076826,0.00184490102839,-0.402811175798,rise
0.02,left,0.407421963803,0.0019713998807,-0.405450563923,rise
0.03,left,0.410124869749,0.00213181362103,-0.407993056128,rise
0.04,left,0.412771821372,0.0023317877858,-0.410440033587,rise
0.05,left,0.415375524245,0.00257764282943,-0.412797881415,rise
0.06,left,0.417953178627,0.00287641656746,-0.41507676206,rise
0.07,left,0.420525278452,0.00323586833659,-0.417289410115,rise
0.08,left,0.423114299792,0.00366443954205,-0.41944986025,rise
0.09,left,0.425743133213,0.00417122311377,-0.4215719101,rise
0.1,left,0.428433447989,0.00476598819794,-0.423667459791,rise
0.11,left,0.431203759402,0.00545924334276,-0.425744516059,rise
0.12,left,0.434067120962,0.00626230019373,-0.427804820768,rise
0.13,left,0.437029351237,0.00718732177072,-0.429842029467,rise
0.14,left,0.440088637389,0.00824735303548,-0.431841284353,rise
0.15,left,0.443236394985,0.00945633093277,-0.433780064053,rise
0.16,left,0.446459088234,0.0108290702566,-0.435630017978,rise
0.17,left,0.449740837264,0.0123812213191,-0.437359615945,rise
0.18,left,0.453066004789,0.0141291922133,-0.438936812576,rise
0.19,left,0.456420729405,0.0160900281379,-0.440330701267,rise
0.2,left,0.459793370247,0.0182812445894,-0.441512125657,rise
0.21,left,0.463174359458,0.0207206121553,-0.442453747303,rise
0.22,left,0.466555434901,0.0234258871226,-0.443129547778,rise
0.23,left,0.469928433578,0.0264144794076,-0.44351395417,rise
0.24,left,0.473284523248,0.0297030480999,-0.443581475148,rise
0.25,left,0.476614228403,0.0333070138619,-0.443307214541,rise
0.26,left,0.479907844747,0.037239976302,-0.442667868445,rise
0.27,left,0.483156025737,0.041513112023,-0.441642913714,rise
0.28,left,0.486350355681,0.046134816624,-0.440215539057,rise
0.29,left,0.489483343265,0.0511107893643,-0.438372553901,rise
0.3,left,0.49254771076,0.0564444019158,-0.436103308845,rise
0.31,left,0.495535680909,0.0621370695199,-0.433398611389,rise
0.32,left,0.498438695776,0.0681885111559,-0.43025018462,rise
0.33,left,0.501247367872,0.0745968925944,-0.426650475278,rise
0.34,left,0.503951855124,0.0813588546613,-0.422593000463,rise
0.35,left,0.506543111618,0.0884694276202,-0.418073683998,rise
0.36,left,0.509014536314,0.0959218311687,-0.413092705146,rise
0.37,left,0.511363245116,0.103707224816,-0.4076560203,rise
0.38,left,0.513591093666,0.111814613845,-0.401776479821,rise
0.39,left,0.515705538127,0.120231067184,-0.395474470942,rise
0.4,left,0.517719790715,0.128942134899,-0.388777655817,rise
0.41,left,0.519652108542,0.137932260269,-0.381719848273,rise
0.42,left,0.521524278702,0.147185107691,-0.374339171011,rise
0.43,left,0.523359151422,0.156683808063,-0.36667534336,rise
0.44,left,0.525177775482,0.166411129629,-0.358766645853,rise
0.45,left,0.526997394972,0.176349581242,-0.350647813731,rise
0.46,left,0.528830869133,0.18648145398,-0.342349415154,rise
0.47,left,0.5306869806,0.196788822127,-0.333898158473,rise
0.48,left,0.532571077342,0.207253557497,-0.325317519844,rise
0.49,left,0.534485964585,0.217857398996,-0.316628565589,rise
0.5,left,0.536432742586,0.228582054786,-0.3078506878,rise
0.51,left,0.538411137879,0.239409291962,-0.299001845917,rise
0.52,left,0.54041952313,0.250320998513,-0.290098524617,rise
0.53,left,0.542454942897,0.261299221384,-0.281155721514,rise
0.54,left,0.544512899611,0.272326185775,-0.272186713836,rise
0.55,left,0.546587002794,0.283384300519,-0.263202702275,rise
0.56,left,0.548669216615,0.294456154081,-0.254213062534,rise
0.57,left,0.55075072535,0.305524502388,-0.245226222963,rise
0.58,left,0.552822594373,0.316572242792,-0.236250351581,rise
0.59,left,0.55487602799,0.327582370725,-0.227293657265,rise
0.6,left,0.556902744586,0.338537928272,-0.218364816314,rise
0.61,left,0.558895519454,0.349421958371,-0.209473561084,rise
0.62,left,0.560848638334,0.360217472404,-0.20063116593,rise
0.63,left,0.562758418532,0.370907435298,-0.191850983233,rise
0.64,left,0.564623729784,0.381474772168,-0.183148957616,rise
0.65,left,0.566445974709,0.39190240089,-0.17454357382,rise
0.66,left,0.56822861329,0.402173295433,-0.166055317857,rise
0.67,left,0.569976801081,0.412270601673,-0.157706199408,rise
0.68,left,0.571696986651,0.422177862945,-0.149519123706,rise
0.69,left,0.57339612255,0.431879401507,-0.141516721043,rise
0.7,left,0.57508094763,0.441360836846,-0.133720110785,rise
0.71,left,0.576757757242,0.45060969997,-0.126148057272,rise
0.72,left,0.578432353136,0.459616135071,-0.118816218064,rise
0.73,left,0.58010998762,0.468373700922,-0.111736286698,rise
0.74,left,0.581795447503,0.476880287144,-0.104915160359,rise
0.75,left,0.583493003144,0.485139161403,-0.0983538417414,rise
0.76,left,0.585205868507,0.493160164577,-0.0920457039295,rise
0.77,left,0.586935648525,0.500960853603,-0.0859747949227,rise
0.78,left,0.5886823559,0.508566928245,-0.0801154276551,rise
0.79,left,0.590444581629,0.516011434593,-0.0744331470365,rise
0.8,left,0.592219476885,0.523333114339,-0.0688863625464,rise
0.81,left,0.594003187182,0.530574569061,-0.063428618121,rise
0.82,left,0.595792119671,0.537780492005,-0.0580116276665,rise
0.83,left,0.597584613798,0.544995953036,-0.0525886607623,rise
0.84,left,0.599382514333,0.552264698481,-0.0471178158519,rise
0.85,left,0.601192115641,0.559627427692,-0.041564687948,rise
0.86,left,0.603023745058,0.567120008151,-0.035903736907,rise
0.87,left,0.604889956131,0.574771785128,-0.0301181710036,rise
0.88,left,0.606803476722,0.582604555053,-0.0241989216686,rise
0.89,left,0.608775763895,0.590632632718,-0.0181431311768,rise
0.9,left,0.610815822662,0.598863662307,-0.0119521603544,rise
0.91,left,0.612929041683,0.607299554985,-0.00562948669787,rise
0.92,left,0.61511656761,0.615937306627,0.000820739016874,rise
0.93,left,0.617375312495,0.62476968647,0.00739437397459,rise
0.94,left,0.619698199673,0.633785808314,0.0140876086405,rise
0.95,left,0.622074871123,0.642971595086,0.0208967239627,rise
0.96,left,0.624493038266,0.652310146849,0.0278171085829,rise
0.97,left,0.626939950757,0.66178204247,0.034842091713,rise
0.98,left,0.629403791222,0.671365648944,0.0419618577228,rise
0.99,left,0.631875154923,0.68103749686,0.0491623419364,rise
1,left,0.634348027987,0.690772696264,0.056424668277,rise
