time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.406305663654,0.227223897124,-0.17908176653,peak
0.01,left,0.439427497558,0.253192548036,-0.186234949522,peak
0.02,left,0.473023795116,0.280998369161,-0.192025425955,peak
0.03,left,0.506800149762,0.310596819341,-0.196203330422,peak
0.04,left,0.540461056101,0.341900800618,-0.198560255483,peak
0.05,left,0.573722939217,0.374771845759,-0.198951093458,peak
0.06,left,0.606324589394,0.409011041824,-0.19731354757,peak
0.07,left,0.638034392536,0.444354205721,-0.193680186815,peak
0.08,left,0.668654342935,0.480478499976,-0.188175842959,peak
0.09,left,0.698021255481,0.517021596419,-0.180999659062,peak
0.1,left,0.726006083078,0.55360528221,-0.172400800869,peak
0.11,left,0.752512215141,0.589856424698,-0.162655790444,peak
0.12,left,0.77747318712,0.625424559131,-0.152048627989,peak
0.13,left,0.800849996963,0.659996185407,-0.140853811556,peak
0.14,left,0.822628111203,0.693304886575,-0.129323224628,peak
0.15,left,0.842814061817,0.725136919208,-0.117677142609,peak
0.16,left,0.861431645255,0.755331552416,-0.106100092839,peak
0.17,left,0.8785182093,0.783776193205,-0.094742016095,peak
0.18,left,0.894121656574,0.810398781889,-0.0837228746849,peak
0.19,left,0.908298318764,0.83516016512,-0.0731381536445,peak
0.2,left,0.921111506729,0.858047369975,-0.0630641367541,peak
0.21,left,0.932630523906,0.879067759326,-0.0535627645803,peak
0.22,left,0.942929725335,0.898243979584,-0.0446857457509,peak
0.23,left,0.952087127593,0.915609619304,-0.0364775082893,peak
0.24,left,0.960182535036,0.931205504474,-0.0289770305619,peak
0.25,left,0.967295519229,0.945076623031,-0.022218896198,peak
0.26,left,0.973503524466,0.957269804636,-0.0162337198296,peak
0.27,left,0.978880356767,0.967832246451,-0.0110481103162,peak
0.28,left,0.983495349358,0.976810744269,-0.00668460508908,peak
0.29,left,0.987413170156,0.984251413577,-0.00316175657889,peak
0.3,left,0.990693876106,0.990199805136,-0.000494070969621,peak
0.31,left,0.993393023479,0.994701398697,0.00130837521774,peak
0.32,left,0.995561981636,0.997802471159,0.0022404895235,peak
