time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.401826212093,9.76004178974e-05,-0.401728611675,rise
0.01,left,0.404656076826,0.000128119991312,-0.404527956835,rise
0.02,left,0.407421963803,0.000176433960972,-0.407245529842,rise
0.03,left,0.410124869749,0.000245908093389,-0.409878961655,rise
0.04,left,0.412771821372,0.000340352767322,-0.412431468605,rise
0.05,left,0.415375524245,0.000464051241343,-0.414911473003,rise
0.06,left,0.417953178627,0.000621756293629,-0.417331422334,rise
0.07,left,0.420525278452,0.000818664119191,-0.419706614333,rise
0.08,left,0.423114299792,0.00106040521304,-0.422053894579,rise
0.09,left,0.425743133213,0.00135306326301,-0.42439006995,rise
0.1,left,0.428433447989,0.00170320069309,-0.426730247296,rise
0.11,left,0.431203759402,0.00211787797823,-0.429085881424,rise
0.12,left,0.434067120962,0.00260466631221,-0.43146245465,rise
0.13,left,0.437029351237,0.00317165416786,-0.433857697069,rise
0.14,left,0.440088637389,0.00382744713269,-0.436261190256,rise
0.15,left,0.443236394985,0.00458115906236,-0.438655235923,rise
0.16,left,0.446459088234,0.00544239101637,-0.441016697218,rise
0.17,left,0.449740837264,0.00642119367204,-0.443319643592,rise
0.18,left,0.453066004789,0.00752800937123,-0.445537995418,rise
0.19,left,0.456420729405,0.00877359042218,-0.447647138983,rise
0.2,left,0.459793370247,0.0101688899903,-0.449624480256,rise
0.21,left,0.463174359458,0.0117249212325,-0.451449438226,rise
0.22,left,0.466555434901,0.0134525796968,-0.453102855204,rise
0.23,left,0.469928433578,0.0153624234149,-0.454566010163,rise
0.24,left,0.473284523248,0.0174644044776,-0.45582011877,rise
0.25,left,0.476614228403,0.0197675864251,-0.456846641978,rise
0.26,left,0.479907844747,0.0222799687431,-0.457627876004,rise
0.27,left,0.483156025737,0.0250085096171,-0.45814751612,rise
0.28,left,0.486350355681,0.0279592720152,-0.458391083665,rise
0.29,left,0.489483343265,0.0311375608167,-0.458345782448,rise
0.3,left,0.49254771076,0.0345479966411,-0.457999714119,rise
0.31,left,0.495535680909,0.0381945216252,-0.457341159284,rise
0.32,left,0.498438695776,0.0420803360731,-0.456358359703,rise
0.33,left,0.501247367872,0.0462077639904,-0.455039603882,rise
0.34,left,0.503951855124,0.0505780445754,-0.453373810549,rise
0.35,left,0.506543111618,0.0551910943915,-0.451352017226,rise
0.36,left,0.509014536314,0.0600453873581,-0.448969148956,rise
0.37,left,0.511363245116,0.0651380640987,-0.446225181018,rise
0.38,left,0.513591093666,0.0704651863724,-0.443125907293,rise
0.39,left,0.515705538127,0.0760219847165,-0.43968355341,rise
