time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.406305663654,0.237535117321,-0.168770546333,peak
0.01,left,0.439427497558,0.263594816498,-0.175832681059,peak
0.02,left,0.473023795116,0.291284416122,-0.181739378994,peak
0.03,left,0.506800149762,0.32051076467,-0.186289385093,peak
0.04,left,0.540461056101,0.351131383207,-0.189329672894,peak
0.05,left,0.573722939217,0.382948893006,-0.190774046211,peak
0.06,left,0.606324589394,0.415712635823,-0.190611953571,peak
0.07,left,0.638034392536,0.44912933515,-0.188905057386,peak
0.08,left,0.668654342935,0.482880018425,-0.185774324509,peak
0.09,left,0.698021255481,0.516639530282,-0.181381725199,peak
0.1,left,0.726006083078,0.550095354211,-0.175910728867,peak
0.11,left,0.752512215141,0.58296319371,-0.169549021431,peak
0.12,left,0.77747318712,0.614998651809,-0.162474535311,peak
0.13,left,0.800849996963,0.646004788288,-0.154845208675,peak
0.14,left,0.822628111203,0.675834136766,-0.146793974438,peak
0.15,left,0.842814061817,0.704384727007,-0.13842933481,peak
0.16,left,0.861431645255,0.731592699021,-0.129838946233,peak
0.17,left,0.8785182093,0.757424567756,-0.121093641544,peak
0.18,left,0.894121656574,0.78187021459,-0.112251441984,peak
0.19,left,0.908298318764,0.804936593648,-0.103361725116,peak
0.2,left,0.921111506729,0.826642056229,-0.0944694504999,peak
0.21,left,0.932630523906,0.847011202098,-0.085619321808,peak
0.22,left,0.942929725335,0.866070171821,-0.076859553514,peak
0.23,left,0.952087127593,0.883842538136,-0.0682445894577,peak
0.24,left,0.960182535036,0.900346466733,-0.0598360683035,peak
0.25,left,0.967295519229,0.915593652131,-0.0517018670976,peak
0.26,left,0.973503524466,0.929589583501,-0.0439139409641,peak
0.27,left,0.978880356767,0.942334373418,-0.0365459833487,peak
0.28,left,0.983495349358,0.953823843256,-0.0296715061018,peak
0.29,left,0.987413170156,0.964050855796,-0.0233623143601,peak
0.3,left,0.990693876106,0.973006917108,-0.0176869589975,peak
0.31,left,0.993393023479,0.980684074779,-0.0127089486999,peak
0.32,left,0.995561981636,0.987077144535,-0.00848483710121,peak
0.33,left,0.997248353481,0.992186005704,-0.00506234777679,peak
0.34,left,0.998496200762,0.996017079933,-0.00247912082898,peak
0.35,left,0.999346179879,0.998583324096,-0.000762855782876,peak
0.36,left,0.999835839748,0.999903263082,6.74233342014e-05,peak
0.37,left,1,1,-2.40918396344e-14,peak
0.38,left,0.999871127122,0.998900579253,-0.00097054786849,peak
0.39,left,0.999479764138,0.996635719614,-0.00284404452383,peak
0.4,left,0.998854842843,0.993239906291,-0.00561493655124,peak
0.41,left,0.998023650416,0.988751835708,-0.00927181470839,peak
0.42,left,0.997011621162,0.98321521132,-0.013796409842,peak
0.43,left,0.995842238691,0.976679678347,-0.0191625603443,peak
0.44,left,0.994536952905,0.969201232395,-0.0253357205094,peak
0.45,left,0.993114958149,0.960841594294,-0.0322733638555,peak
0.46,left,0.991593008096,0.951666909278,-0.0399260988183,peak
0.47,left,0.989985344375,0.941746427129,-0.0482389172459,peak
0.48,left,0.988303563916,0.931151412495,-0.0571521514203,peak
0.49,left,0.986556518853,0.919954274682,-0.0666022441711,peak
0.5,left,0.984750525344,0.90822788526,-0.0765226400838,peak
0.51,left,0.982889847267,0.896045054505,-0.0868447927623,peak
0.52,left,0.980977317489,0.883478140066,-0.0974991774224,peak
0.53,left,0.979015137534,0.870598764596,-0.108416372939,peak
0.54,left,0.977005730183,0.857477623429,-0.119528106753,peak
0.55,left,0.974952309488,0.844184364119,-0.130767945369,peak
0.56,left,0.972859138788,0.830787515946,-0.142071622842,peak
0.57,left,0.970731684597,0.817354446873,-0.153377237723,peak
0.58,left,0.968576609301,0.803951328391,-0.16462528091,peak
0.59,left,0.966401431474,0.790643090609,-0.175758340865,peak
0.6,left,0.964213978388,0.777493350235,-0.186720628153,peak
0.61,left,0.962021833854,0.764564293963,-0.197457539891,peak
0.62,left,0.959831782343,0.751916499414,-0.207915282929,peak
0.63,left,0.957649388034,0.739608675849,-0.218040712185,peak
0.64,left,0.955479016372,0.727697307396,-0.227781708976,peak
0.65,left,0.953324212201,0.716236179991,-0.23708803221,peak
0.66,left,0.951188067856,0.705275769142,-0.245912298714,peak
0.67,left,0.94907346897,0.694862463148,-0.254211005822,peak
0.68,left,0.94698319774,0.685037595921,-0.261945601819,peak
0.69,left,0.944919724832,0.675836262407,-0.269083462424,peak
0.7,left,0.94288472107,0.667285887526,-0.275598833544,peak
0.71,left,0.940878640494,0.65940451722,-0.281474123273,peak
0.72,left,0.938900552052,0.652198797778,-0.286701754274,peak
0.73,left,0.93694808266,0.645661978709,-0.29128610395,peak
0.74,left,0.935017511872,0.639773062514,-0.295244449358,peak
0.75,left,0.933104219233,0.634497957066,-0.298606262167,peak
0.76,left,0.931203331362,0.629791993365,-0.301411337997,peak
0.77,left,0.92931029343,0.625602659111,-0.30370763432,peak
0.78,left,0.92742134887,0.621872106689,-0.305549242181,peak
0.79,left,0.925533807342,0.618539447007,-0.306994360335,peak
0.8,left,0.923645863289,0.615542879888,-0.308102983401,peak
0.81,left,0.9217560857,0.612821709973,-0.308934375726,peak
0.82,left,0.919862902193,0.610318295444,-0.309544606749,peak
0.83,left,0.917964236446,0.607979820675,-0.309984415771,peak
0.84,left,0.916057463263,0.605759453256,-0.310298010007,peak
0.85,left,0.914139868437,0.60361655539,-0.310523313047,peak
0.86,left,0.912209419407,0.601516240151,-0.310693179256,peak
0.87,left,0.910265379669,0.599428775094,-0.310836604575,peak
0.88,left,0.908308610369,0.597329039185,-0.310979571184,peak
0.89,left,0.906341678162,0.595196049231,-0.311145628931,peak
0.9,left,0.904368665449,0.593012554645,-0.311356110804,peak
0.91,left,0.902394533047,0.590764699442,-0.311629833605,peak
0.92,left,0.900424322732,0.588441750483,-0.311982572249,peak
0.93,left,0.89846255735,0.586035871176,-0.312426686174,peak
0.94,left,0.896512821933,0.583541877585,-0.312970944347,peak
0.95,left,0.894577512269,0.580956928447,-0.313620583822,peak
0.96,left,0.892657871821,0.578280181017,-0.314377690804,peak
0.97,left,0.890754199947,0.575512472451,-0.315241727496,peak
