time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.401826212093,0.00522073303628,-0.396605479057,rise
0.01,left,0.404656076826,0.00532359412413,-0.399332482702,rise
0.02,left,0.407421963803,0.0054337524799,-0.401988211324,rise
0.03,left,0.410124869749,0.00555162714476,-0.404573242604,rise
0.04,left,0.412771821372,0.00567739628731,-0.407094425085,rise
0.05,left,0.415375524245,0.00581125668797,-0.409564267557,rise
0.06,left,0.417953178627,0.00595370539703,-0.41199947323,rise
0.07,left,0.420525278452,0.00610562144885,-0.414419657003,rise
0.08,left,0.423114299792,0.00626825257456,-0.416846047218,rise
0.09,left,0.425743133213,0.00644319762808,-0.419299935585,rise
0.1,left,0.428433447989,0.00663239019724,-0.421801057792,rise
0.11,left,0.431203759402,0.0068380869107,-0.424365672491,rise
0.12,left,0.434067120962,0.00706285650739,-0.427004264455,rise
0.13,left,0.437029351237,0.00730956423441,-0.429719787003,rise
0.14,left,0.440088637389,0.00758135446542,-0.432507282923,rise
0.15,left,0.443236394985,0.00788163517964,-0.435354759806,rise
0.16,left,0.446459088234,0.00821406243758,-0.438245025797,rise
0.17,left,0.449740837264,0.00858252197928,-0.441158315285,rise
0.18,left,0.453066004789,0.00899110634695,-0.444074898442,rise
0.19,left,0.456420729405,0.00944408620017,-0.446976643205,rise
0.2,left,0.459793370247,0.0099458743416,-0.449847495905,rise
0.21,left,0.463174359458,0.0105009808109,-0.452673378648,rise
0.22,left,0.466555434901,0.0111139572283,-0.455441477672,rise
0.23,left,0.469928433578,0.0117893357733,-0.458139097804,rise
0.24,left,0.473284523248,0.0125315837105,-0.460752939538,rise
0.25,left,0.476614228403,0.0133450888713,-0.463269139532,rise
0.26,left,0.479907844747,0.0142341615857,-0.465673683161,rise
0.27,left,0.483156025737,0.0152030281497,-0.467952997587,rise
0.28,left,0.486350355681,0.0162558047711,-0.47009455091,rise
0.29,left,0.489483343265,0.0173964496977,-0.472086893567,rise
0.3,left,0.49254771076,0.0186286917358,-0.473919019025,rise
0.31,left,0.495535680909,0.019955933036,-0.475579747873,rise
0.32,left,0.498438695776,0.0213811236753,-0.4770575721,rise
0.33,left,0.501247367872,0.0229066283308,-0.478340739541,rise
