time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.406305663654,0.265953338852,-0.140352324802,peak
0.01,left,0.439427497558,0.29399011096,-0.145437386598,peak
0.02,left,0.473023795116,0.323644577157,-0.149379217959,peak
0.03,left,0.506800149762,0.354786346557,-0.152013803205,peak
0.04,left,0.540461056101,0.387230071953,-0.153230984148,peak
0.05,left,0.573722939217,0.420735014832,-0.152987924386,peak
0.06,left,0.606324589394,0.455013913516,-0.151310675878,peak
0.07,left,0.638034392536,0.489748287348,-0.148286105188,peak
0.08,left,0.668654342935,0.524605809561,-0.144048533374,peak
0.09,left,0.698021255481,0.559258210297,-0.138763045183,peak
0.1,left,0.726006083078,0.593398402335,-0.132607680743,peak
0.11,left,0.752512215141,0.626754926016,-0.125757289125,peak
0.12,left,0.77747318712,0.659102224521,-0.1183709626,peak
0.13,left,0.800849996963,0.690264606428,-0.110585390535,peak
0.14,left,0.822628111203,0.72011305949,-0.102515051714,peak
0.15,left,0.842814061817,0.748557863473,-0.0942561983434,peak
0.16,left,0.861431645255,0.775540635113,-0.0858910101419,peak
0.17,left,0.8785182093,0.80102711212,-0.0774910971796,peak
0.18,left,0.894121656574,0.825000685538,-0.0691209710355,peak
0.19,left,0.908298318764,0.847456587064,-0.0608417316998,peak
0.2,left,0.921111506729,0.868396643868,-0.0527148628614,peak
0.21,left,0.932630523906,0.887824519376,-0.0448060045304,peak
0.22,left,0.942929725335,0.905741623949,-0.0371881013862,peak
0.23,left,0.952087127593,0.922144437177,-0.0299426904164,peak
0.24,left,0.960182535036,0.937023804645,-0.0231587303917,peak
0.25,left,0.967295519229,0.950365737818,-0.016929781411,peak
0.26,left,0.973503524466,0.96215289597,-0.0113506284951,peak
0.27,left,0.978880356767,0.972366431042,-0.00651392572512,peak
0.28,left,0.983495349358,0.980988200026,-0.00250714933252,peak
0.29,left,0.987413170156,0.988003384519,0.000590214363044,peak
0.3,left,0.990693876106,0.993403563314,0.00270968720824,peak
0.31,left,0.993393023479,0.997190290212,0.00379726673272,peak
0.32,left,0.995561981636,0.999378746142,0.00381676450674,peak
0.33,left,0.997248353481,1,0.00275164651884,peak
0.34,left,0.998496200762,0.999100767773,0.000604567011033,peak
0.35,left,0.999346179879,0.996741528377,-0.00260465150159,peak
0.36,left,0.999835839748,0.992994531973,-0.00684130777479,peak
0.37,left,1,0.987942306913,-0.0120576930874,peak
0.38,left,0.999871127122,0.981676678046,-0.018194449076,peak
0.39,left,0.999479764138,0.974298260119,-0.0251815040183,peak
0.4,left,0.998854842843,0.965916395185,-0.0329384476581,peak
0.41,left,0.998023650416,0.95664950769,-0.0413741427267,peak
0.42,left,0.997011621162,0.9466255568,-0.0503860643614,peak
0.43,left,0.995842238691,0.935981634419,-0.0598606042726,peak
0.44,left,0.994536952905,0.924861973632,-0.069674979273,peak
0.45,left,0.993114958149,0.913414832363,-0.0797001257863,peak
0.46,left,0.991593008096,0.901789128844,-0.0898038792524,peak
0.47,left,0.989985344375,0.890131136707,-0.0998542076684,peak
0.48,left,0.988303563916,0.878581183315,-0.109722380601,peak
0.49,left,0.986556518853,0.867270262445,-0.119286256408,peak
0.5,left,0.984750525344,0.856316472593,-0.128434052751,peak
0.51,left,0.982889847267,0.845821191757,-0.13706865551,peak
0.52,left,0.980977317489,0.835865405932,-0.145111911556,peak
0.53,left,0.979015137534,0.8265076861,-0.152507451434,peak
0.54,left,0.977005730183,0.817784945239,-0.159220784944,peak
0.55,left,0.974952309488,0.809715070876,-0.165237238612,peak
