time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.401826212093,0.00476985245271,-0.39705635964,rise
0.01,left,0.404656076826,0.0049755997295,-0.399680477097,rise
0.02,left,0.407421963803,0.00519803823766,-0.402223925566,rise
0.03,left,0.410124869749,0.00543735547551,-0.404687514273,rise
0.04,left,0.412771821372,0.00569364357361,-0.407078177799,rise
0.05,left,0.415375524245,0.00596702307309,-0.409408501172,rise
0.06,left,0.417953178627,0.00625775810597,-0.411695420521,rise
0.07,left,0.420525278452,0.00656634063274,-0.413958937819,rise
0.08,left,0.423114299792,0.00689355907601,-0.416220740716,rise
0.09,left,0.425743133213,0.00724055522802,-0.418502577985,rise
0.1,left,0.428433447989,0.00760886918086,-0.420824578808,rise
0.11,left,0.431203759402,0.00800047460795,-0.423203284794,rise
0.12,left,0.434067120962,0.00841780272177,-0.42564931824,rise
0.13,left,0.437029351237,0.00886375219679,-0.42816559904,rise
0.14,left,0.440088637389,0.00934167883625,-0.430746958552,rise
0.15,left,0.443236394985,0.00985535973227,-0.433381035253,rise
0.16,left,0.446459088234,0.0104089388102,-0.436050149424,rise
0.17,left,0.449740837264,0.0110068641751,-0.438733973089,rise
0.18,left,0.453066004789,0.0116538198973,-0.441412184892,rise
0.19,left,0.456420729405,0.0123546503577,-0.444066079047,rise
0.2,left,0.459793370247,0.0131142747815,-0.446679095465,rise
0.21,left,0.463174359458,0.0139375893931,-0.449236770065,rise
0.22,left,0.466555434901,0.0148293544116,-0.451726080489,rise
0.23,left,0.469928433578,0.0157940708467,-0.454134362731,rise
0.24,left,0.473284523248,0.0168358687667,-0.456448654481,rise
0.25,left,0.476614228403,0.0179584227552,-0.458655805648,rise
0.26,left,0.479907844747,0.0191648780076,-0.460742966739,rise
0.27,left,0.483156025737,0.0204577592781,-0.462698266459,rise
0.28,left,0.486350355681,0.0218388498138,-0.464511505867,rise
0.29,left,0.489483343265,0.0233090368435,-0.466174306421,rise
0.3,left,0.49254771076,0.0248681207369,-0.467679590024,rise
0.31,left,0.495535680909,0.0265145845997,-0.469021096309,rise
0.32,left,0.498438695776,0.0282453207233,-0.470193375052,rise
0.33,left,0.501247367872,0.0300553714497,-0.471191996422,rise
0.34,left,0.503951855124,0.0319378724714,-0.472013982653,rise
0.35,left,0.506543111618,0.0338843424294,-0.472658769189,rise
0.36,left,0.509014536314,0.0358852157947,-0.47312932052,rise
0.37,left,0.511363245116,0.0379304314096,-0.473432813707,rise
0.38,left,0.513591093666,0.0400100063604,-0.473581087305,rise
0.39,left,0.515705538127,0.0421145999242,-0.473590938202,rise
0.4,left,0.517719790715,0.0442360789961,-0.473483711719,rise
0.41,left,0.519652108542,0.0463680962632,-0.473284012279,rise
0.42,left,0.521524278702,0.0485066922904,-0.473017586411,rise
0.43,left,0.523359151422,0.0506508525593,-0.472708298863,rise
0.44,left,0.525177775482,0.0528027801784,-0.472374995304,rise
0.45,left,0.526997394972,0.0549677020054,-0.472029692967,rise
0.46,left,0.528830869133,0.0571533468615,-0.471677522272,rise
0.47,left,0.5306869806,0.0593693442625,-0.471317636337,rise
0.48,left,0.532571077342,0.0616266390021,-0.470944438339,rise
0.49,left,0.534485964585,0.0639369188388,-0.470549045746,rise
0.5,left,0.536432742586,0.066312043505,-0.470120699081,rise
0.51,left,0.538411137879,0.0687634630937,-0.469647674785,rise
0.52,left,0.54041952313,0.0713016136647,-0.469117909465,rise
0.53,left,0.542454942897,0.0739353422024,-0.468519600695,rise
0.54,left,0.544512899611,0.0766715500428,-0.467841349568,rise
0.55,left,0.546587002794,0.0795151975465,-0.467071805247,rise
0.56,left,0.548669216615,0.0824695536261,-0.466199662989,rise
0.57,left,0.55075072535,0.0855364848211,-0.465214240529,rise
0.58,left,0.552822594373,0.0887167015757,-0.464105892797,rise
0.59,left,0.55487602799,0.0920099579513,-0.462866070039,rise
0.6,left,0.556902744586,0.0954152077469,-0.461487536839,rise
0.61,left,0.558895519454,0.0989307195487,-0.459964799905,rise
0.62,left,0.560848638334,0.102554152789,-0.458294485545,rise
0.63,left,0.562758418532,0.106282605821,-0.456475812711,rise
0.64,left,0.564623729784,0.110112666524,-0.45451106326,rise
0.65,left,0.566445974709,0.11404048884,-0.452405485869,rise
0.66,left,0.56822861329,0.118061880647,-0.450166732643,rise
0.67,left,0.569976801081,0.122172375114,-0.447804425967,rise
0.68,left,0.571696986651,0.126367275219,-0.445329711432,rise
0.69,left,0.57339612255,0.130641672212,-0.442754450338,rise
0.7,left,0.57508094763,0.134990439492,-0.440090508138,rise
0.71,left,0.576757757242,0.139408203051,-0.437349554191,rise
0.72,left,0.578432353136,0.143889289282,-0.434543063853,rise
0.73,left,0.58010998762,0.148427661947,-0.431682325673,rise
0.74,left,0.581795447503,0.153016883618,-0.428778563885,rise
0.75,left,0.583493003144,0.157650128747,-0.425842874397,rise
0.76,left,0.585205868507,0.1623202302,-0.422885638306,rise
0.77,left,0.586935648525,0.167019725557,-0.419915922969,rise
0.78,left,0.5886823559,0.171740890717,-0.416941465182,rise
0.79,left,0.590444581629,0.176475761992,-0.413968819637,rise
0.8,left,0.592219476885,0.181216148954,-0.411003327932,rise
0.81,left,0.594003187182,0.185953640269,-0.408049546914,rise
0.82,left,0.595792119671,0.190679604653,-0.405112515018,rise
0.83,left,0.597584613798,0.19538521098,-0.402199402818,rise
0.84,left,0.599382514333,0.200061538122,-0.399320976211,rise
0.85,left,0.601192115641,0.204699829568,-0.396492286072,rise
0.86,left,0.603023745058,0.209291860166,-0.393731884892,rise
0.87,left,0.604889956131,0.213830352445,-0.391059603687,rise
0.88,left,0.606803476722,0.218309421959,-0.388494054763,rise
0.89,left,0.608775763895,0.222725058077,-0.386050705819,rise
0.9,left,0.610815822662,0.227075649269,-0.383740173393,rise
0.91,left,0.612929041683,0.231362562201,-0.381566479482,rise
0.92,left,0.61511656761,0.235590784159,-0.379525783451,rise
0.93,left,0.617375312495,0.239769527463,-0.377605785032,rise
0.94,left,0.619698199673,0.243912458393,-0.37578574128,rise
0.95,left,0.622074871123,0.248037292548,-0.374037578575,rise
0.96,left,0.624493038266,0.252164944382,-0.372328093884,rise
0.97,left,0.626939950757,0.256318571151,-0.370621379606,rise
0.98,left,0.629403791222,0.26052263917,-0.368881152052,rise
0.99,left,0.631875154923,0.264802004158,-0.367073150766,rise
1,left,0.634348027987,0.269180985047,-0.36516704294,rise
1.01,left,0.636819556524,0.273682410365,-0.363137146159,rise
1.02,left,0.639288991905,0.278326616047,-0.360962375858,rise
1.03,left,0.64175649351,0.2831304858,-0.35862600771,rise
1.04,left,0.644221826585,0.288106864339,-0.356114962246,rise
1.05,left,0.646683181152,0.293264592949,-0.353418588203,rise
1.06,left,0.649136896256,0.298608964408,-0.350527931848,rise
1.07,left,0.651578156127,0.304142239127,-0.347435917,rise
1.08,left,0.654001888351,0.309864079025,-0.344137809326,rise
1.09,left,0.656403611863,0.315771892889,-0.340631718974,rise
1.1,left,0.658780157781,0.321861098738,-0.336919059043,rise
1.11,left,0.661129578415,0.328125307996,-0.333004270419,rise
1.12,left,0.66345006064,0.334556435515,-0.328893625125,rise
1.13,left,0.665738531308,0.341144765582,-0.324593765727,rise
