time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.406305663654,0.220540325387,-0.185765338267,peak
0.01,left,0.439427497558,0.246672656554,-0.192754841004,peak
0.02,left,0.473023795116,0.274780291313,-0.198243503802,peak
0.03,left,0.506800149762,0.304846964904,-0.201953184858,peak
0.04,left,0.540461056101,0.336817794913,-0.203643261188,peak
0.05,left,0.573722939217,0.370590848779,-0.203132090439,peak
0.06,left,0.606324589394,0.406007486846,-0.200317102548,peak
0.07,left,0.638034392536,0.442842164797,-0.195192227739,peak
0.08,left,0.668654342935,0.480795962118,-0.187858380817,peak
0.09,left,0.698021255481,0.519501603833,-0.178519651648,peak
0.1,left,0.726006083078,0.558543225424,-0.167462857654,peak
0.11,left,0.752512215141,0.59748449348,-0.155027721661,peak
0.12,left,0.77747318712,0.635895959351,-0.141577227769,peak
0.13,left,0.800849996963,0.67337666474,-0.127473332223,peak
0.14,left,0.822628111203,0.70956871218,-0.113059399024,peak
0.15,left,0.842814061817,0.74416612975,-0.0986479320661,peak
0.16,left,0.861431645255,0.776919901146,-0.0845117441085,peak
0.17,left,0.8785182093,0.807638404232,-0.0708798050683,peak
0.18,left,0.894121656574,0.836182396447,-0.0579392601269,peak
0.19,left,0.908298318764,0.862456995586,-0.0458413231776,peak
0.2,left,0.921111506729,0.886403699992,-0.0347078067377,peak
0.21,left,0.932630523906,0.907993471673,-0.0246370522335,peak
0.22,left,0.942929725335,0.927220869951,-0.0157088553842,peak
0.23,left,0.952087127593,0.944099150409,-0.00798797718475,peak
0.24,left,0.960182535036,0.958656253233,-0.00152628180352,peak
0.25,left,0.967295519229,0.970931614352,0.00363609512339,peak
0.26,left,0.973503524466,0.980973702448,0.00747017798196,peak
0.27,left,0.978880356767,0.988838109876,0.00995775310885,peak
0.28,left,0.983495349358,0.994586062795,0.0110907134369,peak
0.29,left,0.987413170156,0.998283383385,0.0108702132296,peak
0.3,left,0.990693876106,1,0.00930612389395,peak
0.31,left,0.993393023479,0.999810033757,0.00641701027778,peak
0.32,left,0.995561981636,0.997792449751,0.00223046811504,peak
0.33,left,0.997248353481,0.994032264495,-0.00321608898582,peak
