time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.406305663654,0.19497283077,-0.211332832885,peak
0.01,left,0.439427497558,0.218975465902,-0.220452031656,peak
0.02,left,0.473023795116,0.24493286699,-0.228090928126,peak
0.03,left,0.506800149762,0.272861828123,-0.233938321639,peak
0.04,left,0.540461056101,0.302748354563,-0.237712701538,peak
0.05,left,0.573722939217,0.334540412765,-0.239182526452,peak
0.06,left,0.606324589394,0.36813958669,-0.238185002704,peak
0.07,left,0.638034392536,0.403391517162,-0.234642875374,peak
0.08,left,0.668654342935,0.440075722131,-0.228578620804,peak
0.09,left,0.698021255481,0.477898739133,-0.220122516348,peak
0.1,left,0.726006083078,0.516498112573,-0.209507970505,peak
0.11,left,0.752512215141,0.555460919878,-0.197051295263,peak
0.12,left,0.77747318712,0.594351244194,-0.183121942927,peak
0.13,left,0.800849996963,0.632737710071,-0.168112286892,peak
0.14,left,0.822628111203,0.670216095031,-0.152412016172,peak
0.15,left,0.842814061817,0.706425634806,-0.13638842701,peak
0.16,left,0.861431645255,0.741059041615,-0.12037260364,peak
0.17,left,0.8785182093,0.77386708952,-0.10465111978,peak
0.18,left,0.894121656574,0.804658204105,-0.0894634524681,peak
0.19,left,0.908298318764,0.833293241163,-0.0750050776011,peak
0.2,left,0.921111506729,0.859677517572,-0.0614339891572,peak
0.21,left,0.932630523906,0.883752837546,-0.0488776863602,peak
0.22,left,0.942929725335,0.905490575758,-0.0374391495775,peak
0.23,left,0.952087127593,0.924885807897,-0.0272013196962,peak
0.24,left,0.960182535036,0.941952403308,-0.0182301317287,peak
0.25,left,0.967295519229,0.956719003548,-0.0105765156809,peak
0.26,left,0.973503524466,0.969225819975,-0.00427770449096,peak
0.27,left,0.978880356767,0.979522151975,0.000641795207928,peak
0.28,left,0.983495349358,0.987664450095,0.00416910073737,peak
0.29,left,0.987413170156,0.993714786227,0.00630161607102,peak
0.3,left,0.990693876106,0.997739764788,0.00704588868226,peak
0.31,left,0.993393023479,0.999809973137,0.00641694965766,peak
