time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.401826212093,0.00210682828218,-0.399719383811,rise
0.01,left,0.404656076826,0.0021734332657,-0.402482643561,rise
0.02,left,0.407421963803,0.00224964627462,-0.405172317529,rise
0.03,left,0.410124869749,0.00233651729365,-0.407788352455,rise
0.04,left,0.412771821372,0.00243516344605,-0.410336657926,rise
0.05,left,0.415375524245,0.00254676558009,-0.412828758665,rise
0.06,left,0.417953178627,0.00267255932912,-0.415280619298,rise
0.07,left,0.420525278452,0.00281381543512,-0.417711463017,rise
0.08,left,0.423114299792,0.00297182516404,-0.420142474628,rise
0.09,left,0.425743133213,0.00314792732067,-0.422595205893,rise
0.1,left,0.428433447989,0.00334358721014,-0.425089860779,rise
0.11,left,0.431203759402,0.00356049622999,-0.427643263172,rise
0.12,left,0.434067120962,0.00380065994609,-0.430266461016,rise
0.13,left,0.437029351237,0.00406646602781,-0.432962885209,rise
0.14,left,0.440088637389,0.00436073466206,-0.435727902727,rise
0.15,left,0.443236394985,0.00468675376747,-0.438549641218,rise
0.16,left,0.446459088234,0.00504830166201,-0.441410786572,rise
0.17,left,0.449740837264,0.0054496601647,-0.4442911771,rise
0.18,left,0.453066004789,0.0058956168991,-0.44717038789,rise
0.19,left,0.456420729405,0.0063914533943,-0.45002927601,rise
0.2,left,0.459793370247,0.00694292078398,-0.452850449463,rise
0.21,left,0.463174359458,0.00755620750783,-0.455618151951,rise
0.22,left,0.466555434901,0.00823789971299,-0.458317535188,rise
0.23,left,0.469928433578,0.00899493236876,-0.460933501209,rise
0.24,left,0.473284523248,0.00983452866613,-0.463449994582,rise
0.25,left,0.476614228403,0.010764125001,-0.465850103402,rise
0.26,left,0.479907844747,0.0117912785404,-0.468116566207,rise
0.27,left,0.483156025737,0.0129235617014,-0.470232464036,rise
0.28,left,0.486350355681,0.0141684638073,-0.472181891873,rise
0.29,left,0.489483343265,0.0155333143383,-0.473950028927,rise
0.3,left,0.49254771076,0.0170252110669,-0.475522499694,rise
0.31,left,0.495535680909,0.0186509254189,-0.47688475549,rise
0.32,left,0.498438695776,0.020416771565,-0.478021924211,rise
0.33,left,0.501247367872,0.0223284346225,-0.47891893325,rise
0.34,left,0.503951855124,0.0243907536696,-0.479561101455,rise
0.35,left,0.506543111618,0.0266074547184,-0.4799356569,rise
0.36,left,0.509014536314,0.0289808282191,-0.480033708095,rise
0.37,left,0.511363245116,0.0315114012663,-0.47985184385,rise
0.38,left,0.513591093666,0.0341977736012,-0.479393320064,rise
0.39,left,0.515705538127,0.0370367458336,-0.478668792293,rise
0.4,left,0.517719790715,0.0400236423704,-0.477696148345,rise
0.41,left,0.519652108542,0.0431526538574,-0.476499454684,rise
0.42,left,0.521524278702,0.0464171307636,-0.475107147938,rise
0.43,left,0.523359151422,0.0498098279498,-0.473549323472,rise
0.44,left,0.525177775482,0.0533231057498,-0.471854669733,rise
