candidate_id,factors,steady_sensitive,project,steady_case,pulse_case
baseline,{},False,artifacts\search\single_pixel\candidates\baseline\trial_00\project.json,spsearch_baseline_00_steady,spsearch_baseline_00_pulse
pb_cp_m20,"{""pb_cp"": 0.8}",False,artifacts\search\single_pixel\candidates\pb_cp_m20\trial_00\project.json,spsearch_pb_cp_m20_00_steady,spsearch_pb_cp_m20_00_pulse
pb_cp_p20,"{""pb_cp"": 1.2}",False,artifacts\search\single_pixel\candidates\pb_cp_p20\trial_00\project.json,spsearch_pb_cp_p20_00_steady,spsearch_pb_cp_p20_00_pulse
tes_cp_m20,"{""tes_cp"": 0.8}",False,artifacts\search\single_pixel\candidates\tes_cp_m20\trial_00\project.json,spsearch_tes_cp_m20_00_steady,spsearch_tes_cp_m20_00_pulse
tes_cp_p20,"{""tes_cp"": 1.2}",False,artifacts\search\single_pixel\candidates\tes_cp_p20\trial_00\project.json,spsearch_tes_cp_p20_00_steady,spsearch_tes_cp_p20_00_pulse
membrane_cp_m20,"{""membrane_cp"": 0.8}",False,artifacts\search\single_pixel\candidates\membrane_cp_m20\trial_00\project.json,spsearch_membrane_cp_m20_00_steady,spsearch_membrane_cp_m20_00_pulse
membrane_cp_p20,"{""membrane_cp"": 1.2}",False,artifacts\search\single_pixel\candidates\membrane_cp_p20\trial_00\project.json,spsearch_membrane_cp_p20_00_steady,spsearch_membrane_cp_p20_00_pulse
stycast_k_m20,"{""stycast_k"": 0.8}",True,artifacts\search\single_pixel\candidates\stycast_k_m20\trial_00\project.json,spsearch_stycast_k_m20_00_steady,spsearch_stycast_k_m20_00_pulse
stycast_k_p20,"{""stycast_k"": 1.2}",True,artifacts\search\single_pixel\candidates\stycast_k_p20\trial_00\project.json,spsearch_stycast_k_p20_00_steady,spsearch_stycast_k_p20_00_pulse
pb_k_m20,"{""pb_k"": 0.8}",True,artifacts\search\single_pixel\candidates\pb_k_m20\trial_00\project.json,spsearch_pb_k_m20_00_steady,spsearch_pb_k_m20_00_pulse
pb_k_p20,"{""pb_k"": 1.2}",True,artifacts\search\single_pixel\candidates\pb_k_p20\trial_00\project.json,spsearch_pb_k_p20_00_steady,spsearch_pb_k_p20_00_pulse
