% Model:              0902gakkai715uA_tes.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 7 2026, 10:49
% Table:              プローブテーブル 1 - 
% 時間 (ms)                                         温度 (K), 吸収体                                       温度 (K), StyCast                                   温度 (K), TES                                       アンペアメーターを通る電流 # (µA)                              TES R(T) (mΩ), TES R
0                                                 0.16858440543142214                               0.16858440498123248                               0.16858435575738903                               143.03806933120995                                15.594456395640444
0.0014763402469664699                             0.16858440543142214                               0.16858440330438645                               0.16858433265001602                               143.03925267824835                                15.594554417186378
0.00255268049393294                               0.16858440543142214                               0.16858440145325396                               0.1685843142461515                                143.03994883733287                                15.594498461382459
0.004705360987865879                              0.16858440543142197                               0.16858439754087043                               0.1685842833970905                                143.04105901965707                                15.594373794422676
0.009010721975731759                              0.16858440543131648                               0.16858438926539093                               0.1685842457862027                                143.0423689622532                                 15.594198088407403
0.01762144395146352                               0.16858440542708353                               0.1685843734479646                                0.168584197317748                                 143.0440652856025                                 15.593976134422878
0.034842887902927035                              0.16858440536563332                               0.16858434597896596                               0.16858414184192028                               143.04600203535026                                15.59371946794077
0.06928577580585407                               0.16858440493216265                               0.16858430589131146                               0.16858408553080237                               143.04796412540702                                15.593456857809665
0.10372866370878112                               0.16858440421197937                               0.1685842772782422                                0.1685840525175212                                143.04911330764958                                15.593302286880895
0.17261443951463518                               0.16858440206949943                               0.16858424588110402                               0.16858402087804986                               143.0502140100275                                 15.593153790257135
0.31038599112634335                               0.16858439675724932                               0.16858422100801287                               0.16858399841033098                               143.0509953816046                                 15.593048201210966
0.5                                               0.1685843889672706                                0.16858420760339696                               0.1685839882326154                                143.0513492287331                                 15.59300031104373
0.75                                              0.16858437866844225                               0.16858419850397693                               0.16858398309228126                               143.05152784472077                                15.592976070857173
1                                                 0.16858436852730824                               0.16858419150877268                               0.16858397991263985                               143.0516382752409                                 15.592961046458836
1.5                                               0.16858434904186992                               0.16858417907858234                               0.16858397476913423                               143.05181686662684                                15.592936717965816
2                                                 0.16858433034619022                               0.1685841672853349                                0.16858396996129574                               143.05198379620796                                15.592913973361204
2.5                                               0.16858431241141902                               0.1685841559896397                                0.16858396536591183                               143.05214334833028                                15.592892233357198
3                                                 0.1685842952070213                                0.16858414515626535                               0.16858396095988312                               143.05229632599767                                15.592871389123552
3.5                                               0.1685842784761727                                0.16858413462136582                               0.16858395667540355                               143.05244508354653                                15.592851119966815
4                                                 0.16858426235935714                               0.16858412447317445                               0.16858395254824035                               143.05258837901917                                15.592831595027693
4.5                                               0.16858424688519444                               0.16858411472964316                               0.16858394858564446                               143.0527259608281                                 15.59281284869516
5                                                 0.16858423204528697                               0.1685841053854774                                0.16858394478546285                               143.05285790363402                                15.592794870738208
5.5                                               0.16858421781945068                               0.16858409642796807                               0.16858394114253067                               143.05298438676226                                15.592777636722364
6                                                 0.16858420418425837                               0.16858408784235618                               0.168583937650846                                 143.05310561863132                                15.592761118247818
6.5                                               0.16858419111581263                               0.16858407961362054                               0.1685839343042975                                143.0532218113435                                 15.592745286409766
7                                                 0.1685841785908244                                0.16858407172706466                               0.16858393109691105                               143.0533331723555                                 15.592730112938852
7.5                                               0.1685841665867294                                0.1685840641685124                                0.1685839280229197                                143.0534399019325                                 15.592715570546583
8                                                 0.16858415508191685                               0.16858405692433484                               0.16858392507678044                               143.05354219243054                                15.592701633016514
8.5                                               0.1685841440556252                                0.16858404998146148                               0.16858392225318086                               143.05364022843327                                15.59268827520201
9                                                 0.16858413348795082                               0.1685840433273656                                0.16858391954702187                               143.05373418686088                                15.5926754729914
9.5                                               0.16858412335981598                               0.16858403695003224                               0.16858391695342023                               143.05382423727644                                15.59266320327663
10                                                0.16858411365294856                               0.1685840308379542                                0.16858391446769552                               143.05391054225154                                15.592651443909334
10.5                                              0.16858410434981322                               0.16858402498009492                               0.1685839120853588                                143.05399325755232                                15.59264017366111
11                                                0.16858409543363473                               0.16858401936588507                               0.1685839098021118                                143.05407253246156                                15.592629372187774
11.5                                              0.16858408688830256                               0.1685840139851873                                0.1685839076138316                                143.05414851013234                                15.592619019990464
12                                                0.1685840786983913                                0.1685840088282903                                0.1685839055165691                                143.05422132762217                                15.592609098381505
12.5                                              0.1685840708491416                                0.1685840038858828                                0.16858390350653824                               143.05429111644776                                15.592599589451543
13                                                0.1685840633263596                                0.1685839991490491                                0.16858390158011116                               143.0543580025433                                 15.592590476034053
13.5                                              0.16858405611646896                               0.16858399460923612                               0.16858389973381036                               143.054422106643                                  15.592581741678856
14                                                0.16858404920645487                               0.1685839902582438                                0.16858389796430157                               143.05448354447583                                15.592573370618751
14.5                                              0.16858404258385826                               0.16858398608822658                               0.16858389626839335                               143.05454242691462                                15.592565347742577
15                                                0.1685840362367233                                0.16858398209165265                               0.16858389464302292                               143.0545988602624                                 15.592557658568026
15.5                                              0.16858403015357706                               0.16858397826130844                               0.16858389308525834                               143.05465294638626                                15.592550289215241
16                                                0.168584024323454                                 0.16858397459028235                               0.16858389159228404                               143.05470478290178                                15.59254322638077
16.5                                              0.1685840187358238                                0.16858397107194334                               0.16858389016140723                               143.05475446336976                                15.592536457315678
17                                                0.16858401338059711                               0.16858396769994485                               0.1685838887900463                                143.0548020774841                                 15.592529969801335
17.5                                              0.1685840082481166                                0.16858396446819982                               0.16858388747572434                               143.05484771117855                                15.592523752125787
18                                                0.16858400332909973                               0.1685839613708705                                0.1685838862160679                                143.05489144686757                                15.592517793065998
18.5                                              0.16858399861469497                               0.16858395840236953                               0.1685838850088066                                143.0549333633964                                 15.592512081865168
19                                                0.16858399409636737                               0.168583955557339                                 0.16858388385175802                               143.05497353651353                                15.592506608213979
19.5                                              0.16858398976597827                               0.16858395283064329                               0.16858388274283434                               143.05501203870355                                15.592501362231644
20                                                0.168583985615709                                 0.16858395021735692                               0.16858388168003427                               143.0550489394878                                 15.592496334447793
20.004                                            0.1685839855832283                                0.16858395019690792                               0.16858388167171853                               143.0550492282358                                 15.592496295103878
20.008                                            0.16858398555077325                               0.16858395017646596                               0.16858388166340446                               143.05504951688832                                15.592496255774531
20.012                                            0.1685839855183143                                0.16858395015603123                               0.1685838816550942                                143.05504980544316                                15.592496216458517
20.016                                            0.16858398548587297                               0.16858395013560554                               0.16858388164678778                               143.05505009385112                                15.592496177162614
20.017                                            0.16858398547777048                               0.16858395013050026                               0.16858388164471033                               143.05505016594677                                15.59249616733947
20.0185                                           0.16858398546560618                               0.1685839501228428                                0.16858388164159574                               143.05505027407776                                15.592496152606632
20.018875                                         0.16858398546256514                               0.16858395012092947                               0.1685838816408184                                143.05505030110967                                15.592496148923757
20.0194375                                        0.1685839854580044                                0.16858395011805744                               0.16858388163965005                               143.05505034165475                                15.592496143399119
20.019578125                                      0.1685839854568663                                0.16858395011734018                               0.16858388163935842                               143.05505035179092                                15.59249614201796
20.0197890625                                     0.1685839854551561                                0.16858395011626282                               0.1685838816389206                                143.05505036699498                                15.592496139946352
20.019841796875                                   0.1685839854547283                                0.16858395011599256                               0.1685838816388107                                143.05505037079598                                15.592496139428592
20.0199208984375                                  0.16858398545408834                               0.16858395011558944                               0.16858388163864732                               143.05505037649743                                15.592496138651727
20.019940673828124                                0.16858398545392575                               0.16858395011548863                               0.16858388163860516                               143.0550503779228                                 15.592496138457578
20.019970336914064                                0.1685839854536849                                0.16858395011533628                               0.16858388163854418                               143.0550503800608                                 15.592496138166121
20.01997775268555                                 0.1685839854536247                                0.16858395011529914                               0.1685838816385288                                143.05505038059533                                15.592496138093292
20.019988876342772                                0.1685839854535341                                0.1685839501152412                                0.1685838816385051                                143.05505038139708                                15.592496137984016
20.01999165725708                                 0.1685839854535112                                0.16858395011522626                               0.16858388163849947                               143.05505038159754                                15.592496137956736
20.019995828628538                                0.16858398545347664                               0.16858395011520566                               0.16858388163849117                               143.05505038189818                                15.592496137915676
20.019996871471402                                0.16858398545346895                               0.16858395011520041                               0.168583881638489                                 143.05505038197333                                15.59249613790543
20.0199984357357                                  0.16858398545345638                               0.1685839501151922                                0.1685838816384855                                143.05505038208608                                15.592496137890056
20.01999882680178                                 0.16858398545345327                               0.16858395011519056                               0.16858388163848467                               143.05505038211427                                15.592496137886233
20.019999413400885                                0.16858398545344813                               0.1685839501151876                                0.16858388163848353                               143.05505038215657                                15.59249613788053
20.019999560050664                                0.1685839854534471                                0.16858395011518676                               0.16858388163848312                               143.05505038216714                                15.592496137879074
20.019999780025334                                0.16858398545344508                               0.16858395011518573                               0.1685838816384829                                143.05505038218297                                15.592496137876921
20.019999835018996                                0.16858398545344466                               0.16858395011518548                               0.1685838816384828                                143.05505038218695                                15.592496137876456
20.019999917509498                                0.16858398545344405                               0.16858395011518518                               0.1685838816384827                                143.0550503821929                                 15.592496137875596
20.019999938132123                                0.16858398545344394                               0.16858395011518512                               0.16858388163848265                               143.0550503821944                                 15.592496137875425
20.01999996906606                                 0.16858398545344366                               0.16858395011518496                               0.16858388163848256                               143.0550503821966                                 15.59249613787518
20.019999976799543                                0.16858398545344366                               0.1685839501151849                                0.1685838816384825                                143.05505038219718                                15.592496137875079
20.01999998839977                                 0.1685839854534436                                0.16858395011518482                               0.16858388163848245                               143.055050382198                                  15.592496137874981
20.019999991299827                                0.16858398545344355                               0.16858395011518482                               0.1685838816384825                                143.05505038219823                                15.592496137875052
20.01999999564991                                 0.16858398545344352                               0.1685839501151848                                0.1685838816384825                                143.05505038219854                                15.592496137874964
20.019999996737436                                0.16858398545344352                               0.1685839501151848                                0.1685838816384825                                143.0550503821986                                 15.592496137874933
20.019999998368718                                0.16858398545344352                               0.1685839501151848                                0.16858388163848245                               143.05505038219871                                15.592496137874981
20.019999998776537                                0.16858398545344352                               0.16858395011518476                               0.16858388163848245                               143.05505038219874                                15.592496137875004
20.01999999938827                                 0.16858398545344352                               0.16858395011518476                               0.16858388163848245                               143.0550503821988                                 15.592496137874976
20.019999999541202                                0.16858398545663206                               0.16858395011518476                               0.16858388163848248                               143.0550503821988                                 15.592496137874958
20.019999999770604                                0.16858398637875213                               0.1685839501151849                                0.16858388163848245                               143.05505038219883                                15.592496137874944
20.019999999885304                                0.16858398744459652                               0.16858395011518493                               0.16858388163848245                               143.05505038219883                                15.592496137874939
20.02                                             0.16858398926835136                               0.16858395011518504                               0.16858388163848245                               143.05505038219883                                15.592496137874956
20.020000000103227                                0.1685839915291342                                0.16858395011518537                               0.16858388163848245                               143.05505038219883                                15.592496137874946
20.02000000020645                                 0.16858399430960233                               0.16858395011518565                               0.16858388163848245                               143.05505038219883                                15.592496137875015
20.02000000030968                                 0.1685839974363222                                0.16858395011518595                               0.16858388163848245                               143.05505038219883                                15.592496137875033
20.020000000412907                                0.16858400071722496                               0.16858395011518634                               0.16858388163848248                               143.05505038219883                                15.592496137875004
20.02000000061936                                 0.168584007346012                                 0.168583950115187                                 0.16858388163848245                               143.05505038219883                                15.592496137875006
20.020000001032265                                0.16858402071982592                               0.16858395011518856                               0.16858388163848248                               143.05505038219886                                15.592496137875015
20.02000000185808                                 0.1685840478346035                                0.1685839501151911                                0.16858388163848248                               143.0550503821989                                 15.592496137874889
20.020000003509708                                0.16858410404028912                               0.16858395011519595                               0.16858388163848245                               143.05505038219906                                15.592496137874925
20.020000004996177                                0.16858415604412566                               0.16858395011520005                               0.1685838816384825                                143.05505038219914                                15.592496137874923
20.020000006482643                                0.16858420943707753                               0.16858395011520394                               0.16858388163848245                               143.05505038219923                                15.592496137874907
20.02000000796911                                 0.1685842641911121                                0.16858395011520777                               0.1685838816384825                                143.05505038219934                                15.59249613787494
20.02000001094204                                 0.16858437679375535                               0.1685839501152137                                0.16858388163848245                               143.05505038219957                                15.592496137874935
20.020000013914974                                0.16858449430536504                               0.1685839501152192                                0.16858388163848245                               143.05505038219977                                15.592496137874928
20.020000016887902                                0.16858461675867872                               0.1685839501152241                                0.16858388163848237                               143.0550503822                                    15.592496137874889
20.02000002283377                                 0.16858487591804824                               0.1685839501152307                                0.1685838816384824                                143.0550503822004                                 15.59249613787482
20.02000002818505                                 0.1685851248444286                                0.16858395011523433                               0.16858388163848237                               143.0550503822008                                 15.592496137874752
20.020000033536327                                0.16858538789033592                               0.16858395011523672                               0.16858388163848237                               143.05505038220116                                15.592496137874734
20.020000038887606                                0.16858566441891615                               0.16858395011523786                               0.16858388163848245                               143.05505038220156                                15.59249613787473
20.020000044238884                                0.168585953867426                                 0.1685839501152379                                0.16858388163848237                               143.05505038220196                                15.592496137874708
20.020000049590163                                0.1685862557388066                                0.1685839501152368                                0.16858388163848237                               143.05505038220232                                15.59249613787469
20.02000005494144                                 0.16858656959160853                               0.16858395011523558                               0.1685838816384824                                143.0550503822027                                 15.592496137874596
20.020000060292716                                0.16858689503087756                               0.16858395011523383                               0.16858388163848237                               143.0550503822031                                 15.59249613787465
20.020000065643995                                0.16858723170064746                               0.1685839501152316                                0.16858388163848237                               143.05505038220346                                15.592496137874614
20.020000076346548                                0.16858793710456849                               0.1685839501152262                                0.16858388163848234                               143.05505038220423                                15.592496137874553
20.0200000870491                                  0.16858868387193118                               0.16858395011522068                               0.1685838816384823                                143.055050382205                                  15.592496137874502
20.020000097751655                                0.16858947015574877                               0.16858395011521538                               0.16858388163848234                               143.05505038220574                                15.592496137874392
20.02000010845421                                 0.1685902942898843                                0.16858395011521043                               0.16858388163848234                               143.0550503822065                                 15.592496137874338
20.020000119156762                                0.16859115479214368                               0.16858395011520505                               0.16858388163848229                               143.05505038220727                                15.592496137874338
20.020000129859316                                0.16859205034218738                               0.1685839501152008                                0.16858388163848226                               143.055050382208                                  15.592496137874239
20.02000014056187                                 0.1685929797563319                                0.16858395011519742                               0.16858388163848226                               143.0550503822088                                 15.592496137874132
20.020000151264423                                0.1685939419654728                                0.16858395011519448                               0.16858388163848226                               143.05505038220957                                15.592496137874125
20.020000161966976                                0.16859493599702036                               0.1685839501151919                                0.16858388163848226                               143.0550503822103                                 15.592496137874075
