time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6857385051115584E-01,  1.4316378574517373E-04,  1.5577677326747502E-02,  3.1901349134448412E-10
  2.0000000000000000E-03,  1.6858431407237318E-01,  1.4291537709978808E-04,  1.5611567698410204E-02,  3.1948159729231888E-10
  3.0000000000000001E-03,  1.6857798984766992E-01,  1.4335186703899253E-04,  1.5552098453766629E-02,  3.1915700144509946E-10
  4.0000000000000001E-03,  1.6858230543811717E-01,  1.4304591214738438E-04,  1.5593767570037859E-02,  3.1937398146980431E-10
  5.0000000000000001E-03,  1.6858222442662715E-01,  1.4310977197179859E-04,  1.5585037087989098E-02,  3.1937025984205206E-10
  6.0000000000000001E-03,  1.6858280912005855E-01,  1.4311259284274550E-04,  1.5584658267405849E-02,  3.1936670913878667E-10
  7.0000000000000001E-03,  1.6858279552480834E-01,  1.4309229252852600E-04,  1.5587424517557208E-02,  3.1936255129878881E-10
  8.0000000000000002E-03,  1.6858269154840666E-01,  1.4309276198049640E-04,  1.5587358798803630E-02,  3.1935849158650606E-10
  9.0000000000000011E-03,  1.6858258640453413E-01,  1.4309637204133955E-04,  1.5586866898279393E-02,  3.1935463370451244E-10
  1.0000000000000002E-02,  1.6858249712254786E-01,  1.4310002306996476E-04,  1.5586369710289906E-02,  3.1935097509350371E-10
  1.1000000000000003E-02,  1.6858239909759756E-01,  1.4310312341177321E-04,  1.5585947583701618E-02,  3.1934749336860973E-10
  1.2000000000000004E-02,  1.6858229359698815E-01,  1.4310652727166564E-04,  1.5585484074664098E-02,  3.1934419511182316E-10
  1.3000000000000005E-02,  1.6858221135892959E-01,  1.4311019076419505E-04,  1.5584985241433279E-02,  3.1934108533688821E-10
  1.4000000000000005E-02,  1.6858213314332329E-01,  1.4311304662184950E-04,  1.5584596482954204E-02,  3.1933813329886396E-10
  1.5000000000000006E-02,  1.6858205253361300E-01,  1.4311576273471998E-04,  1.5584226707861581E-02,  3.1933533114461230E-10
  1.6000000000000007E-02,  1.6858198486472689E-01,  1.4311856197806729E-04,  1.5583845610443188E-02,  3.1933267864763520E-10
  1.7000000000000008E-02,  1.6858190891020600E-01,  1.4312091192237133E-04,  1.5583525738070800E-02,  3.1933015780635658E-10
  1.8000000000000009E-02,  1.6858184433172926E-01,  1.4312354952109778E-04,  1.5583166654880118E-02,  3.1932777558080904E-10
  1.9000000000000010E-02,  1.6858178615475675E-01,  1.4312579217110735E-04,  1.5582861405453327E-02,  3.1932551601361482E-10
  2.0000000000000011E-02,  1.6858171735633889E-01,  1.4312781250796114E-04,  1.5582586412020739E-02,  3.1932336921013806E-10
  2.0018000000000011E-02,  1.6858168439196858E-01,  1.4313018528372412E-04,  1.5582252280157700E-02,  3.1931322377206093E-10
  2.0019000000000012E-02,  1.6858165728696617E-01,  1.4313121643379646E-04,  1.5582034641575822E-02,  3.1930410696605990E-10
  2.0020000000000013E-02,  1.6858165445551004E-01,  1.4313216780073744E-04,  1.5581912005054245E-02,  3.1929607496095600E-10
  2.0020001000000013E-02,  1.6858165041036346E-01,  1.4313217061851327E-04,  1.5581751232472234E-02,  3.1926654484288536E-10
  2.0020011000000015E-02,  1.6858165040358750E-01,  1.4313219674422405E-04,  1.5581765310698173E-02,  3.1926198143030356E-10
  2.0020021000000016E-02,  1.6858165029381975E-01,  1.4313222097087156E-04,  1.5581778332712674E-02,  3.1925791184327138E-10
  2.0020031000000018E-02,  1.6858165018284843E-01,  1.4313224370010003E-04,  1.5581788107029905E-02,  3.1925427937782271E-10
  2.0020041000000020E-02,  1.6858165006819498E-01,  1.4313226504481037E-04,  1.5581797099578916E-02,  3.1925103810265058E-10
  2.0020051000000021E-02,  1.6858164994844732E-01,  1.4313228511593658E-04,  1.5581805312170280E-02,  3.1924814673276752E-10
  2.0020061000000023E-02,  1.6858164982511137E-01,  1.4313230401987232E-04,  1.5581812769337816E-02,  3.1924556820940148E-10
  2.0020071000000025E-02,  1.6858164969852737E-01,  1.4313232185137137E-04,  1.5581819558211821E-02,  3.1924326940042327E-10
  2.0020081000000026E-02,  1.6858164956867294E-01,  1.4313233869737033E-04,  1.5581825734133505E-02,  3.1924122063906985E-10
  2.0020091000000028E-02,  1.6858164943565854E-01,  1.4313235463848665E-04,  1.5581831340438897E-02,  3.1923939534999456E-10
  2.0020101000000030E-02,  1.6858164929973513E-01,  1.4313236974914281E-04,  1.5581836420231907E-02,  3.1923776973688684E-10
  2.0020201000000029E-02,  1.6858164780613366E-01,  1.4313245831381065E-04,  1.5581878110639547E-02,  3.1923251984799114E-10
  2.0020301000000029E-02,  1.6858164629246070E-01,  1.4313252946294240E-04,  1.5581883392403420E-02,  3.1922663615444361E-10
  2.0020401000000028E-02,  1.6858164472249373E-01,  1.4313259236935430E-04,  1.5581881913489103E-02,  3.1922534183888626E-10
  2.0020501000000027E-02,  1.6858164319140634E-01,  1.4313265087762206E-04,  1.5581877729402331E-02,  3.1922534183888626E-10
  2.0020601000000027E-02,  1.6858164168398163E-01,  1.4313270676685554E-04,  1.5581872372932688E-02,  3.1922534183888626E-10
  2.0020701000000026E-02,  1.6858164015692892E-01,  1.4313276129808742E-04,  1.5581866117647100E-02,  3.1922534183888626E-10
  2.0020801000000026E-02,  1.6858163865143819E-01,  1.4313281492650759E-04,  1.5581859594084584E-02,  3.1922534183888626E-10
  2.0020901000000025E-02,  1.6858163712758328E-01,  1.4313286815957767E-04,  1.5581852688255453E-02,  3.1922551965857897E-10
  2.0021001000000024E-02,  1.6858163561481301E-01,  1.4313292110484585E-04,  1.5581845729183592E-02,  3.1922551965857897E-10
  2.0026001000000026E-02,  1.6858156136798708E-01,  1.4313303762274383E-04,  1.5581873365362577E-02,  3.1922605170979166E-10
  2.0031001000000027E-02,  1.6858149134492828E-01,  1.4313553585616908E-04,  1.5581492402751855E-02,  3.1922923339424297E-10
  2.0036001000000029E-02,  1.6858149319264573E-01,  1.4313798880869277E-04,  1.5581159327058024E-02,  3.1923178223910659E-10
  2.0041001000000030E-02,  1.6858142783407840E-01,  1.4313798667097948E-04,  1.5581201811706989E-02,  3.1923348711689985E-10
  2.0046001000000032E-02,  1.6858136610669636E-01,  1.4314020046594358E-04,  1.5580862434084949E-02,  3.1923580016254474E-10
  2.0051001000000034E-02,  1.6858130717266523E-01,  1.4314234588471068E-04,  1.5580571629835775E-02,  3.1923876228620446E-10
  2.0056001000000035E-02,  1.6858125245315664E-01,  1.4314439501219724E-04,  1.5580294418155727E-02,  3.1924197334824215E-10
  2.0061001000000037E-02,  1.6858120266174792E-01,  1.4314629901944571E-04,  1.5580037802188411E-02,  3.1924519614374548E-10
  2.0066001000000038E-02,  1.6858115677135457E-01,  1.4314803252974187E-04,  1.5579804830606434E-02,  3.1924828673028660E-10
  2.0071001000000040E-02,  1.6858111424036987E-01,  1.4314962970614595E-04,  1.5579589829678234E-02,  3.1925119121586486E-10
  2.0076001000000041E-02,  1.6858107464282079E-01,  1.4315110973488394E-04,  1.5579390444779663E-02,  3.1925390133271288E-10
  2.0081001000000043E-02,  1.6858103815626937E-01,  1.4315248751660466E-04,  1.5579204721004380E-02,  3.1925642615966559E-10
  2.0086001000000044E-02,  1.6858100590715550E-01,  1.4315375740265077E-04,  1.5579033779302615E-02,  3.1925876913398997E-10
  2.0091001000000046E-02,  1.6858097580083889E-01,  1.4315488109580888E-04,  1.5578883390979736E-02,  3.1926090571033659E-10
  2.0096001000000047E-02,  1.6858094877397287E-01,  1.4315592860484933E-04,  1.5578742168092817E-02,  3.1926286307051290E-10
  2.0101001000000049E-02,  1.6858092451955475E-01,  1.4315686992599175E-04,  1.5578615911283671E-02,  3.1926464733530251E-10
  2.0106001000000050E-02,  1.6858090212586541E-01,  1.4315771471854020E-04,  1.5578502624135529E-02,  3.1926626265683585E-10
  2.0111001000000052E-02,  1.6858088211878586E-01,  1.4315849410364762E-04,  1.5578397702994462E-02,  3.1926773334809573E-10
  2.0116001000000053E-02,  1.6858086452463084E-01,  1.4315919103391182E-04,  1.5578304294769349E-02,  3.1926906579745892E-10
  2.0121001000000055E-02,  1.6858084917515639E-01,  1.4315980419740039E-04,  1.5578222307239327E-02,  3.1927025933232193E-10
  2.0126001000000057E-02,  1.6858083590394488E-01,  1.4316033926053574E-04,  1.5578150849237180E-02,  3.1927131712486057E-10
  2.0131001000000058E-02,  1.6858082533986815E-01,  1.4316080199991627E-04,  1.5578089132685609E-02,  3.1927224557100489E-10
  2.0136001000000060E-02,  1.6858081619207679E-01,  1.4316117125488941E-04,  1.5578040499319601E-02,  3.1927303492378342E-10
  2.0141001000000061E-02,  1.6858080939899220E-01,  1.4316149023067812E-04,  1.5577997964581196E-02,  3.1927370509212040E-10
  2.0146001000000063E-02,  1.6858080481996754E-01,  1.4316172820315985E-04,  1.5577966978929970E-02,  3.1927425336587214E-10
  2.0151001000000064E-02,  1.6858080228490141E-01,  1.4316188917946117E-04,  1.5577946400265545E-02,  3.1927467562403107E-10
  2.0156001000000066E-02,  1.6858080193308281E-01,  1.4316197902033658E-04,  1.5577935399281755E-02,  3.1927497437892117E-10
  2.0161001000000067E-02,  1.6858080367176487E-01,  1.4316199315179374E-04,  1.5577934777563383E-02,  3.1927514890072242E-10
  2.0166001000000069E-02,  1.6858080795758051E-01,  1.4316193460288081E-04,  1.5577943992342615E-02,  3.1927514890072242E-10
  2.0171001000000070E-02,  1.6858081465951735E-01,  1.4316178798003292E-04,  1.5577965454588512E-02,  3.1927514890072242E-10
  2.0176001000000072E-02,  1.6858082328605228E-01,  1.4316155734203520E-04,  1.5577998277898825E-02,  3.1927491496107883E-10
  2.0181001000000073E-02,  1.6858083411275679E-01,  1.4316125943916413E-04,  1.5578039965316356E-02,  3.1927456081261378E-10
  2.0186001000000075E-02,  1.6858084723259720E-01,  1.4316088534948660E-04,  1.5578092171987315E-02,  3.1927408444409505E-10
  2.0191001000000076E-02,  1.6858086265850539E-01,  1.4316043170421451E-04,  1.5578155261006234E-02,  3.1927348105564652E-10
  2.0196001000000078E-02,  1.6858088059490464E-01,  1.4315989798257755E-04,  1.5578229254498248E-02,  3.1927274731005525E-10
  2.0201001000000079E-02,  1.6858090021803918E-01,  1.4315927724739818E-04,  1.5578315206842247E-02,  3.1927187686903714E-10
  2.0206001000000081E-02,  1.6858092204399133E-01,  1.4315859723228839E-04,  1.5578408749092186E-02,  3.1927088364119071E-10
  2.0211001000000083E-02,  1.6858094614421443E-01,  1.4315784113909754E-04,  1.5578512932308317E-02,  3.1926976837957115E-10
  2.0216001000000084E-02,  1.6858097294903460E-01,  1.4315700613396181E-04,  1.5578627902453082E-02,  3.1926852663215300E-10
  2.0221001000000086E-02,  1.6858100163501274E-01,  1.4315607757072802E-04,  1.5578755855739777E-02,  3.1926714600871183E-10
  2.0226001000000087E-02,  1.6858103180487538E-01,  1.4315508298230623E-04,  1.5578892321498450E-02,  3.1926563590215530E-10
  2.0231001000000089E-02,  1.6858106437342371E-01,  1.4315403650483644E-04,  1.5579035606798040E-02,  3.1926401518426409E-10
