time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6855675553835819E-01,  1.4376685635792991E-04,  1.5495972080846090E-02,  3.2000944582598293E-10
  2.0000000000000000E-03,  1.6856709363902719E-01,  1.4351214082310545E-04,  1.5530433669289453E-02,  3.2047264134233790E-10
  3.0000000000000001E-03,  1.6856099197861749E-01,  1.4394614888785462E-04,  1.5471790653970613E-02,  3.2015604740042248E-10
  4.0000000000000001E-03,  1.6856507953352090E-01,  1.4364623559359339E-04,  1.5512299093049728E-02,  3.2036306127788196E-10
  5.0000000000000001E-03,  1.6856501114709457E-01,  1.4370844600564931E-04,  1.5503864646217891E-02,  3.2035955272541767E-10
  6.0000000000000001E-03,  1.6856557283320966E-01,  1.4371083225028710E-04,  1.5503547575263732E-02,  3.2035619604327377E-10
  7.0000000000000001E-03,  1.6856554217298161E-01,  1.4369129818376153E-04,  1.5506187260573748E-02,  3.2035225575705669E-10
  8.0000000000000002E-03,  1.6856546174970158E-01,  1.4369236199881914E-04,  1.5506041825229314E-02,  3.2034842903103522E-10
  9.0000000000000011E-03,  1.6856535564625291E-01,  1.4369515904399314E-04,  1.5505663935711483E-02,  3.2034477207027633E-10
  1.0000000000000002E-02,  1.6856527265445523E-01,  1.4369884942974783E-04,  1.5505165494881082E-02,  3.2034131130357321E-10
  1.1000000000000003E-02,  1.6856516389142037E-01,  1.4370173618441802E-04,  1.5504775742683635E-02,  3.2033801606182968E-10
  1.2000000000000004E-02,  1.6856506954131920E-01,  1.4370551914508721E-04,  1.5504264847018667E-02,  3.2033491286342582E-10
  1.3000000000000005E-02,  1.6856499673678169E-01,  1.4370880099297647E-04,  1.5503821758763109E-02,  3.2033198120185310E-10
  1.4000000000000005E-02,  1.6856491648193189E-01,  1.4371133347199980E-04,  1.5503479889036081E-02,  3.2032919266129132E-10
  1.5000000000000006E-02,  1.6856483970627448E-01,  1.4371412499120115E-04,  1.5503102971507074E-02,  3.2032655298181939E-10
  1.6000000000000007E-02,  1.6856478020639054E-01,  1.4371679555966530E-04,  1.5502742430298186E-02,  3.2032405516470614E-10
  1.7000000000000008E-02,  1.6856472702624506E-01,  1.4371886528420256E-04,  1.5502463058890414E-02,  3.2032167635052807E-10
  1.8000000000000009E-02,  1.6856465797987508E-01,  1.4372071514445785E-04,  1.5502213344429278E-02,  3.2031940681271407E-10
  1.9000000000000010E-02,  1.6856459064369569E-01,  1.4372311681662924E-04,  1.5501889078269659E-02,  3.2031726274042603E-10
  2.0000000000000011E-02,  1.6856452772519545E-01,  1.4372545909311222E-04,  1.5501572893105012E-02,  3.2031523966428676E-10
  2.0018000000000011E-02,  1.6856446916013867E-01,  1.4372763278539734E-04,  1.5501269335641041E-02,  3.2030566810521361E-10
  2.0019000000000012E-02,  1.6856444189830910E-01,  1.4372945550370736E-04,  1.5500877647469144E-02,  3.2029705674061650E-10
  2.0020000000000013E-02,  1.6856443912128191E-01,  1.4373050167234072E-04,  1.5500802889303639E-02,  3.2028961823400248E-10
  2.0020001000000013E-02,  1.6856443518431691E-01,  1.4373050454737424E-04,  1.5500645992745393E-02,  3.2026220289875733E-10
  2.0020011000000015E-02,  1.6856443517862249E-01,  1.4373053119920719E-04,  1.5500660353649207E-02,  3.2025796847634582E-10
  2.0020021000000016E-02,  1.6856443507595895E-01,  1.4373055590614141E-04,  1.5500673662543901E-02,  3.2025419599932561E-10
  2.0020031000000018E-02,  1.6856443497189166E-01,  1.4373057905916003E-04,  1.5500683835271215E-02,  3.2025083210193266E-10
  2.0020041000000020E-02,  1.6856443486540321E-01,  1.4373060077609771E-04,  1.5500693193445561E-02,  3.2024783360358055E-10
  2.0020051000000021E-02,  1.6856443475520472E-01,  1.4373062116872803E-04,  1.5500701773850212E-02,  3.2024516176753179E-10
  2.0020061000000023E-02,  1.6856443464138698E-01,  1.4373064034390291E-04,  1.5500709604178750E-02,  3.2024278183554252E-10
  2.0020071000000025E-02,  1.6856443452329042E-01,  1.4373065840038665E-04,  1.5500716740314960E-02,  3.2024066268464644E-10
  2.0020081000000026E-02,  1.6856443440359700E-01,  1.4373067543136910E-04,  1.5500723217383786E-02,  3.2023877641825890E-10
  2.0020091000000028E-02,  1.6856443428051343E-01,  1.4373069151632953E-04,  1.5500729141985956E-02,  3.2023709818508817E-10
  2.0020101000000030E-02,  1.6856443415580422E-01,  1.4373070673349029E-04,  1.5500734514321407E-02,  3.2023560565423802E-10
  2.0020201000000029E-02,  1.6856443275060717E-01,  1.4373079547480000E-04,  1.5500776817573531E-02,  3.2023083364402917E-10
