time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6858071804609073E-01,  1.4316385321947497E-04,  1.5577714040521065E-02,  3.1929082497369798E-10
  2.0000000000000000E-03,  1.6858071288670240E-01,  1.4316490681346670E-04,  1.5577538519086970E-02,  3.1929061242775811E-10
  3.0000000000000001E-03,  1.6858071146107037E-01,  1.4316508611284914E-04,  1.5577514200610328E-02,  3.1929041015862931E-10
  4.0000000000000001E-03,  1.6858070226381200E-01,  1.4316513564239364E-04,  1.5577507473300389E-02,  3.1929021359553528E-10
  5.0000000000000001E-03,  1.6858069499348147E-01,  1.4316545503539752E-04,  1.5577463997037626E-02,  3.1929003163349169E-10
  6.0000000000000001E-03,  1.6858068144776894E-01,  1.4316570754761338E-04,  1.5577429648903268E-02,  3.1928986175608561E-10
  7.0000000000000001E-03,  1.6858068511648358E-01,  1.4316617797282589E-04,  1.5577365629911896E-02,  3.1928971099774349E-10
  8.0000000000000002E-03,  1.6858068025509848E-01,  1.4316605063106509E-04,  1.5577383005781091E-02,  3.1928955901781080E-10
  9.0000000000000011E-03,  1.6858067888679895E-01,  1.4316621943329298E-04,  1.5577360015244450E-02,  3.1928941571113221E-10
  1.0000000000000002E-02,  1.6858067825133649E-01,  1.4316626697071744E-04,  1.5577353558332535E-02,  3.1928927686432248E-10
  1.1000000000000003E-02,  1.6858066119588175E-01,  1.4316628904404162E-04,  1.5577350557509272E-02,  3.1928914153339075E-10
  1.2000000000000004E-02,  1.6858066898679025E-01,  1.4316688132179334E-04,  1.5577269931216352E-02,  3.1928902869240205E-10
  1.3000000000000005E-02,  1.6858066080354750E-01,  1.4316661084607816E-04,  1.5577306802525580E-02,  3.1928890909499580E-10
  1.4000000000000005E-02,  1.6858065897423222E-01,  1.4316689498681349E-04,  1.5577268098619500E-02,  3.1928880137053040E-10
  1.5000000000000006E-02,  1.6858066229147115E-01,  1.4316695854833979E-04,  1.5577259470289484E-02,  3.1928869793356354E-10
  1.6000000000000007E-02,  1.6858065800474686E-01,  1.4316684336041822E-04,  1.5577275156488907E-02,  3.1928859272021226E-10
  1.7000000000000008E-02,  1.6858065565083444E-01,  1.4316699220861623E-04,  1.5577254883624957E-02,  3.1928849457871139E-10
  1.8000000000000009E-02,  1.6858065390454349E-01,  1.4316707397048022E-04,  1.5577243766044212E-02,  3.1928840113618830E-10
  1.9000000000000010E-02,  1.6858064884447224E-01,  1.4316713462333549E-04,  1.5577235516310045E-02,  3.1928831159124384E-10
  2.0000000000000011E-02,  1.6858064288455255E-01,  1.4316731034949169E-04,  1.5577211599711177E-02,  3.1928822970871002E-10
  2.0018000000000011E-02,  1.6858064352553892E-01,  1.4316751592242163E-04,  1.5577182666465850E-02,  3.1928786087165819E-10
  2.0019000000000012E-02,  1.6858064358577673E-01,  1.4316749743783198E-04,  1.5577187750462095E-02,  3.1928753109427599E-10
  2.0020000000000013E-02,  1.6858064364223027E-01,  1.4316749350733938E-04,  1.5577187034793667E-02,  3.1928723107461614E-10
  2.0020001000000013E-02,  1.6858064367015654E-01,  1.4316749348037156E-04,  1.5577189017716861E-02,  3.1928618625004362E-10
  2.0020011000000015E-02,  1.6858064367026815E-01,  1.4316749323093979E-04,  1.5577188877667354E-02,  3.1928602436885020E-10
  2.0020021000000016E-02,  1.6858064366563599E-01,  1.4316749299952188E-04,  1.5577188754385816E-02,  3.1928587831986759E-10
  2.0020031000000018E-02,  1.6858064366067907E-01,  1.4316749279688306E-04,  1.5577188534703648E-02,  3.1928574633511936E-10
  2.0020041000000020E-02,  1.6858064365565023E-01,  1.4316749262173952E-04,  1.5577188322310219E-02,  3.1928562703538542E-10
  2.0020051000000021E-02,  1.6858064365090253E-01,  1.4316749247225732E-04,  1.5577188122180709E-02,  3.1928551918874736E-10
  2.0020061000000023E-02,  1.6858064364643680E-01,  1.4316749234583777E-04,  1.5577187941241084E-02,  3.1928542169951558E-10
  2.0020071000000025E-02,  1.6858064364123831E-01,  1.4316749224007035E-04,  1.5577187778199414E-02,  3.1928533357784620E-10
  2.0020081000000026E-02,  1.6858064363642200E-01,  1.4316749215530724E-04,  1.5577187609277121E-02,  3.1928525388429806E-10
  2.0020091000000028E-02,  1.6858064363052069E-01,  1.4316749208903378E-04,  1.5577187459443101E-02,  3.1928518182343107E-10
  2.0020101000000030E-02,  1.6858064362509240E-01,  1.4316749204265787E-04,  1.5577187294805318E-02,  3.1928511661050886E-10
  2.0020201000000029E-02,  1.6858064358723512E-01,  1.4316749194858623E-04,  1.5577186989992144E-02,  3.1928488371657660E-10
  2.0020301000000029E-02,  1.6858064353623969E-01,  1.4316749254859225E-04,  1.5577186312059094E-02,  3.1928476363866491E-10
  2.0020401000000028E-02,  1.6858064349171445E-01,  1.4316749352908867E-04,  1.5577185851775595E-02,  3.1928476363866491E-10
  2.0020501000000027E-02,  1.6858064344393803E-01,  1.4316749479971835E-04,  1.5577185429649920E-02,  3.1928476363866491E-10
  2.0020601000000027E-02,  1.6858064341155274E-01,  1.4316749612509276E-04,  1.5577185202306616E-02,  3.1928476363866491E-10
  2.0020701000000026E-02,  1.6858064337926359E-01,  1.4316749739479002E-04,  1.5577185077405110E-02,  3.1928476363866491E-10
  2.0020801000000026E-02,  1.6858064334873477E-01,  1.4316749866320985E-04,  1.5577184905940705E-02,  3.1928476363866491E-10
  2.0020901000000025E-02,  1.6858064333372971E-01,  1.4316749981087843E-04,  1.5577184853547921E-02,  3.1928476363866491E-10
  2.0021001000000024E-02,  1.6858064331756106E-01,  1.4316750077981357E-04,  1.5577184875285276E-02,  3.1928476363866491E-10
  2.0026001000000026E-02,  1.6858107165753658E-01,  1.4316750224160549E-04,  1.5577185483743351E-02,  3.1928476363866491E-10
  2.0031001000000027E-02,  1.6858195716974411E-01,  1.4315303439100337E-04,  1.5579402604180712E-02,  3.1927152874836418E-10
  2.0036001000000029E-02,  1.6858317027310643E-01,  1.4312293139282260E-04,  1.5583768437650712E-02,  3.1922945911044430E-10
  2.0041001000000030E-02,  1.6858458868384882E-01,  1.4308132356964716E-04,  1.5589632089457260E-02,  3.1916798007021160E-10
  2.0046001000000032E-02,  1.6858611578832378E-01,  1.4303244938855376E-04,  1.5596416669129989E-02,  3.1909184021972994E-10
  2.0051001000000034E-02,  1.6858768131759208E-01,  1.4297970393104526E-04,  1.5603675536846412E-02,  3.1900679260184821E-10
  2.0056001000000035E-02,  1.6858923928463976E-01,  1.4292548557433925E-04,  1.5611099549191716E-02,  3.1891745728238891E-10
  2.0061001000000037E-02,  1.6859075837624146E-01,  1.4287146724612071E-04,  1.5618473064208944E-02,  3.1882714997850023E-10
  2.0066001000000038E-02,  1.6859221830766793E-01,  1.4281873168438500E-04,  1.5625658130366683E-02,  3.1873812284935781E-10
  2.0071001000000040E-02,  1.6859360742478482E-01,  1.4276799759133316E-04,  1.5632562289282906E-02,  3.1865186889234605E-10
  2.0076001000000041E-02,  1.6859491779344932E-01,  1.4271973694963887E-04,  1.5639124586269239E-02,  3.1856936129295548E-10
  2.0081001000000043E-02,  1.6859489031568181E-01,  1.4267325765275393E-04,  1.5645459218835686E-02,  3.1852149271661522E-10
  2.0086001000000044E-02,  1.6859614535170356E-01,  1.4267303955188391E-04,  1.5644691451772746E-02,  3.1848925740837388E-10
  2.0091001000000046E-02,  1.6859734884168134E-01,  1.4263058359090488E-04,  1.5651237690103875E-02,  3.1844497558136055E-10
  2.0096001000000047E-02,  1.6859848753720327E-01,  1.4258883317368987E-04,  1.5656950175961568E-02,  3.1838771888494885E-10
  2.0101001000000049E-02,  1.6859954899149596E-01,  1.4254929592323037E-04,  1.5662336268135083E-02,  3.1832555912430674E-10
  2.0106001000000050E-02,  1.6860052924344016E-01,  1.4251242916798939E-04,  1.5667350781248604E-02,  3.1826310100240761E-10
  2.0111001000000052E-02,  1.6860142637180200E-01,  1.4247837730532725E-04,  1.5671978712294629E-02,  3.1820282399460350E-10
  2.0116001000000053E-02,  1.6860224390554931E-01,  1.4244720805949140E-04,  1.5676211526589837E-02,  3.1814603918617414E-10
  2.0121001000000055E-02,  1.6860298520069059E-01,  1.4241880308247319E-04,  1.5680068192460761E-02,  3.1809333646698812E-10
  2.0126001000000057E-02,  1.6860365392369764E-01,  1.4239304537733873E-04,  1.5683564327632668E-02,  3.1804491326900803E-10
  2.0131001000000058E-02,  1.6860425501717438E-01,  1.4236980757993697E-04,  1.5686717242810802E-02,  3.1800076402136787E-10
  2.0136001000000060E-02,  1.6860479327060562E-01,  1.4234891903025138E-04,  1.5689550836277266E-02,  3.1796075096673926E-10
  2.0141001000000061E-02,  1.6860527235615697E-01,  1.4233021325909704E-04,  1.5692087669543414E-02,  3.1792466533499364E-10
  2.0146001000000063E-02,  1.6860569699844774E-01,  1.4231356173095608E-04,  1.5694344550457991E-02,  3.1789228867649043E-10
  2.0151001000000064E-02,  1.6860607146735129E-01,  1.4229880134579274E-04,  1.5696344341448322E-02,  3.1786338130263352E-10
  2.0156001000000066E-02,  1.6860639930242854E-01,  1.4228578357154714E-04,  1.5698107089331628E-02,  3.1783769645351338E-10
  2.0161001000000067E-02,  1.6860668431478495E-01,  1.4227438495876735E-04,  1.5699649236899406E-02,  3.1781500298416253E-10
  2.0166001000000069E-02,  1.6860693044025404E-01,  1.4226447354182827E-04,  1.5700989007742652E-02,  3.1779507623740580E-10
  2.0171001000000070E-02,  1.6860714046989603E-01,  1.4225591296420433E-04,  1.5702145182693590E-02,  3.1777769034627638E-10
  2.0176001000000072E-02,  1.6860731735097267E-01,  1.4224860546493533E-04,  1.5703130500534707E-02,  3.1776264367936649E-10
  2.0181001000000073E-02,  1.6860746381655917E-01,  1.4224244898181874E-04,  1.5703959049558347E-02,  3.1774975058979046E-10
  2.0186001000000075E-02,  1.6860758094066500E-01,  1.4223734860061761E-04,  1.5704643747736780E-02,  3.1773883739586543E-10
  2.0191001000000076E-02,  1.6860767260156134E-01,  1.4223326564672325E-04,  1.5705188922489038E-02,  3.1772977500583548E-10
  2.0196001000000078E-02,  1.6860774093590900E-01,  1.4223006811206842E-04,  1.5705614360938654E-02,  3.1772240441785332E-10
  2.0201001000000079E-02,  1.6860778778207100E-01,  1.4222768052736431E-04,  1.5705929472511287E-02,  3.1771657290740651E-10
  2.0206001000000081E-02,  1.6860781521242110E-01,  1.4222603890651868E-04,  1.5706142868255550E-02,  3.1771214840210470E-10
  2.0211001000000083E-02,  1.6860782475176578E-01,  1.4222507164810339E-04,  1.5706264543533369E-02,  3.1770900609519850E-10
  2.0216001000000084E-02,  1.6860781835849656E-01,  1.4222472546495890E-04,  1.5706301523834267E-02,  3.1770703564666867E-10
  2.0221001000000086E-02,  1.6860779685135385E-01,  1.4222493287911674E-04,  1.5706263355604745E-02,  3.1770612771738616E-10
  2.0226001000000087E-02,  1.6860776141420764E-01,  1.4222566456387946E-04,  1.5706153422493263E-02,  3.1770612771738616E-10
  2.0231001000000089E-02,  1.6860771413724021E-01,  1.4222687980347971E-04,  1.5705977536479433E-02,  3.1770713202148344E-10
  2.0236001000000090E-02,  1.6860765580020845E-01,  1.4222850698456812E-04,  1.5705746107122394E-02,  3.1770892822502015E-10
  2.0241001000000092E-02,  1.6860758754943861E-01,  1.4223051799924777E-04,  1.5705462260347226E-02,  3.1771144753078809E-10
  2.0246001000000093E-02,  1.6860751019358911E-01,  1.4223287343267564E-04,  1.5705131629107319E-02,  3.1771462441863726E-10
  2.0251001000000095E-02,  1.6860742462599659E-01,  1.4223554499777851E-04,  1.5704757924563786E-02,  3.1771840042431431E-10
