time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6856340840778841E-01,  1.4376684862435067E-04,  1.5495967872890301E-02,  3.2027862686337749E-10
  2.0000000000000000E-03,  1.6856340710241829E-01,  1.4376658561798944E-04,  1.5496023013612248E-02,  3.2027874798638696E-10
  3.0000000000000001E-03,  1.6856341991880092E-01,  1.4376663099136005E-04,  1.5496016865759965E-02,  3.2027886818888741E-10
  4.0000000000000001E-03,  1.6856341149183829E-01,  1.4376618518726058E-04,  1.5496077052829002E-02,  3.2027897114051251E-10
  5.0000000000000001E-03,  1.6856341558308963E-01,  1.4376647825763538E-04,  1.5496037450386246E-02,  3.2027908177865865E-10
  6.0000000000000001E-03,  1.6856342951972103E-01,  1.4376633598295015E-04,  1.5496056682425846E-02,  3.2027918547565330E-10
  7.0000000000000001E-03,  1.6856342977953573E-01,  1.4376585118848218E-04,  1.5496122117394540E-02,  3.2027927094656729E-10
  8.0000000000000002E-03,  1.6856343409836361E-01,  1.4376584208993022E-04,  1.5496123304224202E-02,  3.2027935438787066E-10
  9.0000000000000011E-03,  1.6856344016510183E-01,  1.4376569186133644E-04,  1.5496143584363298E-02,  3.2027943115633625E-10
  1.0000000000000002E-02,  1.6856343851059746E-01,  1.4376548081521313E-04,  1.5496172062889182E-02,  3.2027949935476361E-10
  1.1000000000000003E-02,  1.6856342887372186E-01,  1.4376553833937697E-04,  1.5496164279021035E-02,  3.2027956809772815E-10
  1.2000000000000004E-02,  1.6856343690726558E-01,  1.4376587355863538E-04,  1.5496119029176331E-02,  3.2027964663307712E-10
  1.3000000000000005E-02,  1.6856342470403599E-01,  1.4376559415961760E-04,  1.5496156776847736E-02,  3.2027971430358147E-10
  1.4000000000000005E-02,  1.6856343308841507E-01,  1.4376601860538539E-04,  1.5496099452634221E-02,  3.2027979474788080E-10
  1.5000000000000006E-02,  1.6856345177501339E-01,  1.4376572701393158E-04,  1.5496138853847666E-02,  3.2027986388622284E-10
  1.6000000000000007E-02,  1.6856343334510568E-01,  1.4376507697742456E-04,  1.5496226584522529E-02,  3.2027990998056934E-10
  1.7000000000000008E-02,  1.6856345559334088E-01,  1.4376571796649931E-04,  1.5496139994693445E-02,  3.2027997647961115E-10
  1.8000000000000009E-02,  1.6856344578389648E-01,  1.4376494415867575E-04,  1.5496244514518934E-02,  3.2028001589793704E-10
  1.9000000000000010E-02,  1.6856343733668513E-01,  1.4376528527532912E-04,  1.5496198397018629E-02,  3.2028006586219624E-10
  2.0000000000000011E-02,  1.6856344767895173E-01,  1.4376557914844938E-04,  1.5496158753035130E-02,  3.2028012462733279E-10
  2.0018000000000011E-02,  1.6856345302379483E-01,  1.4376522189264834E-04,  1.5496208675607318E-02,  3.2028035657895149E-10
  2.0019000000000012E-02,  1.6856345038803672E-01,  1.4376505453836386E-04,  1.5496243874505572E-02,  3.2028056351900414E-10
  2.0020000000000013E-02,  1.6856345040569920E-01,  1.4376511724558343E-04,  1.5496215731092902E-02,  3.2028071953716025E-10
  2.0020001000000013E-02,  1.6856345042620363E-01,  1.4376511729721428E-04,  1.5496216671710680E-02,  3.2028127770730956E-10
  2.0020011000000015E-02,  1.6856345042628917E-01,  1.4376511777674871E-04,  1.5496216921707953E-02,  3.2028136500411464E-10
  2.0020021000000016E-02,  1.6856345042608228E-01,  1.4376511822080371E-04,  1.5496217165345633E-02,  3.2028144427265407E-10
  2.0020031000000018E-02,  1.6856345042574131E-01,  1.4376511863273638E-04,  1.5496217384597083E-02,  3.2028151625103942E-10
  2.0020041000000020E-02,  1.6856345042536611E-01,  1.4376511901525150E-04,  1.5496217584674496E-02,  3.2028158161554904E-10
  2.0020051000000021E-02,  1.6856345042573651E-01,  1.4376511937059963E-04,  1.5496217769161547E-02,  3.2028164098324314E-10
  2.0020061000000023E-02,  1.6856345042648821E-01,  1.4376511969887141E-04,  1.5496217956528863E-02,  3.2028169494769205E-10
  2.0020071000000025E-02,  1.6856345042677209E-01,  1.4376512000108211E-04,  1.5496218138723400E-02,  3.2028174402691716E-10
  2.0020081000000026E-02,  1.6856345042725207E-01,  1.4376512028034484E-04,  1.5496218297380460E-02,  3.2028178865056786E-10
  2.0020091000000028E-02,  1.6856345042808368E-01,  1.4376512053784546E-04,  1.5496218448828675E-02,  3.2028182923960563E-10
  2.0020101000000030E-02,  1.6856345042874984E-01,  1.4376512077428463E-04,  1.5496218597123579E-02,  3.2028186618159022E-10
  2.0020201000000029E-02,  1.6856345044493271E-01,  1.4376512207247297E-04,  1.5496219334179856E-02,  3.2028190151557013E-10
  2.0020301000000029E-02,  1.6856345045919902E-01,  1.4376512258188148E-04,  1.5496219940302702E-02,  3.2028193485154852E-10
  2.0020401000000028E-02,  1.6856345047531673E-01,  1.4376512260616043E-04,  1.5496220352085574E-02,  3.2028193485154852E-10
  2.0020501000000027E-02,  1.6856345050039115E-01,  1.4376512230514891E-04,  1.5496220671003091E-02,  3.2028193485154852E-10
  2.0020601000000027E-02,  1.6856345051391652E-01,  1.4376512190981351E-04,  1.5496220805040123E-02,  3.2028193485154852E-10
  2.0020701000000026E-02,  1.6856345052976174E-01,  1.4376512142580267E-04,  1.5496220946208311E-02,  3.2028193485154852E-10
  2.0020801000000026E-02,  1.6856345054439539E-01,  1.4376512092955621E-04,  1.5496221023628173E-02,  3.2028193485154852E-10
  2.0020901000000025E-02,  1.6856345055810637E-01,  1.4376512041165535E-04,  1.5496221112028030E-02,  3.2028193485154852E-10
  2.0021001000000024E-02,  1.6856345057640215E-01,  1.4376511988160401E-04,  1.5496221193935955E-02,  3.2028193485154852E-10
  2.0026001000000026E-02,  1.6856345198158254E-01,  1.4376511879851539E-04,  1.5496220905103122E-02,  3.2028193485154852E-10
  2.0031001000000027E-02,  1.6856345247821941E-01,  1.4376509293019334E-04,  1.5496224819261648E-02,  3.2028193485154852E-10
  2.0036001000000029E-02,  1.6856345329709355E-01,  1.4376506105828548E-04,  1.5496229222024788E-02,  3.2028193485154852E-10
  2.0041001000000030E-02,  1.6856345476882392E-01,  1.4376502315348159E-04,  1.5496234439226944E-02,  3.2028193485154852E-10
  2.0046001000000032E-02,  1.6856345601460956E-01,  1.4376497571265206E-04,  1.5496241002940170E-02,  3.2028193485154852E-10
  2.0051001000000034E-02,  1.6856345603373291E-01,  1.4376494682521760E-04,  1.5496244582855187E-02,  3.2028193485154852E-10
  2.0056001000000035E-02,  1.6856345764090760E-01,  1.4376491044589457E-04,  1.5496249619218291E-02,  3.2028193485154852E-10
  2.0061001000000037E-02,  1.6856345787079094E-01,  1.4376488291127735E-04,  1.5496253182747319E-02,  3.2028193485154852E-10
  2.0066001000000038E-02,  1.6856345818733626E-01,  1.4376487040175612E-04,  1.5496254613389618E-02,  3.2028193485154852E-10
  2.0071001000000040E-02,  1.6856345958039712E-01,  1.4376483808401798E-04,  1.5496259312530944E-02,  3.2028193485154852E-10
  2.0076001000000041E-02,  1.6856346035908071E-01,  1.4376480805186731E-04,  1.5496263325257303E-02,  3.2028193485154852E-10
  2.0081001000000043E-02,  1.6856346075380138E-01,  1.4376477899983250E-04,  1.5496267228089666E-02,  3.2028193485154852E-10
  2.0086001000000044E-02,  1.6856346172790712E-01,  1.4376476489148021E-04,  1.5496268875836341E-02,  3.2028193485154852E-10
  2.0091001000000046E-02,  1.6856346286395985E-01,  1.4376473148989131E-04,  1.5496273712402003E-02,  3.2028190169569403E-10
  2.0096001000000047E-02,  1.6856346377701181E-01,  1.4376469211865029E-04,  1.5496279126392731E-02,  3.2028186550282969E-10
  2.0101001000000049E-02,  1.6856346505336789E-01,  1.4376466016786970E-04,  1.5496283310118583E-02,  3.2028182734019049E-10
  2.0106001000000050E-02,  1.6856346595849336E-01,  1.4376461607131728E-04,  1.5496289467320873E-02,  3.2028178607186921E-10
  2.0111001000000052E-02,  1.6856346686966101E-01,  1.4376458427336770E-04,  1.5496293546960319E-02,  3.2028174319427519E-10
  2.0116001000000053E-02,  1.6856346769883571E-01,  1.4376455257269059E-04,  1.5496297822258628E-02,  3.2028169931606502E-10
  2.0121001000000055E-02,  1.6856346830250882E-01,  1.4376452365671169E-04,  1.5496301675869850E-02,  3.2028165490650314E-10
  2.0126001000000057E-02,  1.6856346872062100E-01,  1.4376450246123297E-04,  1.5496304403396208E-02,  3.2028161113127727E-10
  2.0131001000000058E-02,  1.6856346866586497E-01,  1.4376448775225094E-04,  1.5496306276898589E-02,  3.2028156905198331E-10
  2.0136001000000060E-02,  1.6856346894216390E-01,  1.4376448924876352E-04,  1.5496305797695883E-02,  3.2028153085698336E-10
  2.0141001000000061E-02,  1.6856346959427296E-01,  1.4376447990976923E-04,  1.5496307243096974E-02,  3.2028149530775430E-10
  2.0146001000000063E-02,  1.6856347010874209E-01,  1.4376445755189909E-04,  1.5496310482329828E-02,  3.2028146004651086E-10
  2.0151001000000064E-02,  1.6856347094391566E-01,  1.4376443954462268E-04,  1.5496312837378567E-02,  3.2028142515546807E-10
  2.0156001000000066E-02,  1.6856347104419805E-01,  1.4376441076167625E-04,  1.5496316905083352E-02,  3.2028138933610938E-10
  2.0161001000000067E-02,  1.6856347076422853E-01,  1.4376440665125867E-04,  1.5496317037470383E-02,  3.2028135554085364E-10
  2.0166001000000069E-02,  1.6856347114574177E-01,  1.4376441605055658E-04,  1.5496315538172642E-02,  3.2028135554085364E-10
  2.0171001000000070E-02,  1.6856347088234203E-01,  1.4376440333553126E-04,  1.5496317632055917E-02,  3.2028135554085364E-10
  2.0176001000000072E-02,  1.6856347149087600E-01,  1.4376441196105677E-04,  1.5496316103157465E-02,  3.2028135554085364E-10
  2.0181001000000073E-02,  1.6856347157861520E-01,  1.4376439152341490E-04,  1.5496319357860153E-02,  3.2028132318053287E-10
  2.0186001000000075E-02,  1.6856347199917829E-01,  1.4376438804376008E-04,  1.5496319537152456E-02,  3.2028132318053287E-10
