time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6858082017057296E-01,  1.4316114293523490E-04,  1.5578083019678488E-02,  3.1930856410219726E-10
  2.0000000000000000E-03,  1.6858082449568076E-01,  1.4316136008723343E-04,  1.5578021133844329E-02,  3.1930787821285268E-10
  3.0000000000000001E-03,  1.6858079489175287E-01,  1.4316120992135476E-04,  1.5578041596455448E-02,  3.1930720103315866E-10
  4.0000000000000001E-03,  1.6858077103034580E-01,  1.4316223792699235E-04,  1.5577901629182177E-02,  3.1930657172875498E-10
  5.0000000000000001E-03,  1.6858076360809551E-01,  1.4316306666907651E-04,  1.5577788892662724E-02,  3.1930598272779618E-10
  6.0000000000000001E-03,  1.6858074679580765E-01,  1.4316332451952009E-04,  1.5577753860404615E-02,  3.1930541414858931E-10
  7.0000000000000001E-03,  1.6858072946371880E-01,  1.4316390837789013E-04,  1.5577674397223934E-02,  3.1930487645165139E-10
  8.0000000000000002E-03,  1.6858072065768173E-01,  1.4316451032911191E-04,  1.5577592499605476E-02,  3.1930436963508674E-10
  9.0000000000000011E-03,  1.6858070898239486E-01,  1.4316481620567782E-04,  1.5577550910494786E-02,  3.1930388319266512E-10
  1.0000000000000002E-02,  1.6858070009184567E-01,  1.4316522168350483E-04,  1.5577495736898705E-02,  3.1930342003324491E-10
  1.1000000000000003E-02,  1.6858068060439427E-01,  1.4316553047065918E-04,  1.5577453735090251E-02,  3.1930297646508787E-10
  1.2000000000000004E-02,  1.6858067824817366E-01,  1.4316620723781639E-04,  1.5577361630763377E-02,  3.1930256438380496E-10
  1.3000000000000005E-02,  1.6858066127939847E-01,  1.4316628914633122E-04,  1.5577350538452397E-02,  3.1930216330379641E-10
  1.4000000000000005E-02,  1.6858063965469705E-01,  1.4316687842156670E-04,  1.5577270326038298E-02,  3.1930178993053346E-10
  1.5000000000000006E-02,  1.6858064008310289E-01,  1.4316762944595877E-04,  1.5577168138870175E-02,  3.1930144913022173E-10
  1.6000000000000007E-02,  1.6858063491601477E-01,  1.4316761466376510E-04,  1.5577170215699453E-02,  3.1930111467863214E-10
  1.7000000000000008E-02,  1.6858062284678074E-01,  1.4316779409695549E-04,  1.5577145788141115E-02,  3.1930079290873330E-10
  1.8000000000000009E-02,  1.6858061098967250E-01,  1.4316821324262494E-04,  1.5577088745382897E-02,  3.1930049158025710E-10
  1.9000000000000010E-02,  1.6858061351069334E-01,  1.4316862505264801E-04,  1.5577032722143613E-02,  3.1930021004777607E-10
  2.0000000000000011E-02,  1.6858060432743682E-01,  1.4316853755812989E-04,  1.5577044668029678E-02,  3.1929993123808933E-10
  2.0018000000000011E-02,  1.6858058336559878E-01,  1.4316885426843160E-04,  1.5577000062828271E-02,  3.1929861490390194E-10
  2.0019000000000012E-02,  1.6858057959531336E-01,  1.4316950262268198E-04,  1.5576857669832724E-02,  3.1929742751796506E-10
  2.0020000000000013E-02,  1.6858057901078319E-01,  1.4316969159460793E-04,  1.5576871428493962E-02,  3.1929647135900544E-10
  2.0020001000000013E-02,  1.6858057830827583E-01,  1.4316969213327713E-04,  1.5576841312079266E-02,  3.1929287514255980E-10
  2.0020011000000015E-02,  1.6858057829256515E-01,  1.4316969712831621E-04,  1.5576843997250969E-02,  3.1929069807087415E-10
  2.0020021000000016E-02,  1.6858057826972203E-01,  1.4316970180285038E-04,  1.5576846114849024E-02,  3.1928817371213823E-10
  2.0020031000000018E-02,  1.6858057824458830E-01,  1.4316970619064230E-04,  1.5576847981394637E-02,  3.1928757724541465E-10
  2.0020041000000020E-02,  1.6858057822325842E-01,  1.4316971031318201E-04,  1.5576849699397363E-02,  3.1928757724541465E-10
  2.0020051000000021E-02,  1.6858057820024652E-01,  1.4316971419090762E-04,  1.5576851275118132E-02,  3.1928757724541465E-10
  2.0020061000000023E-02,  1.6858057817899733E-01,  1.4316971783859343E-04,  1.5576852755204894E-02,  3.1928757724541465E-10
  2.0020071000000025E-02,  1.6858057815706765E-01,  1.4316972127404720E-04,  1.5576854111173440E-02,  3.1928757724541465E-10
  2.0020081000000026E-02,  1.6858057813611180E-01,  1.4316972451108598E-04,  1.5576855375427349E-02,  3.1928757724541465E-10
  2.0020091000000028E-02,  1.6858057811533986E-01,  1.4316972756382812E-04,  1.5576856543461859E-02,  3.1928757724541465E-10
  2.0020101000000030E-02,  1.6858057809293867E-01,  1.4316973044831377E-04,  1.5576857596579827E-02,  3.1928757724541465E-10
  2.0020201000000029E-02,  1.6858057788518441E-01,  1.4316974686922509E-04,  1.5576866036335131E-02,  3.1928774392344452E-10
  2.0020301000000029E-02,  1.6858057774704407E-01,  1.4316975916158471E-04,  1.5576867910999298E-02,  3.1928785769672522E-10
  2.0020401000000028E-02,  1.6858057774393934E-01,  1.4316976815881074E-04,  1.5576869517928235E-02,  3.1928785769672522E-10
  2.0020501000000027E-02,  1.6858057795254733E-01,  1.4316977339569475E-04,  1.5576872036085210E-02,  3.1928798356090783E-10
  2.0020601000000027E-02,  1.6858057851093197E-01,  1.4316977296950496E-04,  1.5576876959323603E-02,  3.1928809993380912E-10
  2.0020701000000026E-02,  1.6858057954074288E-01,  1.4316976413654992E-04,  1.5576885383382352E-02,  3.1928822166633577E-10
  2.0020801000000026E-02,  1.6858058118119656E-01,  1.4316974343224042E-04,  1.5576898398926120E-02,  3.1928836068261542E-10
  2.0020901000000025E-02,  1.6858058357943850E-01,  1.4316970671567267E-04,  1.5576917150327427E-02,  3.1928875006321759E-10
  2.0021001000000024E-02,  1.6858058686611996E-01,  1.4316964946333398E-04,  1.5576942581687341E-02,  3.1928894346592531E-10
  2.0026001000000026E-02,  1.6858310158957335E-01,  1.4316946724387633E-04,  1.5576921315282308E-02,  3.1928852915028524E-10
  2.0031001000000027E-02,  1.6858670508781770E-01,  1.4308441993525473E-04,  1.5589957171025987E-02,  3.1920222198853719E-10
  2.0036001000000029E-02,  1.6859055941857573E-01,  1.4296168748550371E-04,  1.5607337741163491E-02,  3.1902139084849730E-10
  2.0041001000000030E-02,  1.6859432343858169E-01,  1.4282876550272640E-04,  1.5625667524056266E-02,  3.1880897198219577E-10
  2.0046001000000032E-02,  1.6859784138292891E-01,  1.4269844493822073E-04,  1.5643454659201549E-02,  3.1859085634154495E-10
  2.0051001000000034E-02,  1.6860105619270771E-01,  1.4257632305110288E-04,  1.5660052890708480E-02,  3.1838141171680898E-10
  2.0056001000000035E-02,  1.6860395766428776E-01,  1.4246450050391292E-04,  1.5675228029452093E-02,  3.1818708416048556E-10
  2.0061001000000037E-02,  1.6860655641301622E-01,  1.4236345851936848E-04,  1.5688935196475080E-02,  3.1801013717762328E-10
  2.0066001000000038E-02,  1.6860886934310623E-01,  1.4227296032556325E-04,  1.5701213183273395E-02,  3.1785083921275863E-10
  2.0071001000000040E-02,  1.6860881709907866E-01,  1.4219062378472328E-04,  1.5712422209445853E-02,  3.1776365871371260E-10
  2.0076001000000041E-02,  1.6861091789653362E-01,  1.4219035160694724E-04,  1.5711039975943676E-02,  3.1770548731142933E-10
  2.0081001000000043E-02,  1.6861282752107606E-01,  1.4211939091053217E-04,  1.5722055410220023E-02,  3.1762916236667426E-10
  2.0086001000000044E-02,  1.6861454141323662E-01,  1.4205315099117638E-04,  1.5731123496689155E-02,  3.1753452021986400E-10
  2.0091001000000046E-02,  1.6861605400927593E-01,  1.4199364761863294E-04,  1.5739233339411171E-02,  3.1743601356644732E-10
  2.0096001000000047E-02,  1.6861737243049432E-01,  1.4194111513394310E-04,  1.5746381017091762E-02,  3.1734138175499541E-10
  2.0101001000000049E-02,  1.6861850929073846E-01,  1.4189531597415600E-04,  1.5752605491508816E-02,  3.1725438120251060E-10
  2.0106001000000050E-02,  1.6861947873795277E-01,  1.4185581605758926E-04,  1.5757968543656083E-02,  3.1717656271855360E-10
  2.0111001000000052E-02,  1.6862029645801638E-01,  1.4182212520670451E-04,  1.5762537671247280E-02,  3.1710830186526863E-10
  2.0116001000000053E-02,  1.6862097806373164E-01,  1.4179370044299227E-04,  1.5766387972150207E-02,  3.1704934093539824E-10
  2.0121001000000055E-02,  1.6862153673440636E-01,  1.4177000036052348E-04,  1.5769593673637027E-02,  3.1699909686768557E-10
  2.0126001000000057E-02,  1.6862198636486964E-01,  1.4175056602481039E-04,  1.5772216391557681E-02,  3.1695687876419192E-10
  2.0131001000000058E-02,  1.6862233853725278E-01,  1.4173491666713396E-04,  1.5774322763873354E-02,  3.1692194128440039E-10
  2.0136001000000060E-02,  1.6862260320288139E-01,  1.4172264920055903E-04,  1.5775967064527427E-02,  3.1689355961282164E-10
  2.0141001000000061E-02,  1.6862279125137403E-01,  1.4171341762794806E-04,  1.5777196107072684E-02,  3.1687107063175761E-10
  2.0146001000000063E-02,  1.6862291031146179E-01,  1.4170684583537336E-04,  1.5778062482946435E-02,  3.1685383177609481E-10
  2.0151001000000064E-02,  1.6862296907156848E-01,  1.4170266704264010E-04,  1.5778601243200512E-02,  3.1684127835027639E-10
  2.0156001000000066E-02,  1.6862297445367150E-01,  1.4170058149951914E-04,  1.5778854532051030E-02,  3.1683288156899193E-10
  2.0161001000000067E-02,  1.6862293200832185E-01,  1.4170034826642858E-04,  1.5778854765482971E-02,  3.1682816404277969E-10
  2.0166001000000069E-02,  1.6862284767912863E-01,  1.4170177415063703E-04,  1.5778627942657351E-02,  3.1682671615401495E-10
  2.0171001000000070E-02,  1.6862272664201708E-01,  1.4170465390648011E-04,  1.5778202789591717E-02,  3.1682816242353425E-10
  2.0176001000000072E-02,  1.6862257387717791E-01,  1.4170880789619332E-04,  1.5777603831287408E-02,  3.1683215941405797E-10
