time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6856369304880162E-01,  1.4375780248288689E-04,  1.5497189162682667E-02,  3.2025883996180617E-10
  2.0000000000000000E-03,  1.6856368288369242E-01,  1.4375668355022148E-04,  1.5497359099402905E-02,  3.2025902668663801E-10
  3.0000000000000001E-03,  1.6856368302094674E-01,  1.4375703698685352E-04,  1.5497311283674667E-02,  3.2025922140987034E-10
  4.0000000000000001E-03,  1.6856370835231763E-01,  1.4375703225720003E-04,  1.5497311952497636E-02,  3.2025941209359924E-10
  5.0000000000000001E-03,  1.6856368922506801E-01,  1.4375615114470020E-04,  1.5497430917796845E-02,  3.2025956961485570E-10
  6.0000000000000001E-03,  1.6856370294873371E-01,  1.4375681634479500E-04,  1.5497341028545969E-02,  3.2025974611142742E-10
  7.0000000000000001E-03,  1.6856372952854062E-01,  1.4375633907248757E-04,  1.5497405525640010E-02,  3.2025990320431489E-10
  8.0000000000000002E-03,  1.6856372372009448E-01,  1.4375541447739768E-04,  1.5497530322664460E-02,  3.2026002634138798E-10
  9.0000000000000011E-03,  1.6856370233828685E-01,  1.4375561639797522E-04,  1.5497502980312453E-02,  3.2026015370874956E-10
  1.0000000000000002E-02,  1.6856371262877443E-01,  1.4375636015473065E-04,  1.5497402576487185E-02,  3.2026030330947656E-10
  1.1000000000000003E-02,  1.6856371632486153E-01,  1.4375600231041099E-04,  1.5497450955684638E-02,  3.2026043802517234E-10
  1.2000000000000004E-02,  1.6856371669214659E-01,  1.4375587370298187E-04,  1.5497468289492444E-02,  3.2026056575015187E-10
  1.3000000000000005E-02,  1.6856372626875760E-01,  1.4375586091137121E-04,  1.5497470005598660E-02,  3.2026069049001152E-10
  1.4000000000000005E-02,  1.6856373028060678E-01,  1.4375552780323110E-04,  1.5497514980530397E-02,  3.2026080163920659E-10
  1.5000000000000006E-02,  1.6856373868372948E-01,  1.4375538821583580E-04,  1.5497533799082669E-02,  3.2026090590415131E-10
  1.6000000000000007E-02,  1.6856374183787087E-01,  1.4375509590993082E-04,  1.5497573254324729E-02,  3.2026099834249642E-10
  1.7000000000000008E-02,  1.6856375567551002E-01,  1.4375498616172588E-04,  1.5497588047574298E-02,  3.2026108526615111E-10
  1.8000000000000009E-02,  1.6856375350153924E-01,  1.4375450482983744E-04,  1.5497653028133870E-02,  3.2026115441481776E-10
  1.9000000000000010E-02,  1.6856375060560991E-01,  1.4375458038692247E-04,  1.5497642785122140E-02,  3.2026122468021494E-10
  2.0000000000000011E-02,  1.6856374869602250E-01,  1.4375468112624360E-04,  1.5497629189633697E-02,  3.2026129689849352E-10
  2.0018000000000011E-02,  1.6856375151497854E-01,  1.4375474710707990E-04,  1.5497619981453548E-02,  3.2026166113813775E-10
  2.0019000000000012E-02,  1.6856374646227179E-01,  1.4375466042621489E-04,  1.5497639408051725E-02,  3.2026199047717135E-10
  2.0020000000000013E-02,  1.6856374649418276E-01,  1.4375480682871477E-04,  1.5497599709982379E-02,  3.2026227007730289E-10
  2.0020001000000013E-02,  1.6856374655176340E-01,  1.4375480694938121E-04,  1.5497601895679669E-02,  3.2026327381541941E-10
  2.0020011000000015E-02,  1.6856374655374928E-01,  1.4375480806750389E-04,  1.5497602502446764E-02,  3.2026389234671739E-10
  2.0020021000000016E-02,  1.6856374655886211E-01,  1.4375480909451242E-04,  1.5497603143463129E-02,  3.2026463705626958E-10
  2.0020031000000018E-02,  1.6856374656342588E-01,  1.4375481003653625E-04,  1.5497603743499039E-02,  3.2026463705626958E-10
  2.0020041000000020E-02,  1.6856374656707543E-01,  1.4375481089957338E-04,  1.5497604302873544E-02,  3.2026463705626958E-10
  2.0020051000000021E-02,  1.6856374656927117E-01,  1.4375481169161895E-04,  1.5497604803418372E-02,  3.2026463705626958E-10
  2.0020061000000023E-02,  1.6856374657215809E-01,  1.4375481241627030E-04,  1.5497605282279350E-02,  3.2026463705626958E-10
