time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6858051590698972E-01,  1.4317181707971936E-04,  1.5576629918302443E-02,  3.1931384842943273E-10
  2.0000000000000000E-03,  1.6858049659296390E-01,  1.4317192742347679E-04,  1.5576583495274805E-02,  3.1931341018679708E-10
  3.0000000000000001E-03,  1.6858048217705168E-01,  1.4317259815511702E-04,  1.5576492203688765E-02,  3.1931300311527456E-10
  4.0000000000000001E-03,  1.6858048353027696E-01,  1.4317309886167874E-04,  1.5576424104889373E-02,  3.1931262093231252E-10
  5.0000000000000001E-03,  1.6858045795031373E-01,  1.4317305193138719E-04,  1.5576430536059088E-02,  3.1931224484318354E-10
  6.0000000000000001E-03,  1.6858045060011889E-01,  1.4317394024328174E-04,  1.5576309615671205E-02,  3.1931190594354726E-10
  7.0000000000000001E-03,  1.6858043905803496E-01,  1.4317419560679517E-04,  1.5576274932371154E-02,  3.1931158238223623E-10
  8.0000000000000002E-03,  1.6858043518864732E-01,  1.4317459646310282E-04,  1.5576220390731706E-02,  3.1931127868957517E-10
  9.0000000000000011E-03,  1.6858042715852969E-01,  1.4317473088676046E-04,  1.5576202127818677E-02,  3.1931098557457304E-10
  1.0000000000000002E-02,  1.6858042324683042E-01,  1.4317500976746843E-04,  1.5576164179060221E-02,  3.1931070764108150E-10
  1.1000000000000003E-02,  1.6858041289191303E-01,  1.4317514564524310E-04,  1.5576145707845143E-02,  3.1931043981432747E-10
  1.2000000000000004E-02,  1.6858041526588122E-01,  1.4317550526044524E-04,  1.5576096770214119E-02,  3.1931018935983637E-10
  1.3000000000000005E-02,  1.6858039762736607E-01,  1.4317542286438933E-04,  1.5576108016489960E-02,  3.1930994117512178E-10
  1.4000000000000005E-02,  1.6858039592030793E-01,  1.4317603539220234E-04,  1.5576024635179785E-02,  3.1930971840923935E-10
  1.5000000000000006E-02,  1.6858039143606468E-01,  1.4317609475115645E-04,  1.5576016608194035E-02,  3.1930950210279688E-10
  1.6000000000000007E-02,  1.6858038151604487E-01,  1.4317625048456068E-04,  1.5575995415770254E-02,  3.1930929532595995E-10
  1.7000000000000008E-02,  1.6858037353779798E-01,  1.4317659500051943E-04,  1.5575948535808792E-02,  3.1930910419672186E-10
  1.8000000000000009E-02,  1.6858036973805918E-01,  1.4317687210787624E-04,  1.5575910847462793E-02,  3.1930892615736912E-10
  1.9000000000000010E-02,  1.6858036539774610E-01,  1.4317700409803355E-04,  1.5575892905729680E-02,  3.1930875609692606E-10
  2.0000000000000011E-02,  1.6858036828843070E-01,  1.4317715484267826E-04,  1.5575872398846169E-02,  3.1930859447708439E-10
  2.0018000000000011E-02,  1.6858035438634536E-01,  1.4317705516241674E-04,  1.5575886446691015E-02,  3.1930778687792128E-10
  2.0019000000000012E-02,  1.6858035606218411E-01,  1.4317748323855421E-04,  1.5575790966499095E-02,  3.1930705523789194E-10
  2.0020000000000013E-02,  1.6858035581604222E-01,  1.4317747956684706E-04,  1.5575828556264652E-02,  3.1930647218244134E-10
  2.0020001000000013E-02,  1.6858035541361671E-01,  1.4317747973973757E-04,  1.5575813364821958E-02,  3.1930430359892957E-10
  2.0020011000000015E-02,  1.6858035541352670E-01,  1.4317748134560536E-04,  1.5575814203293369E-02,  3.1930396707744840E-10
  2.0020021000000016E-02,  1.6858035540722818E-01,  1.4317748283389106E-04,  1.5575815010965527E-02,  3.1930366652763340E-10
  2.0020031000000018E-02,  1.6858035539901381E-01,  1.4317748422904036E-04,  1.5575815621299990E-02,  3.1930339790623901E-10
  2.0020041000000020E-02,  1.6858035539063065E-01,  1.4317748554276772E-04,  1.5575816142074123E-02,  3.1930315780051051E-10
  2.0020051000000021E-02,  1.6858035538167451E-01,  1.4317748678147640E-04,  1.5575816618042429E-02,  3.1930294323357039E-10
  2.0020061000000023E-02,  1.6858035537203250E-01,  1.4317748795213031E-04,  1.5575817043445718E-02,  3.1930275151752872E-10
  2.0020071000000025E-02,  1.6858035536232574E-01,  1.4317748906146960E-04,  1.5575817419284849E-02,  3.1930258023834262E-10
  2.0020081000000026E-02,  1.6858035535160504E-01,  1.4317749011415743E-04,  1.5575817762769444E-02,  3.1930242726073266E-10
  2.0020091000000028E-02,  1.6858035534122931E-01,  1.4317749111693355E-04,  1.5575818055144477E-02,  3.1930229062750597E-10
  2.0020101000000030E-02,  1.6858035533024102E-01,  1.4317749207258044E-04,  1.5575818330024978E-02,  3.1930216864734021E-10
  2.0020201000000029E-02,  1.6858035519043019E-01,  1.4317749772816457E-04,  1.5575820911868203E-02,  3.1930176859208214E-10
  2.0020301000000029E-02,  1.6858035505060939E-01,  1.4317750297008854E-04,  1.5575820554196269E-02,  3.1930130778709791E-10
  2.0020401000000028E-02,  1.6858035491077261E-01,  1.4317750804216121E-04,  1.5575820010178827E-02,  3.1930130778709791E-10
  2.0020501000000027E-02,  1.6858035478921057E-01,  1.4317751292499786E-04,  1.5575819508555196E-02,  3.1930130778709791E-10
  2.0020601000000027E-02,  1.6858035469048158E-01,  1.4317751753440078E-04,  1.5575819116457702E-02,  3.1930130778709791E-10
  2.0020701000000026E-02,  1.6858035464107249E-01,  1.4317752153945710E-04,  1.5575819090845294E-02,  3.1930130778709791E-10
  2.0020801000000026E-02,  1.6858035464872378E-01,  1.4317752456381822E-04,  1.5575819521943694E-02,  3.1930130778709791E-10
  2.0020901000000025E-02,  1.6858035472746399E-01,  1.4317752625633530E-04,  1.5575820435869657E-02,  3.1930130778709791E-10
  2.0021001000000024E-02,  1.6858035491104426E-01,  1.4317752586187304E-04,  1.5575822282395055E-02,  3.1930130778709791E-10
  2.0023501000000023E-02,  1.6858066432289087E-01,  1.4317751933008049E-04,  1.5575823056466216E-02,  3.1930130778709791E-10
  2.0026001000000022E-02,  1.6858131366871684E-01,  1.4316728601366710E-04,  1.5577566597515517E-02,  3.1929451098202088E-10
  2.0028501000000021E-02,  1.6858224218377693E-01,  1.4314542480484664E-04,  1.5580940874981984E-02,  3.1926851832820248E-10
  2.0031001000000020E-02,  1.6858337938034235E-01,  1.4311375893370307E-04,  1.5585588365950628E-02,  3.1922596667681159E-10
