time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6856384603749264E-01,  1.4374979490912136E-04,  1.5498270367120690E-02,  3.2024737376583174E-10
  2.0000000000000000E-03,  1.6856385336826840E-01,  1.4375136110812166E-04,  1.5498077063342719E-02,  3.2024761224613565E-10
  3.0000000000000001E-03,  1.6856384240146322E-01,  1.4375110631971541E-04,  1.5498111600838888E-02,  3.2024783752535840E-10
  4.0000000000000001E-03,  1.6856384679029696E-01,  1.4375148774510387E-04,  1.5498060076101328E-02,  3.2024807099505081E-10
  5.0000000000000001E-03,  1.6856384785519710E-01,  1.4375133513666539E-04,  1.5498080715048920E-02,  3.2024829472553952E-10
  6.0000000000000001E-03,  1.6856386861738237E-01,  1.4375129807710183E-04,  1.5498085706051878E-02,  3.2024851274158880E-10
  7.0000000000000001E-03,  1.6856387309998286E-01,  1.4375057590375757E-04,  1.5498183216668709E-02,  3.2024870234077990E-10
  8.0000000000000002E-03,  1.6856387079590796E-01,  1.4375041989518953E-04,  1.5498204220565331E-02,  3.2024888292587253E-10
  9.0000000000000011E-03,  1.6856389406333414E-01,  1.4375050001779773E-04,  1.5498193388330819E-02,  3.2024906256259572E-10
  1.0000000000000002E-02,  1.6856387423052402E-01,  1.4374969072159779E-04,  1.5498302674298442E-02,  3.2024921165206668E-10
  1.1000000000000003E-02,  1.6856386571535598E-01,  1.4375038046024260E-04,  1.5498209469695531E-02,  3.2024938070606988E-10
  1.2000000000000004E-02,  1.6856388714399256E-01,  1.4375067672890753E-04,  1.5498169523852703E-02,  3.2024955627196135E-10
  1.3000000000000005E-02,  1.6856388854266652E-01,  1.4374993141776508E-04,  1.5498270188132532E-02,  3.2024970351100318E-10
  1.4000000000000005E-02,  1.6856389135569649E-01,  1.4374988267408870E-04,  1.5498276706226360E-02,  3.2024984615527321E-10
  1.5000000000000006E-02,  1.6856388559184052E-01,  1.4374978482295156E-04,  1.5498289914924093E-02,  3.2024998268554569E-10
  1.6000000000000007E-02,  1.6856388464664288E-01,  1.4374998529357211E-04,  1.5498262836962540E-02,  3.2025012315935976E-10
  1.7000000000000008E-02,  1.6856389271583275E-01,  1.4375001819544396E-04,  1.5498258411376586E-02,  3.2025026192673611E-10
  1.8000000000000009E-02,  1.6856389967196161E-01,  1.4374973753071861E-04,  1.5498296312410911E-02,  3.2025038857108280E-10
  1.9000000000000010E-02,  1.6856390324667961E-01,  1.4374949554202000E-04,  1.5498328964301256E-02,  3.2025050461204726E-10
  2.0000000000000011E-02,  1.6856391383078828E-01,  1.4374937117304874E-04,  1.5498345737268507E-02,  3.2025061418093874E-10
  2.0018000000000011E-02,  1.6856391614334543E-01,  1.4374900552659758E-04,  1.5498396807291009E-02,  3.2025109367557090E-10
  2.0019000000000012E-02,  1.6856391832248513E-01,  1.4374893180874439E-04,  1.5498411324820494E-02,  3.2025152237252280E-10
  2.0020000000000013E-02,  1.6856391822585598E-01,  1.4374885623652533E-04,  1.5498421681700736E-02,  3.2025189592780167E-10
  2.0020001000000013E-02,  1.6856391821723321E-01,  1.4374885619049016E-04,  1.5498419160496699E-02,  3.2025319527825505E-10
  2.0020011000000015E-02,  1.6856391821752287E-01,  1.4374885576292707E-04,  1.5498418937689426E-02,  3.2025339566178480E-10
  2.0020021000000016E-02,  1.6856391822350547E-01,  1.4374885536606004E-04,  1.5498418728590604E-02,  3.2025357539805090E-10
  2.0020031000000018E-02,  1.6856391822939903E-01,  1.4374885498307115E-04,  1.5498418661525015E-02,  3.2025373685145722E-10
  2.0020041000000020E-02,  1.6856391823505659E-01,  1.4374885461316747E-04,  1.5498418599475941E-02,  3.2025388186648613E-10
  2.0020051000000021E-02,  1.6856391824080477E-01,  1.4374885425599070E-04,  1.5498418538776704E-02,  3.2025401209543552E-10
  2.0020061000000023E-02,  1.6856391824731837E-01,  1.4374885391037331E-04,  1.5498418486507848E-02,  3.2025412903948418E-10
  2.0020071000000025E-02,  1.6856391825374786E-01,  1.4374885357350771E-04,  1.5498418457082011E-02,  3.2025423407822400E-10
  2.0020081000000026E-02,  1.6856391825982581E-01,  1.4374885324496537E-04,  1.5498418430198363E-02,  3.2025432841114761E-10
  2.0020091000000028E-02,  1.6856391826676984E-01,  1.4374885292503363E-04,  1.5498418399695305E-02,  3.2025441310519425E-10
  2.0020101000000030E-02,  1.6856391827333367E-01,  1.4374885261086401E-04,  1.5498418392786650E-02,  3.2025448917557395E-10
  2.0020201000000029E-02,  1.6856391833206633E-01,  1.4374885066370505E-04,  1.5498417633433098E-02,  3.2025474822790763E-10
  2.0020301000000029E-02,  1.6856391839998763E-01,  1.4374884867046704E-04,  1.5498417941841688E-02,  3.2025487729641071E-10
  2.0020401000000028E-02,  1.6856391846368829E-01,  1.4374884656700638E-04,  1.5498418320009533E-02,  3.2025487729641071E-10
  2.0020501000000027E-02,  1.6856391852031669E-01,  1.4374884447909949E-04,  1.5498418588456797E-02,  3.2025487729641071E-10
  2.0020601000000027E-02,  1.6856391858037179E-01,  1.4374884240346019E-04,  1.5498418858060359E-02,  3.2025487729641071E-10
  2.0020701000000026E-02,  1.6856391863996142E-01,  1.4374884032747475E-04,  1.5498419138503763E-02,  3.2025487729641071E-10
  2.0020801000000026E-02,  1.6856391869368770E-01,  1.4374883831711499E-04,  1.5498419353641824E-02,  3.2025487729641071E-10
  2.0020901000000025E-02,  1.6856391875314169E-01,  1.4374883631954055E-04,  1.5498419612267861E-02,  3.2025487729641071E-10
  2.0021001000000024E-02,  1.6856391880987270E-01,  1.4374883430332770E-04,  1.5498419900297128E-02,  3.2025487729641071E-10
  2.0023501000000023E-02,  1.6856392035174567E-01,  1.4374883000829603E-04,  1.5498418901709513E-02,  3.2025487729641071E-10
  2.0026001000000022E-02,  1.6856392179669333E-01,  1.4374878505714239E-04,  1.5498426359229420E-02,  3.2025487729641071E-10
  2.0028501000000021E-02,  1.6856392307913839E-01,  1.4374873368161123E-04,  1.5498433512074306E-02,  3.2025487729641071E-10
  2.0031001000000020E-02,  1.6856392432522038E-01,  1.4374869081136153E-04,  1.5498439006174466E-02,  3.2025487729641071E-10
  2.0033501000000020E-02,  1.6856392564401612E-01,  1.4374864087205645E-04,  1.5498445987279189E-02,  3.2025487729641071E-10
  2.0036001000000019E-02,  1.6856392746550977E-01,  1.4374858853125969E-04,  1.5498453132709047E-02,  3.2025487729641071E-10
  2.0038501000000018E-02,  1.6856392849648971E-01,  1.4374854432569782E-04,  1.5498458819682565E-02,  3.2025487729641071E-10
  2.0041001000000017E-02,  1.6856392989367724E-01,  1.4374849236153901E-04,  1.5498466097650335E-02,  3.2025484500498736E-10
  2.0043501000000016E-02,  1.6856393122843086E-01,  1.4374844587678847E-04,  1.5498472183101644E-02,  3.2025459020562312E-10
  2.0046001000000015E-02,  1.6856393232025793E-01,  1.4374839775022782E-04,  1.5498478733849116E-02,  3.2025459020562312E-10
  2.0048501000000014E-02,  1.6856393345267043E-01,  1.4374835835746197E-04,  1.5498483750876563E-02,  3.2025459020562312E-10
  2.0051001000000013E-02,  1.6856393443675804E-01,  1.4374831987216290E-04,  1.5498488913314026E-02,  3.2025442485325761E-10
  2.0053501000000012E-02,  1.6856393560940647E-01,  1.4374828181462938E-04,  1.5498494034446766E-02,  3.2025442485325761E-10
  2.0056001000000011E-02,  1.6856393666339936E-01,  1.4374824436590560E-04,  1.5498499067228277E-02,  3.2025442485325761E-10
  2.0058501000000010E-02,  1.6856393669600678E-01,  1.4374821039991631E-04,  1.5498503531660587E-02,  3.2025424820108717E-10
  2.0061001000000009E-02,  1.6856393758361576E-01,  1.4374820769020490E-04,  1.5498502827536745E-02,  3.2025424820108717E-10
  2.0063501000000008E-02,  1.6856393838470490E-01,  1.4374817816454225E-04,  1.5498507729777178E-02,  3.2025424820108717E-10
  2.0066001000000007E-02,  1.6856393929111380E-01,  1.4374815021748880E-04,  1.5498511447142413E-02,  3.2025424820108717E-10
  2.0068501000000006E-02,  1.6856394042650275E-01,  1.4374811885822976E-04,  1.5498515795797543E-02,  3.2025408264110765E-10
  2.0071001000000005E-02,  1.6856394137451641E-01,  1.4374807975193305E-04,  1.5498521338268387E-02,  3.2025408264110765E-10
  2.0073501000000004E-02,  1.6856394208448436E-01,  1.4374804647935665E-04,  1.5498525628670198E-02,  3.2025408264110765E-10
  2.0076001000000003E-02,  1.6856394290564566E-01,  1.4374802137025075E-04,  1.5498528737689407E-02,  3.2025391638178016E-10
  2.0078501000000002E-02,  1.6856394366364535E-01,  1.4374799297038805E-04,  1.5498532682830246E-02,  3.2025391638178016E-10
  2.0081001000000001E-02,  1.6856394435303407E-01,  1.4374796650439453E-04,  1.5498536188179327E-02,  3.2025391638178016E-10
  2.0083501000000000E-02,  1.6856394472024142E-01,  1.4374794240343944E-04,  1.5498539359614358E-02,  3.2025391638178016E-10
  2.0086000999999999E-02,  1.6856394515627413E-01,  1.4374792908589340E-04,  1.5498540787715412E-02,  3.2025375215110434E-10
  2.0088500999999998E-02,  1.6856394596464169E-01,  1.4374791400643871E-04,  1.5498542882966732E-02,  3.2025375215110434E-10
  2.0091000999999997E-02,  1.6856394668623279E-01,  1.4374788651154788E-04,  1.5498547018295464E-02,  3.2025375215110434E-10
  2.0093500999999996E-02,  1.6856394714394832E-01,  1.4374786129475682E-04,  1.5498550343290035E-02,  3.2025375215110434E-10
