% Model:              0902gakkai715uA.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 13 2026, 23:25
% Table:              プローブテーブル 1 - 
% 時間 (ms)                                         温度 (K), 吸収体                                       温度 (K), StyCast                                   温度 (K), TES                                       アンペアメーターを通る電流 # (µA)                              TES R(T) (mΩ), TES R
0                                                 0.16858496766438935                               0.16858496737342452                               0.16858462294667204                               143.02881190382436                                15.595730985388762
0.0014776947518752909                             0.16858496766438935                               0.16858496569648102                               0.168584599845132                                 143.02999467499873                                15.595828831379414
0.002555389503750582                              0.16858496766438935                               0.16858496384519314                               0.1685845814484096                                143.03069047457598                                15.595772848691553
0.004710779007501165                              0.16858496766438918                               0.16858495993255454                               0.1685845506147478                                143.03180003232367                                15.595648205665205
0.00902155801500233                               0.16858496766428255                               0.1685849516574193                                0.1685845130336385                                143.03310890614634                                15.595472621550229
0.017643116030004655                              0.16858496766003658                               0.16858493584279322                               0.1685844646124278                                143.03480352294926                                15.595250855023595
0.03488623206000931                               0.1685849675984158                                0.16858490838497597                               0.16858440920154025                               143.03673794725822                                15.59499445728318
0.06937246412001861                               0.16858496716420282                               0.1685848683297333                                0.16858435296872015                               143.03869725289937                                15.594732181713006
0.10385869618002792                               0.1685849664431458                                0.16858483975097452                               0.16858432000861673                               143.03984455222349                                15.594577842470015
0.17283116030004653                               0.16858496429919134                               0.16858480840858453                               0.16858428843257822                               143.04094301835792                                15.594429627505999
0.3107760885400838                                0.16858495898554368                               0.1685847835919714                                0.16858426602251053                               143.041722364304                                  15.594324298150882
0.5                                               0.16858495122115902                               0.1685847702416577                                0.16858425588840745                               143.04207468587623                                15.59427660815381
0.75                                              0.16858494093530937                               0.1685847611566973                                0.16858425075751376                               143.04225296914677                                15.594252409914233
1                                                 0.16858493080698                                  0.1685847541709746                                0.168584247582556                                 143.04236323405684                                15.594237406080182
1.5                                               0.16858491134621595                               0.16858474175657598                               0.16858424244570636                               143.04254158974376                                15.594213106538376
2                                                 0.16858489267417445                               0.16858472997815327                               0.16858423764394087                               143.04270830406435                                15.594190388318035
2.5                                               0.16858487476209452                               0.16858471869663155                               0.16858423305434267                               143.0428676512007                                 15.594168673429111
3                                                 0.16858485757943467                               0.1685847078768367                                0.1685842286538551                                143.04302043252923                                15.594147853249352
3.5                                               0.16858484086971576                               0.1685846973551401                                0.16858422437476087                               143.0431689992308                                 15.594127607470805
4                                                 0.1685848247732463                                0.16858468721965963                               0.16858422025278372                               143.04331211095646                                15.594108105040995
4.5                                               0.16858480931862527                               0.16858467748832795                               0.16858421629516318                               143.0434495164483                                 15.594089380305716
5                                                 0.16858479449742722                               0.16858466815585088                               0.16858421249975025                               143.04358129026832                                15.594071423047756
5.5                                               0.16858478028952303                               0.16858465920954407                               0.16858420886138756                               143.04370761146538                                15.594054208861833
6                                                 0.16858476667150057                               0.1685846506346598                                0.16858420537407792                               143.04382868825243                                15.594037709382443
6.5                                               0.16858475361952016                               0.16858464241620114                               0.16858420203172206                               143.04394473238082                                15.594021895737926
7                                                 0.16858474111027488                               0.16858463453949268                               0.1685841988283528                                143.04405595108278                                15.594006739692155
7.5                                               0.16858472912129108                               0.16858462699036922                               0.16858419575820713                               143.04416254432093                                15.593992213990667
8                                                 0.16858471763094032                               0.16858461975522274                               0.16858419281575301                               143.04426470427234                                15.593978292447206
8.5                                               0.16858470661850206                               0.16858461282100204                               0.16858418999568126                               143.04436261520323                                15.593964949943178
9                                                 0.16858469606408932                               0.16858460617519133                               0.1685841872929027                                143.0444564538257                                 15.593952162398176
9.5                                               0.1685846859486605                                0.16858459980579685                               0.16858418470253944                               143.04454638949406                                15.593939906729497
10                                                0.1685846762539642                                0.16858459370132037                               0.1685841822199153                                143.04463258454942                                15.593928160815496
10.5                                              0.1685846669624866                                0.16858458785074387                               0.1685841798405496                                143.04471519453713                                15.593916903453266
11                                                0.1685846580574725                                0.16858458224350892                               0.16858417756014735                               143.0447943686406                                 15.593906114321719
11.5                                              0.16858464952283936                               0.1685845768694922                                0.16858417537459303                               143.04487024968168                                15.593895773944253
12                                                0.16858464134318016                               0.16858457171899213                               0.16858417327994038                               143.0449429746784                                 15.593885863657684
12.5                                              0.16858463350372851                               0.16858456678271644                               0.1685841712724104                                143.04501267487808                                15.59387636557106
13                                                0.1685846259903427                                0.16858456205175235                               0.16858416934837744                               143.04507947608474                                15.593867262539561
13.5                                              0.16858461878946673                               0.168584557517562                                 0.16858416750437114                               143.045143498861                                  15.593858538132539
14                                                0.16858461188809443                               0.16858455317195872                               0.16858416573705978                               143.04520485883646                                15.593850176600286
14.5                                              0.16858460527374258                               0.16858454900710113                               0.16858416404325652                               143.04526366665158                                15.593842162849363
