% Model:              0902gakkai715uA.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 9 2026, 15:39
% Table:              プローブテーブル 1 - 
% Time (ms)              温度 (K), 吸収体              温度 (K), TES              アンペアメーターを通る電流 # (µA)
0                        0.16858496766439218      0.16858462294666599      143.02881190405725
0.5                      0.1685849512211552       0.1685842558884063       143.04207468594268
1                        0.1685849308069782       0.1685842475825553       143.04236323411538
1.5                      0.1685849113462097       0.1685842424457053       143.04254158979938
2                        0.1685848926741743       0.16858423764394073      143.04270830411897
2.5                      0.1685848747620838       0.16858423305434236      143.0428676512484
3                        0.1685848575794278       0.16858422865385453      143.04302043257326
3.5                      0.16858484086971434      0.1685842243747619       143.0431689992105
4                        0.16858482477324144      0.16858422025278363      143.04331211098668
4.500000000000001        0.16858480931861028      0.168584216295163        143.0434495164909
5                        0.16858479449742342      0.16858421249974992      143.04358129029896
5.5                      0.16858478028952326      0.16858420886138614      143.0437076115327
6                        0.16858476667149655      0.16858420537407856      143.04382868826096
6.500000000000001        0.16858475361951583      0.1685842020317219       143.0439447324131
7                        0.16858474111027844      0.16858419882835213      143.04405595111095
7.5                      0.16858472912128933      0.16858419575820663      143.04416254437228
8                        0.16858471763093785      0.16858419281575213      143.0442647043137
8.5                      0.16858470661849445      0.16858418999568112      143.04436261523296
9.000000000000002        0.16858469606408544      0.16858418729290225      143.0444564538476
9.5                      0.16858468594865958      0.16858418470253886      143.04454638952691
10                       0.16858467625395934      0.1685841822199155       143.04463258456335
10.5                     0.1685846669624877       0.1685841798405499       143.04471519457482
11                       0.1685846580574708       0.1685841775601477       143.04479436865284
11.5                     0.1685846495228352       0.16858417537459364      143.04487024969123
12                       0.1685846413431771       0.16858417327994116      143.0449429747004
12.5                     0.16858463350373065      0.16858417127241088      143.04501267487498
13.000000000000002       0.1685846259903472       0.16858416934837803      143.04507947609434
13.5                     0.1685846187894638       0.1685841675043711       143.04514349888083
14                       0.16858461188808407      0.16858416573706056      143.0452048588324
14.5                     0.16858460527374908      0.16858416404325685      143.04526366668557
15                       0.16858459893452088      0.16858416241990273      143.0453200285726
15.5                     0.16858459285895758      0.1685841608640681       143.04537404622485
16                       0.16858458703609114      0.16858415937294421      143.04542581716726
16.5                     0.16858458145541372      0.1685841579438389       143.04547543486578
17                       0.16858457610684952      0.16858415657417403      143.04552298883675
17.5                     0.16858457098074556      0.1685841552614777       143.0455685649024
18.000000000000004       0.1685845660678491       0.16858415400337926      143.04561224536172
18.5                     0.1685845613592922       0.16858415279760758      143.04565410907028
19                       0.1685845568465771       0.16858415164198787      143.04569423153075
19.5                     0.16858455252155474      0.16858415053443265      143.0457326852474
20                       0.1685845483764233       0.16858414947294337      143.04576953957488
20                       0.1685845483764233       0.16858414947294337      143.04576953957488
20.004                   0.16858454834398703      0.1685841494646367       143.04576982795444
20.008                   0.16858454831156158      0.16858414945633363      143.04577011624013
20.012                   0.16858454827914804      0.16858414944803313      143.04577040442962
20.016                   0.16858454824675065      0.1685841494397368       143.04577069247307
20.02                    0.1685864275433383       0.16858414948833017      143.04576906585731
20.024                   0.16859018936678116      0.16858414989436282      143.04575535070245
20.028000000000002       0.16859395130714372      0.16858415146839845      143.04570195534117
20.032                   0.16859770742730176      0.16858415573233893      143.04555681401916
20.036                   0.16860145838218352      0.1685841649503266       143.0452421310105
20.04                    0.16860520615893532      0.1685841786778991       143.04477285018467
20.044                   0.1686089499863592       0.16858420024020063      143.04403453777968
20.048                   0.16861268985194638      0.16858423290570293      143.04291428063513
20.052                   0.16861642594784723      0.16858428005089185      143.04129507346738
20.056                   0.1686201584962321       0.16858434502585457      143.03906052020625
20.06                    0.16862388770122894      0.16858443095434025      143.03610183124616
20.064000000000004       0.16862761374035964      0.16858454056209207      143.03232386681688
20.068                   0.16863133676678083      0.16858467606862404      143.02764898444966
20.072                   0.1686350569135282       0.1685848391463358       143.02201853608545
20.076                   0.16863877429738577      0.16858503093431956      143.01539244292883
20.08                    0.1686424890219559       0.16858525208829858      143.00774749159268
20.084                   0.16864620118001744      0.1685855028490835       142.99907496790132
20.088                   0.1686499108553369       0.1685857831161725       142.98937809936183
