time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.8000000000000000E-05,  1.6857605433241546E-01,  1.4332841463764789E-04,  1.5556314898094170E-02,  3.1958679211787447E-10
  1.9000000000000001E-05,  1.6857605271350734E-01,  1.4332708519069999E-04,  1.5555613351009502E-02,  3.1958612772961582E-10
  2.0000000000000002E-05,  1.6857605232443645E-01,  1.4332698613124192E-04,  1.5555521208531889E-02,  3.1958542993787438E-10
  2.0001000000000000E-05,  1.6857605161650499E-01,  1.4332698633857488E-04,  1.5555494886525335E-02,  3.1957182148779694E-10
  2.0011000000000002E-05,  1.6857605423865812E-01,  1.4332698821124798E-04,  1.5555496354267791E-02,  3.1956354585738346E-10
  2.0021000000000004E-05,  1.6857605924296637E-01,  1.4332698329526947E-04,  1.5555555280256483E-02,  3.1955467163395072E-10
  2.0031000000000005E-05,  1.6857606660788510E-01,  1.4332696595075178E-04,  1.5555664293591648E-02,  3.1955438123442258E-10
  2.0041000000000007E-05,  1.6857607627193949E-01,  1.4332693106534555E-04,  1.5555819561072493E-02,  3.1955664167685739E-10
  2.0051000000000008E-05,  1.6857608812423214E-01,  1.4332687411376863E-04,  1.5556016658998112E-02,  3.1956016875771654E-10
  2.0061000000000010E-05,  1.6857610210580848E-01,  1.4332679108726085E-04,  1.5556251699004452E-02,  3.1956446315119174E-10
  2.0071000000000012E-05,  1.6857611811284529E-01,  1.4332667850353186E-04,  1.5556520635953162E-02,  3.1956935860240438E-10
  2.0081000000000013E-05,  1.6857613606723609E-01,  1.4332653335043119E-04,  1.5556819844345184E-02,  3.1957475194590680E-10
  2.0091000000000015E-05,  1.6857615588575978E-01,  1.4332635305525269E-04,  1.5557145902502859E-02,  3.1958055824713522E-10
  2.0101000000000016E-05,  1.6857617748901385E-01,  1.4332613544160979E-04,  1.5557495705079881E-02,  3.1958670184877308E-10
  2.0201000000000015E-05,  1.6857650926801465E-01,  1.4332458949862969E-04,  1.5557164752690339E-02,  3.1958183921686419E-10
  2.0301000000000015E-05,  1.6857691339154454E-01,  1.4331863280750556E-04,  1.5561758868119779E-02,  3.1962787684909247E-10
  2.0401000000000014E-05,  1.6857736081759908E-01,  1.4330909423464653E-04,  1.5566128506080690E-02,  3.1967853863555088E-10
  2.0501000000000013E-05,  1.6857782980574099E-01,  1.4329690337814248E-04,  1.5570061177718135E-02,  3.1970916254829496E-10
  2.0601000000000012E-05,  1.6857830631722626E-01,  1.4328290158392988E-04,  1.5573518402010690E-02,  3.1972153936576996E-10
  2.0701000000000011E-05,  1.6857878123112954E-01,  1.4326777454945518E-04,  1.5576540582942944E-02,  3.1971919566956801E-10
  2.0801000000000010E-05,  1.6857924893576598E-01,  1.4325204413988003E-04,  1.5579197362468301E-02,  3.1970585083568284E-10
  2.0901000000000009E-05,  1.6857970621119009E-01,  1.4323608718316261E-04,  1.5581561948197799E-02,  3.1968478490260314E-10
  2.1001000000000008E-05,  1.6858015131920781E-01,  1.4322016494332671E-04,  1.5583697959739247E-02,  3.1965861830539397E-10
  2.2001000000000008E-05,  1.6858386142050966E-01,  1.4318858741662176E-04,  1.5577029935800103E-02,  3.1954745589870184E-10
  2.3001000000000009E-05,  1.6858716998112572E-01,  1.4307114822890250E-04,  1.5600399182826567E-02,  3.1938144363228908E-10
  2.4001000000000010E-05,  1.6859027186279887E-01,  1.4295609390874722E-04,  1.5615888353236552E-02,  3.1917668417180293E-10
  2.5001000000000010E-05,  1.6859326393676557E-01,  1.4284752719479884E-04,  1.5630162162185074E-02,  3.1898139483052034E-10
  2.6001000000000011E-05,  1.6859618297530585E-01,  1.4274317605285166E-04,  1.5644076264724659E-02,  3.1879682354550954E-10
  2.7001000000000011E-05,  1.6859904781974203E-01,  1.4264156184601740E-04,  1.5657762959407399E-02,  3.1861999382938848E-10
  2.8001000000000012E-05,  1.6860186542127575E-01,  1.4254196437599046E-04,  1.5671254409843315E-02,  3.1844829174739098E-10
  2.9001000000000013E-05,  1.6860464064241332E-01,  1.4244406767625369E-04,  1.5684558170208904E-02,  3.1828023928492407E-10
  3.0001000000000013E-05,  1.6860737512792442E-01,  1.4234769497691849E-04,  1.5697685685420945E-02,  3.1811513411773466E-10
  3.5001000000000013E-05,  1.6862075578355712E-01,  1.4224338454784711E-04,  1.5705527613956959E-02,  3.1798071868332350E-10
  4.0001000000000012E-05,  1.6863344972068089E-01,  1.4179227334106572E-04,  1.5773919232951288E-02,  3.1733456710322990E-10
  4.5001000000000012E-05,  1.6864494953353104E-01,  1.4136077652350364E-04,  1.5833631568636652E-02,  3.1656204997925676E-10
  5.0001000000000011E-05,  1.6865566434169699E-01,  1.4096074672731828E-04,  1.5889084110732886E-02,  3.1586109248307500E-10
  5.5001000000000011E-05,  1.6866562863319962E-01,  1.4058957058761315E-04,  1.5940825188134125E-02,  3.1521243470339173E-10
  6.0001000000000010E-05,  1.6867489255313703E-01,  1.4024496313538433E-04,  1.5989111679824176E-02,  3.1460984114622104E-10
  6.5001000000000010E-05,  1.6868350672519131E-01,  1.3992491446724985E-04,  1.6034172054659054E-02,  3.1404954071479767E-10
  7.0001000000000010E-05,  1.6869152182300878E-01,  1.3962749191826098E-04,  1.6076235490238205E-02,  3.1352831343826123E-10
  7.5001000000000009E-05,  1.6869898014880536E-01,  1.3935106769928028E-04,  1.6115490728766745E-02,  3.1304330556771616E-10
  8.0001000000000009E-05,  1.6870592126132017E-01,  1.3909403983722074E-04,  1.6152133734879941E-02,  3.1259188766128625E-10
  8.5001000000000008E-05,  1.6871238241549052E-01,  1.3885504503304805E-04,  1.6186327627162898E-02,  3.1217169491539201E-10
  9.0001000000000008E-05,  1.6871839717030307E-01,  1.3863272215734098E-04,  1.6218243881187117E-02,  3.1178048523834333E-10
  9.5001000000000007E-05,  1.6872399955978146E-01,  1.3842587144952500E-04,  1.6248031748228510E-02,  3.1141620021301273E-10
  1.0000100000000001E-04,  1.6872921783804515E-01,  1.3823334833692607E-04,  1.6275837744009702E-02,  3.1107689575979191E-10
  1.0500100000000001E-04,  1.6873407665242612E-01,  1.3805416650545613E-04,  1.6301786428482706E-02,  3.1076084266590937E-10
  1.1000100000000001E-04,  1.6873860765504808E-01,  1.3788729534382264E-04,  1.6326014993647234E-02,  3.1046637711794493E-10
  1.1500100000000001E-04,  1.6874282789376635E-01,  1.3773189529210140E-04,  1.6348630705419261E-02,  3.1019194233806550E-10
  1.2000100000000001E-04,  1.6874676223547969E-01,  1.3758713920535007E-04,  1.6369744076959222E-02,  3.0993617803133610E-10
  1.4000100000000000E-04,  1.6876123792531345E-01,  1.3744969322487536E-04,  1.6388037491038357E-02,  3.0980767741480653E-10
  1.6000100000000000E-04,  1.6877294114389890E-01,  1.3696752965615381E-04,  1.6461004813300033E-02,  3.0904348125715984E-10
  1.8000100000000000E-04,  1.6878003562203195E-01,  1.3660184587119086E-04,  1.6514986911358359E-02,  3.0831017990121428E-10
  2.0000100000000000E-04,  1.6878533003176466E-01,  1.3634118495727023E-04,  1.6553543126649778E-02,  3.0780905100058719E-10
  2.2000100000000000E-04,  1.6878922479643255E-01,  1.3615204345654376E-04,  1.6581633997017474E-02,  3.0744953429297689E-10
  2.4000099999999999E-04,  1.6879208688210276E-01,  1.3601367458499007E-04,  1.6602240714873991E-02,  3.0718755047291756E-10
  2.6000099999999999E-04,  1.6879178811859030E-01,  1.3590230334684604E-04,  1.6618920022970857E-02,  3.0706481556998702E-10
  2.8000099999999999E-04,  1.6879417796150537E-01,  1.3591167082475353E-04,  1.6616959449322143E-02,  3.0700649791947871E-10
  3.0000099999999999E-04,  1.6879617625834800E-01,  1.3583104687988061E-04,  1.6629544958834730E-02,  3.0691141064858043E-10
  3.2000099999999999E-04,  1.6879768276381951E-01,  1.3576307607593522E-04,  1.6639765911644004E-02,  3.0680456672031128E-10
  3.4000099999999999E-04,  1.6879868959444802E-01,  1.3571179637791270E-04,  1.6647451374448986E-02,  3.0670609666405676E-10
  3.6000099999999998E-04,  1.6879926240837703E-01,  1.3567749176174489E-04,  1.6652569635026121E-02,  3.0662647798487785E-10
  3.8000099999999998E-04,  1.6879949654274892E-01,  1.3565794334542447E-04,  1.6655464379816493E-02,  3.0656914065463244E-10
  4.0000099999999998E-04,  1.6879948752623497E-01,  1.3564991760194847E-04,  1.6656628305627391E-02,  3.0653304743289100E-10
  4.2000099999999998E-04,  1.6879931341465915E-01,  1.3565016982863468E-04,  1.6656552552814854E-02,  3.0651487375868419E-10
