time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  1.4763402469664699E-06,1,1,  1.6857000000000000E-01,  1.4353734493231094E-04,  1.4353734493231094E-04,  1.5526999999999971E-02,  3.1990230572190201E-10,  0.0000000000000000E+00,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.1990230572190201E-10
  1.4763402469664699E-06,1,2,  1.6843722786003604E-01,  1.4353734493231094E-04,  1.4782267266366729E-04,  1.4722293293527935E-02,  3.2170481838759875E-10,  1.8025126656967450E-12,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.1993835597521595E-10
  2.5526804939329399E-06,2,1,  1.6843534394445808E-01,  1.4782267266366729E-04,  1.4820480514254387E-04,  1.4885714371186534E-02,  3.2695971854262141E-10,  7.0213625674054619E-12,  2.0000000000000000E-02,  5.0000000000000000E-01,  3.2007878322656407E-10
  2.5526804939329399E-06,2,2,  1.6843535386701544E-01,  1.4782267266366729E-04,  1.4820449176917945E-04,  1.4885778256241516E-02,  3.2695973906441634E-10,  6.8809558378522717E-12,  6.5000000000000002E-01,  6.5000000000000002E-01,  3.2455140452116803E-10
  2.5526804939329399E-06,2,3,  1.6843403310573998E-01,  1.4782267266366729E-04,  1.4824620711496967E-04,  1.4877276439594203E-02,  3.2695698079076995E-10,  2.4055762696019173E-12,  8.4500000000000008E-01,  8.4500000000000008E-01,  3.2658411646898162E-10
  2.5526804939329399E-06,2,4,  1.6843484703916284E-01,  1.4782267266366729E-04,  1.4822049882533720E-04,  1.4882515364418994E-02,  3.2695868696429325E-10,  3.7457049531162387E-13,  1.0000000000000000E+00,  1.0000000000000000E+00,  3.2695868696429325E-10
  4.7053609878658793E-06,3,1,  1.6843521626648811E-01,  1.4822049882533720E-04,  1.4825143334888335E-04,  1.4908069393525347E-02,  3.2765681666562490E-10,  6.9812970133165517E-13,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2702849993442639E-10
  9.0107219757317591E-06,4,1,  1.6843528423866949E-01,  1.4825143334888335E-04,  1.4825083441648409E-04,  1.4909349182198536E-02,  3.2768229681095782E-10,  6.5379687653143535E-13,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2709387962207955E-10
  1.7621443951463519E-05,5,1,  1.6843515554594188E-01,  1.4825083441648409E-04,  1.4825528404144856E-04,  1.4908730238217274E-02,  3.2768836316778464E-10,  5.9448354570509059E-13,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2715332797665005E-10
  1.7621443951463519E-05,5,2,  1.6843494800870021E-01,  1.4825083441648409E-04,  1.4826248722150256E-04,  1.4907747035603811E-02,  3.2769859376187938E-10,  5.4526578522933444E-13,  3.2500000000000001E-01,  3.2500000000000001E-01,  3.2733053935684957E-10
  3.4842887902927021E-05,6,1,  1.6843463404727127E-01,  1.4826248722150256E-04,  1.4827362822917472E-04,  1.4906392452302186E-02,  3.2771806404467323E-10,  3.8752468782366292E-13,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2736929182563194E-10
