time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.4763402469664699E-06,  1.6843534394445808E-01,  1.4782267266366729E-04,  1.4722293293527935E-02,  3.1993835597521595E-10
  2.5526804939329395E-06,  1.6843521626648811E-01,  1.4822049882533720E-04,  1.4882515364418994E-02,  3.2695868696429325E-10
  4.7053609878658793E-06,  1.6843528423866949E-01,  1.4825143334888335E-04,  1.4908069393525347E-02,  3.2702849993442639E-10
  9.0107219757317591E-06,  1.6843515554594188E-01,  1.4825083441648409E-04,  1.4909349182198536E-02,  3.2709387962207955E-10
  1.7621443951463522E-05,  1.6843463404727127E-01,  1.4826248722150256E-04,  1.4907747035603811E-02,  3.2733053935684957E-10
  3.4842887902927021E-05,  1.6843487508099797E-01,  1.4827362822917472E-04,  1.4906392452302186E-02,  3.2736929182563194E-10
  6.9285775805854019E-05,  1.6843483434034429E-01,  1.4826525215899975E-04,  1.4907528740533360E-02,  3.2740296440761879E-10
  1.0372866370878100E-04,  1.6843490546268536E-01,  1.4826665141934577E-04,  1.4907327700544676E-02,  3.2743344633633553E-10
  1.7261443951463511E-04,  1.6843649777426012E-01,  1.4822270234373104E-04,  1.4912960520208240E-02,  3.2761704953807122E-10
  3.1038599112634315E-04,  1.6843825222228939E-01,  1.4820171553497536E-04,  1.4915584310878083E-02,  3.2761630513679513E-10
  5.0000000000000012E-04,  1.6843858364904896E-01,  1.4812026515475840E-04,  1.4925953900775696E-02,  3.2757387490143216E-10
  7.5000000000000002E-04,  1.6843856427047432E-01,  1.4813466982705224E-04,  1.4924082806177005E-02,  3.2756571623625185E-10
  1.0000000000000000E-03,  1.6843863868329473E-01,  1.4813535864539510E-04,  1.4923999831027643E-02,  3.2755849592127646E-10
  1.5000000000000000E-03,  1.6843857724527012E-01,  1.4813274067252557E-04,  1.4924333174032189E-02,  3.2755157156461904E-10
  2.0000000000000000E-03,  1.6843841797473832E-01,  1.4813490180195114E-04,  1.4924057753548853E-02,  3.2754569082665928E-10
  2.5000000000000001E-03,  1.6843831064416043E-01,  1.4814050653353270E-04,  1.4923344994384802E-02,  3.2754131217471649E-10
  3.0000000000000001E-03,  1.6843823107061637E-01,  1.4814428456902642E-04,  1.4922865257154444E-02,  3.2753798900278696E-10
  3.5000000000000001E-03,  1.6843817422594742E-01,  1.4814708548736694E-04,  1.4922509548020726E-02,  3.2753545588391223E-10
  4.0000000000000001E-03,  1.6843813640436553E-01,  1.4814908640691646E-04,  1.4922255461760292E-02,  3.2753350310761151E-10
  4.5000000000000005E-03,  1.6843810623613212E-01,  1.4815041775771579E-04,  1.4922086427113998E-02,  3.2753196325348214E-10
  5.0000000000000010E-03,  1.6843808633321403E-01,  1.4815147964213158E-04,  1.4921951563449956E-02,  3.2753075088047610E-10
  5.5000000000000014E-03,  1.6843807069172850E-01,  1.4815218024715043E-04,  1.4921862615273590E-02,  3.2752977427933397E-10
  6.0000000000000019E-03,  1.6843805907775539E-01,  1.4815273081272392E-04,  1.4921792694330804E-02,  3.2752898529543757E-10
  6.5000000000000023E-03,  1.6843806058772123E-01,  1.4815313962165984E-04,  1.4921740781628529E-02,  3.2752834201629602E-10
