time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  1.0000000000000000E-03,1,1,  1.6857000000000000E-01,  1.4353734493231094E-04,  1.4353734493231094E-04,  1.5526999999999971E-02,  3.1990230572190201E-10,  0.0000000000000000E+00,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.1990230572190201E-10
  1.0000000000000000E-03,1,2,  1.6777968088348888E-01,  1.4353734493231094E-04,  1.7194608460190865E-04,  1.2315260608912484E-02,  3.6410629578358549E-10,  4.4203990061683481E-11,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2078638552313566E-10
  1.0000000000000000E-03,1,3,  1.6842737409205638E-01,  1.4353734493231094E-04,  1.4852878041534759E-04,  1.4873725856671932E-02,  3.2812627072923639E-10,  7.3398852061007371E-12,  2.3982131254701645E-02,  3.2500000000000001E-01,  3.2096241161354279E-10
  1.0000000000000000E-03,1,4,  1.6839415742196231E-01,  1.4353734493231094E-04,  1.4970060862197376E-04,  1.4726672379789627E-02,  3.3002873695219215E-10,  9.0663253386493638E-12,  2.0000000000000000E-02,  4.2250000000000004E-01,  3.2114373812031576E-10
  1.0000000000000000E-03,1,5,  1.6839830155606009E-01,  1.4353734493231094E-04,  1.4955422243997010E-04,  1.4744916518662041E-02,  3.2979166587224555E-10,  8.6479277519297847E-12,  4.3338325202749561E-01,  5.4925000000000013E-01,  3.2489160517274593E-10
  1.0000000000000000E-03,1,6,  1.6847720409336892E-01,  1.4353734493231094E-04,  1.4677739877983246E-04,  1.5097885032152619E-02,  3.2526286833641389E-10,  3.7126316366795275E-13,  4.5282335806448848E-01,  7.1402500000000024E-01,  3.2505972180524368E-10
  1.0000000000000000E-03,1,7,  1.6847770412858246E-01,  1.4353734493231094E-04,  1.4675986422315460E-04,  1.5100156328659117E-02,  3.2523407905488044E-10,  1.7435724963676200E-13,  8.5379168688218154E-01,  9.2823250000000035E-01,  3.2520858657553118E-10
  1.0000000000000000E-03,1,8,  1.6848071315384866E-01,  1.4353734493231094E-04,  1.4665436482491439E-04,  1.5113833403351956E-02,  3.2506081306545572E-10, -1.4777351007546526E-13,  4.6212528856448148E-01,  1.0000000000000000E+00,  3.2514029669954539E-10
  1.0000000000000000E-03,1,9,  1.6847915494194890E-01,  1.4353734493231094E-04,  1.4670899362858152E-04,  1.5106748800830128E-02,  3.2515054306292908E-10,  1.0246363383682342E-14,  4.3216004728332774E-01,  1.0000000000000000E+00,  3.2514472476842979E-10
  2.0000000000000000E-03,2,1,  1.6847930193949986E-01,  1.4670899362858152E-04,  1.4670423443506034E-04,  1.5107631710674502E-02,  3.2514844994535896E-10,  3.7251769291750874E-15,  4.3216004728332774E-01,  5.0000000000000000E-01,  3.2514633464106764E-10
  2.0000000000000000E-03,2,2,  1.6845183533780483E-01,  1.4670899362858152E-04,  1.4766844225066827E-04,  1.4983440200774037E-02,  3.2672843008522023E-10,  1.5820954441525977E-12,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2517797654995070E-10
  2.0000000000000000E-03,2,3,  1.6845399991109489E-01,  1.4670899362858152E-04,  1.4759236785369449E-04,  1.4993179742608415E-02,  3.2660403660494083E-10,  1.4260600549901291E-12,  2.0278674634576307E-01,  3.2500000000000001E-01,  3.2546716262859581E-10
