time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  1.0000000000000000E-03,1,1,  1.6857000000000000E-01,  1.4353734493231094E-04,  1.4353734493231094E-04,  1.5526999999999971E-02,  3.1990230572190201E-10,  0.0000000000000000E+00,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.1990230572190201E-10
  1.0000000000000000E-03,1,2,  1.6843722786003604E-01,  1.4353734493231094E-04,  1.4818182252295258E-04,  1.4917712088091784E-02,  3.2756092205898569E-10,  7.6586163370836784E-12,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2005547804864367E-10
  1.0000000000000000E-03,1,3,  1.6827701439947129E-01,  1.4353734493231094E-04,  1.5386022977934818E-04,  1.4222766568821599E-02,  3.3669513067782742E-10,  1.6639652629183753E-11,  2.0000000000000000E-02,  1.2500000000000000E-01,  3.2038827110122732E-10
  1.0000000000000000E-03,1,4,  1.6828635000662676E-01,  1.4353734493231094E-04,  1.5352722109671308E-04,  1.4262102489738041E-02,  3.3616642158873837E-10,  1.5778150487511044E-11,  1.6250000000000001E-01,  1.6250000000000001E-01,  3.2295222055544787E-10
  1.0000000000000000E-03,1,5,  1.6829323231783308E-01,  1.4353734493231094E-04,  1.5328188857936863E-04,  1.4291191196534159E-02,  3.3577635853112428E-10,  1.2824137975676403E-11,  2.1125000000000002E-01,  2.1125000000000002E-01,  3.2566131970280949E-10
  1.0000000000000000E-03,1,6,  1.6834703475601781E-01,  1.4353734493231094E-04,  1.5136888315937021E-04,  1.4521247576650256E-02,  3.3271864836343799E-10,  7.0573286606285021E-12,  2.7462500000000006E-01,  2.7462500000000006E-01,  3.2759943858623462E-10
  1.0000000000000000E-03,1,7,  1.6840210045232182E-01,  1.4353734493231094E-04,  1.4942007827433337E-04,  1.4761666320776329E-02,  3.2957427339983715E-10,  1.9748348136025263E-12,  3.5701250000000012E-01,  3.5701250000000012E-01,  3.2830447930012589E-10
  1.0000000000000000E-03,1,8,  1.6844077637701710E-01,  1.4353734493231094E-04,  1.4805695201677049E-04,  1.4933593227807448E-02,  3.2735722198206337E-10, -9.4725731806252003E-13,  2.4127942656261517E-01,  4.6411625000000017E-01,  3.2807592559761655E-10
  1.0000000000000000E-03,1,9,  1.6845407197294801E-01,  1.4353734493231094E-04,  1.4758944226757613E-04,  1.4993290172798296E-02,  3.2659349425914051E-10, -1.4824313384760434E-12,  2.0000000000000000E-02,  2.3205812500000009E-01,  3.2804627697084701E-10
  1.0000000000000000E-03,1,10,  1.6844868444497429E-01,  1.4353734493231094E-04,  1.4777881483472047E-04,  1.4969063424543419E-02,  3.2690306088963214E-10, -1.1432160812148711E-12,  8.7403576740339481E-02,  3.0167556250000011E-01,  3.2794635579636176E-10
