time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  1.0000000000000000E-03,1,1,  1.6857000000000000E-01,  1.4353734493231094E-04,  1.4353734493231094E-04,  1.5526999999999971E-02,  3.1990230572190201E-10,  0.0000000000000000E+00,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.1990230572190201E-10
  1.0000000000000000E-03,1,2,  1.6666457572424095E-01,  1.4353734493231094E-04,  2.1444722875776158E-04,  9.0991318823608475E-03,  4.1844736403031378E-10,  9.8545058308411773E-11,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2187320688807025E-10
  1.0000000000000000E-03,1,3,  1.6837308694207120E-01,  1.4353734493231094E-04,  1.5044571895163540E-04,  1.4634359411688988E-02,  3.3123283750408222E-10,  9.3596306160119618E-12,  2.2098914779731350E-02,  3.2500000000000001E-01,  3.2208004456742324E-10
  1.0000000000000000E-03,1,4,  1.6819456826662363E-01,  1.4353734493231094E-04,  1.5681218033072823E-04,  1.3881378421266716E-02,  3.4134392687458249E-10,  1.9263882307159250E-11,  2.0000000000000000E-02,  1.6250000000000001E-01,  3.2246532221356645E-10
  1.0000000000000000E-03,1,5,  1.6822619652044732E-01,  1.4353734493231094E-04,  1.5567742162505513E-04,  1.4011079512688387E-02,  3.3956495153574207E-10,  1.7099629322175614E-11,  1.7801876620542034E-01,  2.1125000000000002E-01,  3.2550937712807019E-10
  1.0000000000000000E-03,1,6,  1.6838628575883174E-01,  1.4353734493231094E-04,  1.4997881172933999E-04,  1.4692098029090481E-02,  3.3047882220556646E-10,  4.9694450774962699E-12,  2.5094877811430960E-01,  2.7462500000000006E-01,  3.2675645329817406E-10
  1.0000000000000000E-03,1,7,  1.6843724327809717E-01,  1.4353734493231094E-04,  1.4818127988297283E-04,  1.4917781043612924E-02,  3.2756003711945811E-10,  8.0358382128404931E-13,  2.9935614592161303E-01,  3.5701250000000012E-01,  3.2699701105383862E-10
  1.0000000000000000E-03,1,8,  1.6844453156149361E-01,  1.4353734493231094E-04,  1.4792485246273098E-04,  1.4950422949449371E-02,  3.2714159642218397E-10,  1.4458536834535181E-13,  3.6503538755186249E-01,  4.6411625000000017E-01,  3.2704978982980688E-10
  1.0000000000000000E-03,1,9,  1.6844645821076895E-01,  1.4353734493231094E-04,  1.4785709433787247E-04,  1.4959067125384945E-02,  3.2703094213278394E-10, -1.8847697022945422E-14,  3.2293817563378041E-01,  6.0335112500000021E-01,  3.2704370318891540E-10
  1.0000000000000000E-03,1,10,  1.6844591091701444E-01,  1.4353734493231094E-04,  1.4787634085491167E-04,  1.4956610964468112E-02,  3.2706237684530055E-10,  1.8673656385154618E-14,  1.6221805288543392E-01,  7.8435646250000035E-01,  3.2704673239309445E-10
  2.0000000000000000E-03,2,1,  1.6844613525148711E-01,  1.4787634085491167E-04,  1.4786898894512292E-04,  1.4957910034560110E-02,  3.2705826126759862E-10,  1.1528874504169654E-14,  1.6221805288543392E-01,  5.0000000000000000E-01,  3.2704860258466845E-10
  2.0000000000000000E-03,2,2,  1.6841156307867300E-01,  1.4787634085491167E-04,  1.4908667040868699E-04,  1.4803785558443916E-02,  3.2904130332854432E-10,  1.9927007438758660E-12,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2708845659954598E-10
  2.0000000000000000E-03,2,3,  1.6841815092005560E-01,  1.4787634085491167E-04,  1.4885434696487273E-04,  1.4832996565984649E-02,  3.2866385109155862E-10,  1.5753944920126374E-12,  9.5503038115468744E-02,  3.2500000000000001E-01,  3.2723891155976356E-10
  2.0000000000000000E-03,2,4,  1.6842565977029203E-01,  1.4787634085491167E-04,  1.4858970982876811E-04,  1.4866381795718045E-02,  3.2823338478497683E-10,  9.9447322521326492E-13,  2.5899372052003683E-01,  4.2250000000000004E-01,  3.2749647388031909E-10
  2.0000000000000000E-03,2,5,  1.6843865134410924E-01,  1.4787634085491167E-04,  1.4813226276845184E-04,  1.4924372220109894E-02,  3.2748799606891813E-10, -8.4778114009547758E-15,  2.5680448112903648E-01,  5.4925000000000013E-01,  3.2749429674036115E-10
  2.0000000000000000E-03,2,6,  1.6843724105060323E-01,  1.4787634085491167E-04,  1.4818189488439334E-04,  1.4918063055955180E-02,  3.2756894848199253E-10,  7.4651741631379503E-14,  2.6189722890548866E-02,  2.7462500000000006E-01,  3.2749625184878775E-10
