time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  1.0000000000000000E-03,1,1,  1.6857000000000000E-01,  1.4353734493231094E-04,  1.4353734493231094E-04,  1.5526999999999971E-02,  3.1990230572190201E-10,  0.0000000000000000E+00,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.1990230572190201E-10
  1.0000000000000000E-03,1,2,  1.6011497473245428E-01,  1.4353734493231094E-04,  4.8544646143504111E-04,  1.8355336562476676E-03,  4.3255868030429454E-10,  1.1265637458239253E-10,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2215543321354985E-10
  1.0000000000000000E-03,1,3,  1.6015594498221758E-01,  1.4353734493231094E-04,  4.8370576747757858E-04,  1.8562181714770198E-03,  4.3430172203287711E-10,  1.1214628881932725E-10,  2.0000000000000000E-02,  3.2500000000000001E-01,  3.2439835898993639E-10
  1.0000000000000000E-03,1,4,  1.6020055210138667E-01,  1.4353734493231094E-04,  4.8181086024131850E-04,  1.8789050964254650E-03,  4.3617223270472712E-10,  1.1177387371479073E-10,  2.0000000000000000E-02,  4.2250000000000004E-01,  3.2663383646423222E-10
  1.0000000000000000E-03,1,5,  1.6024754835879976E-01,  1.4353734493231094E-04,  4.7981481107966172E-04,  1.9029967455592156E-03,  4.3811219808378661E-10,  1.1147836161955439E-10,  2.0000000000000000E-02,  5.4925000000000013E-01,  3.2886340369662331E-10
  1.0000000000000000E-03,1,6,  1.6029436795503971E-01,  1.4353734493231094E-04,  4.7782662491799690E-04,  1.9271935816343455E-03,  4.4001353049343704E-10,  1.1115012679681373E-10,  2.0000000000000000E-02,  7.1402500000000024E-01,  3.3108640623255960E-10
  1.0000000000000000E-03,1,7,  1.6034104377841810E-01,  1.4353734493231094E-04,  4.7584490575663149E-04,  1.9515129264112141E-03,  4.4187789942012709E-10,  1.1079149318756748E-10,  2.0000000000000000E-02,  9.2823250000000035E-01,  3.3330223609631097E-10
  1.0000000000000000E-03,1,8,  1.6038756459143830E-01,  1.4353734493231094E-04,  4.7387013154744637E-04,  1.9759493822324448E-03,  4.4370516714126551E-10,  1.1040293104495455E-10,  2.0000000000000000E-02,  1.0000000000000000E+00,  3.3551029471721004E-10
  1.0000000000000000E-03,1,9,  1.6043390846945366E-01,  1.4353734493231094E-04,  4.7190323341875023E-04,  2.0004916736833800E-03,  4.4549481554338810E-10,  1.0998452082617806E-10,  2.0000000000000000E-02,  1.0000000000000000E+00,  3.3770998513373360E-10
  1.0000000000000000E-03,1,10,  1.6048007011601020E-01,  1.4353734493231094E-04,  4.6994443626660756E-04,  2.0251370542813119E-03,  4.4724700881815986E-10,  1.0953702368442626E-10,  2.0000000000000000E-02,  1.0000000000000000E+00,  3.3990072560742210E-10
  1.0000000000000000E-03,1,11,  1.6052602976868363E-01,  1.4353734493231094E-04,  4.6799457846688318E-04,  2.0498748578442472E-03,  4.4896138872202659E-10,  1.0906066311460449E-10,  2.0000000000000000E-02,  1.0000000000000000E+00,  3.4208193886971418E-10
  1.0000000000000000E-03,1,12,  1.6057177669632547E-01,  1.4353734493231094E-04,  4.6605411468997007E-04,  2.0746989801481153E-03,  4.5063797502562159E-10,  1.0855603615590741E-10,  2.0000000000000000E-02,  1.0000000000000000E+00,  3.4425305959283235E-10
  1.0000000000000000E-03,1,13,  1.6061731303547780E-01,  1.4353734493231094E-04,  4.6412295357315807E-04,  2.0996101799666822E-03,  4.5227727249168173E-10,  1.0802421289884938E-10,  2.0000000000000000E-02,  1.0000000000000000E+00,  3.4641354385080932E-10
  1.0000000000000000E-03,1,14,  1.6066261404317883E-01,  1.4353734493231094E-04,  4.6220214340144820E-04,  2.1245943527792577E-03,  4.5387883665144585E-10,  1.0746529280063653E-10,  2.0000000000000000E-02,  1.0000000000000000E+00,  3.4856284970682203E-10
  1.0000000000000000E-03,1,15,  1.6070767355781532E-01,  1.4353734493231094E-04,  4.6029194397220378E-04,  2.1496473051459131E-03,  4.5544292343332611E-10,  1.0688007372650408E-10,  2.0000000000000000E-02,  1.0000000000000000E+00,  3.5070045118135213E-10
  1.0000000000000000E-03,1,16,  1.6075247259416345E-01,  1.4353734493231094E-04,  4.5839315830730268E-04,  2.1747574937161507E-03,  4.5696936903277462E-10,  1.0626891785142248E-10,  2.0000000000000000E-02,  1.0000000000000000E+00,  3.5282582953838058E-10
  1.0000000000000000E-03,1,17,  1.6079700853908069E-01,  1.4353734493231094E-04,  4.5650589503351010E-04,  2.1999222948246022E-03,  4.5845859726619889E-10,  1.0563276772781831E-10,  2.0000000000000000E-02,  1.0000000000000000E+00,  3.5493848489293697E-10
  1.0000000000000000E-03,1,18,  1.6084127064106069E-01,  1.4353734493231094E-04,  4.5463060741147277E-04,  2.2251343562779413E-03,  4.5991077092287712E-10,  1.0497228602994015E-10,  2.0000000000000000E-02,  1.0000000000000000E+00,  3.5703793061353575E-10
