time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  1.0000000000000000E-03,1,1,  1.6857000000000000E-01,  1.4353734493231094E-04,  1.4353734493231094E-04,  1.5526999999999971E-02,  3.1990230572190201E-10,  0.0000000000000000E+00,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.1990230572190201E-10
  1.0000000000000000E-03,1,2,  1.6011497597329771E-01,  1.4353734493231094E-04,  4.8544640871155998E-04,  1.8355342805097541E-03,  4.3255873345792343E-10,  1.1265642773602142E-10,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2215543427662242E-10
  1.0000000000000000E-03,1,3,  1.6015594868437594E-01,  1.4353734493231094E-04,  4.8370561019689141E-04,  1.8562200471561319E-03,  4.3430187845450452E-10,  1.1214644417788210E-10,  2.0000000000000000E-02,  3.2500000000000001E-01,  3.2439836316018007E-10
  1.0000000000000000E-03,1,4,  1.6020055368885666E-01,  1.4353734493231094E-04,  4.8181079281141656E-04,  1.8789059069104219E-03,  4.3617229876658020E-10,  1.1177393560640013E-10,  2.0000000000000000E-02,  4.2250000000000004E-01,  3.2663384187230805E-10
  1.0000000000000000E-03,1,5,  1.6024754826195070E-01,  1.4353734493231094E-04,  4.7981481519271304E-04,  1.9029966957094802E-03,  4.3811219411840740E-10,  1.1147835224609936E-10,  2.0000000000000000E-02,  5.4925000000000013E-01,  3.2886340891723002E-10
  1.0000000000000000E-03,1,6,  1.6029437090398330E-01,  1.4353734493231094E-04,  4.7782649970301008E-04,  1.9271951118804420E-03,  4.4001364926439763E-10,  1.1115024034716761E-10,  2.0000000000000000E-02,  7.1402500000000024E-01,  3.3108641372417337E-10
  1.0000000000000000E-03,1,7,  1.6034104587966769E-01,  1.4353734493231094E-04,  4.7584481655190406E-04,  1.9515140256767816E-03,  4.4187798265082557E-10,  1.1079156892665220E-10,  2.0000000000000000E-02,  9.2823250000000035E-01,  3.3330224510270641E-10
  1.0000000000000000E-03,1,8,  1.6038756323374434E-01,  1.4353734493231094E-04,  4.7387018917521373E-04,  1.9759486661572456E-03,  4.4370511426322776E-10,  1.1040286916052135E-10,  2.0000000000000000E-02,  1.0000000000000000E+00,  3.3551030248591685E-10
  1.0000000000000000E-03,1,9,  1.6043391094380868E-01,  1.4353734493231094E-04,  4.7190312841352078E-04,  2.0004929893644996E-03,  4.4549491027785393E-10,  1.0998460779193708E-10,  2.0000000000000000E-02,  1.0000000000000000E+00,  3.3770999464175562E-10
  1.0000000000000000E-03,1,10,  1.6048007023600588E-01,  1.4353734493231094E-04,  4.6994443117525839E-04,  2.0251371186070788E-03,  4.4724701333346875E-10,  1.0953701869171313E-10,  2.0000000000000000E-02,  1.0000000000000000E+00,  3.3990073501558987E-10
