time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  1.0000000000000000E-03,1,1,  1.6857000000000000E-01,  1.4353734493231094E-04,  1.4353734493231094E-04,  1.5526999999999971E-02,  3.1990230572190201E-10,  0.0000000000000000E+00,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.1990230572190201E-10
  1.0000000000000000E-03,1,2,  1.6843722786003604E-01,  1.4353734493231094E-04,  1.4818182252295258E-04,  1.4917712088091784E-02,  3.2756092205898569E-10,  7.6586163370836784E-12,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2005547804864367E-10
  1.0000000000000000E-03,1,3,  1.6827701488615263E-01,  1.4353734493231094E-04,  1.5386021241232576E-04,  1.4222768615823236E-02,  3.3669510312728961E-10,  1.6639625078645945E-11,  2.0000000000000000E-02,  1.2500000000000000E-01,  3.2038827055021657E-10
  1.0000000000000000E-03,1,4,  1.6828635407647730E-01,  1.4353734493231094E-04,  1.5352707597801165E-04,  1.4262119668764436E-02,  3.3616619099846234E-10,  1.5777920448245772E-11,  1.6250000000000001E-01,  1.6250000000000001E-01,  3.2295218262305652E-10
  1.0000000000000000E-03,1,5,  1.6829323884177966E-01,  1.4353734493231094E-04,  1.5328165608805285E-04,  1.4291218806841408E-02,  3.3577598866139835E-10,  1.2823806038341838E-11,  2.1125000000000002E-01,  2.1125000000000002E-01,  3.2566121164865622E-10
  1.0000000000000000E-03,1,6,  1.6834703520592986E-01,  1.4353734493231094E-04,  1.5136886719875994E-04,  1.4521249520317248E-02,  3.3271862273285908E-10,  7.0574110842028610E-12,  2.7462500000000006E-01,  2.7462500000000006E-01,  3.2759935316765542E-10
  1.0000000000000000E-03,1,7,  1.6840209817642071E-01,  1.4353734493231094E-04,  1.4942015862602379E-04,  1.4761656278725971E-02,  3.2957440365899553E-10,  1.9750504913401153E-12,  3.5701250000000012E-01,  3.5701250000000012E-01,  3.2830447088119499E-10
  1.0000000000000000E-03,1,8,  1.6844077112884034E-01,  1.4353734493231094E-04,  1.4805713666797787E-04,  1.4933569723929035E-02,  3.2735752329190784E-10, -9.4694758928714789E-13,  2.4131354439089708E-01,  4.6411625000000017E-01,  3.2807595960207170E-10
  1.0000000000000000E-03,1,9,  1.6845407627400069E-01,  1.4353734493231094E-04,  1.4758929112175626E-04,  1.4993309533965382E-02,  3.2659324706956059E-10, -1.4827125325111090E-12,  2.0000000000000000E-02,  2.3205812500000009E-01,  3.2804630535142148E-10
  1.0000000000000000E-03,1,10,  1.6844868697660614E-01,  1.4353734493231094E-04,  1.4777872582570774E-04,  1.4969074797029608E-02,  3.2690291545284482E-10, -1.1433898985766588E-12,  8.7392492231893798E-02,  3.0167556250000011E-01,  3.2794638165859209E-10
