time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  1.0000000000000000E-03,1,1,  1.6857000000000000E-01,  1.4353734493231094E-04,  1.4353734493231094E-04,  1.5526999999999971E-02,  3.1990230572190201E-10,  0.0000000000000000E+00,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.1990230572190201E-10
  1.0000000000000000E-03,1,2,  1.6843722786003604E-01,  1.4353734493231094E-04,  1.4818182252295258E-04,  1.4917712088091784E-02,  3.2756092205898569E-10,  7.6586163370836784E-12,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2005547804864367E-10
  1.0000000000000000E-03,1,3,  1.6827701556254240E-01,  1.4353734493231094E-04,  1.5386018827563713E-04,  1.4222771460746991E-02,  3.3669506483754708E-10,  1.6639586788903412E-11,  2.0000000000000000E-02,  1.2500000000000000E-01,  3.2038826978442175E-10
  1.0000000000000000E-03,1,4,  1.6828635202231756E-01,  1.4353734493231094E-04,  1.5352714922319962E-04,  1.4262110998058353E-02,  3.3616630738340044E-10,  1.5778037598978691E-11,  1.6250000000000001E-01,  1.6250000000000001E-01,  3.2295220089425579E-10
  1.0000000000000000E-03,1,5,  1.6829323216343633E-01,  1.4353734493231094E-04,  1.5328189408154617E-04,  1.4291190543105126E-02,  3.3577636728451676E-10,  1.2824166390260971E-11,  2.1125000000000002E-01,  2.1125000000000002E-01,  3.2566130604419844E-10
  1.0000000000000000E-03,1,6,  1.6834703430655051E-01,  1.4353734493231094E-04,  1.5136889910420345E-04,  1.4521245634905020E-02,  3.3271867396867985E-10,  7.0573679244814138E-12,  2.7462500000000006E-01,  2.7462500000000006E-01,  3.2759943571045912E-10
  1.0000000000000000E-03,1,7,  1.6840209452514870E-01,  1.4353734493231094E-04,  1.4942028753582299E-04,  1.4761640168089368E-02,  3.2957461263622217E-10,  1.9751769257630510E-12,  3.5701250000000012E-01,  3.5701250000000012E-01,  3.2830459856266813E-10
  1.0000000000000000E-03,1,8,  1.6844077877141439E-01,  1.4353734493231094E-04,  1.4805686777261880E-04,  1.4933603951094457E-02,  3.2735708451419087E-10, -9.4751404847726246E-13,  2.4127177947448666E-01,  4.6411625000000017E-01,  3.2807599016211493E-10
  1.0000000000000000E-03,1,9,  1.6845408090705336E-01,  1.4353734493231094E-04,  1.4758912830899586E-04,  1.4993330389664647E-02,  3.2659298079922588E-10, -1.4830093628890489E-12,  2.0000000000000000E-02,  2.3205812500000009E-01,  3.2804632997485713E-10
  1.0000000000000000E-03,1,10,  1.6844868987884395E-01,  1.4353734493231094E-04,  1.4777862378667744E-04,  1.4969087834349387E-02,  3.2690274872550899E-10, -1.1435812493481427E-12,  8.7382824446586307E-02,  3.0167556250000011E-01,  3.2794640061530495E-10
