time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  1.0000000000000000E-03,1,1,  1.6857000000000000E-01,  1.4353734493231094E-04,  1.4353734493231094E-04,  1.5526999999999971E-02,  3.1990230572190201E-10,  0.0000000000000000E+00,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.1990230572190201E-10
  1.0000000000000000E-03,1,2,  1.6827511932334532E-01,  1.4353734493231094E-04,  1.5392786008017520E-04,  1.4214798680442398E-02,  3.3680239951493592E-10,  1.6900093793033908E-11,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2024030759776266E-10
  1.0000000000000000E-03,1,3,  1.6828829942277201E-01,  1.4353734493231094E-04,  1.5345771635910817E-04,  1.4270334119310973E-02,  3.3605596129997975E-10,  1.5815653702217088E-11,  3.1168330894709811E-01,  3.2500000000000001E-01,  3.2516978287683111E-10
  1.0000000000000000E-03,1,4,  1.6839198727980953E-01,  1.4353734493231094E-04,  1.4977728737180829E-04,  1.4717130124582853E-02,  3.3015285056738538E-10,  4.9830676905542715E-12,  4.2250000000000004E-01,  4.2250000000000004E-01,  3.2727512897609030E-10
  1.0000000000000000E-03,1,5,  1.6843239149137335E-01,  1.4353734493231094E-04,  1.4835207604169592E-04,  1.4896102172669526E-02,  3.2783845843845820E-10,  5.6332946236790462E-13,  4.7635085848129649E-01,  5.4925000000000013E-01,  3.2754347144909707E-10
  1.0000000000000000E-03,1,6,  1.6843634298130536E-01,  1.4353734493231094E-04,  1.4821296716618234E-04,  1.4913755254761268E-02,  3.2761170901121537E-10,  6.8237562118304137E-14,  5.4200537894373502E-01,  7.1402500000000024E-01,  3.2758045657481119E-10
  2.0000000000000000E-03,2,1,  1.6843691129379848E-01,  1.4821296716618234E-04,  1.4819354247207824E-04,  1.4916610983229106E-02,  3.2758855707169279E-10,  8.1004968816008042E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2758450682325199E-10
  3.0000000000000001E-03,3,1,  1.6843750137592273E-01,  1.4819354247207824E-04,  1.4817277207468870E-04,  1.4919248748820765E-02,  3.2755464828607940E-10, -2.9858537172596420E-14,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2756957755466570E-10
  4.0000000000000001E-03,4,1,  1.6843739750823342E-01,  1.4817277207468870E-04,  1.4817642505901842E-04,  1.4918782771669900E-02,  3.2756056814049644E-10, -9.0094141692535489E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2756507284758104E-10
  5.0000000000000001E-03,5,1,  1.6843743295792260E-01,  1.4817642505901842E-04,  1.4817517787911317E-04,  1.4918941574784378E-02,  3.2755854076488410E-10, -6.5320826969389851E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2756180680623255E-10
  6.0000000000000001E-03,6,1,  1.6843749458465646E-01,  1.4817517787911317E-04,  1.4817300881643663E-04,  1.4919217136462354E-02,  3.2755500092511948E-10, -6.8058811130655544E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2755840386567604E-10
  7.0000000000000001E-03,7,1,  1.6843754613765485E-01,  1.4817300881643663E-04,  1.4817119418682973E-04,  1.4919447583070108E-02,  3.2755203742881785E-10, -6.3664368581903057E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2755522064724697E-10
  8.0000000000000002E-03,8,1,  1.6843759772965350E-01,  1.4817119418682973E-04,  1.4816937823689829E-04,  1.4919678232555134E-02,  3.2754907239940401E-10, -6.1482478429647200E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2755214652332549E-10
  9.0000000000000011E-03,9,1,  1.6843763221060590E-01,  1.4816937823689829E-04,  1.4816816449656769E-04,  1.4919832346601020E-02,  3.2754708952658275E-10, -5.0569967427354798E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2754961802495412E-10
  1.0000000000000002E-02,10,1,  1.6843767039967841E-01,  1.4816816449656769E-04,  1.4816682033226994E-04,  1.4920003090299838E-02,  3.2754489502144644E-10, -4.7230035076780871E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2754725652320031E-10
  1.1000000000000003E-02,11,1,  1.6843771370238181E-01,  1.4816682033226994E-04,  1.4816529618991162E-04,  1.4920196702288349E-02,  3.2754240672254360E-10, -4.8498006567052821E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2754483162287196E-10
  1.2000000000000004E-02,12,1,  1.6843774354964411E-01,  1.4816529618991162E-04,  1.4816424557356729E-04,  1.4920330114919805E-02,  3.2754069039765799E-10, -4.1412252139638372E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2754276101026497E-10
  1.3000000000000005E-02,13,1,  1.6843777623466824E-01,  1.4816424557356729E-04,  1.4816309514842089E-04,  1.4920476255283935E-02,  3.2753881213846941E-10, -3.9488717955596150E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2754078657436719E-10
  1.4000000000000005E-02,14,1,  1.6843779940393558E-01,  1.4816309514842089E-04,  1.4816227960425351E-04,  1.4920579822876451E-02,  3.2753747988234217E-10, -3.3066920250216863E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2753913322835466E-10
  1.5000000000000006E-02,15,1,  1.6843782473233693E-01,  1.4816227960425351E-04,  1.4816138811649877E-04,  1.4920693072696584E-02,  3.2753602436592032E-10, -3.1088624343370091E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2753757879713749E-10
  1.6000000000000007E-02,16,1,  1.6843785065727768E-01,  1.4816138811649877E-04,  1.4816047562733780E-04,  1.4920808987124334E-02,  3.2753453445106365E-10, -3.0443460738337131E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2753605662410057E-10
  1.7000000000000008E-02,17,1,  1.6843787254011153E-01,  1.4816047562733780E-04,  1.4815970539148662E-04,  1.4920906818799123E-02,  3.2753327651121143E-10, -2.7801128891401909E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2753466656765600E-10
  1.8000000000000009E-02,18,1,  1.6843788653955341E-01,  1.4815970539148662E-04,  1.4815921261438975E-04,  1.4920969394044484E-02,  3.2753247137143014E-10, -2.1951962258598005E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2753356896954305E-10
  1.9000000000000010E-02,19,1,  1.6843791003682934E-01,  1.4815921261438975E-04,  1.4815838561608641E-04,  1.4921074477672464E-02,  3.2753112160691242E-10, -2.4473626306270323E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2753234528822773E-10
  2.0000000000000011E-02,20,1,  1.6843792765997376E-01,  1.4815838561608641E-04,  1.4815776530533410E-04,  1.4921153261073308E-02,  3.2753010834528684E-10, -2.2369429408928106E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2753122681675729E-10
  2.0018000000000011E-02,21,1,  1.6843794260005196E-01,  1.4815776530533410E-04,  1.4815724297012549E-04,  1.4921221973544244E-02,  3.2752930719023598E-10, -1.9196265213069633E-15,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2753103485410516E-10
  2.0019000000000012E-02,22,1,  1.6843794144880378E-01,  1.4815724297012549E-04,  1.4815727583578669E-04,  1.4921212660814989E-02,  3.2752924808184578E-10, -1.7867722593711911E-15,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2753085617687922E-10
  2.0020000000000013E-02,23,1,  1.6843794155259248E-01,  1.4815727583578669E-04,  1.4815727620274495E-04,  1.4921215312236905E-02,  3.2752930790454971E-10, -1.5482723295083225E-15,  1.0000000000000001E-01,  5.0000000000000000E-01,  3.2753070134964626E-10
  2.0020001000000013E-02,24,1,  1.6843794165116421E-01,  1.4815727620274495E-04,  1.4815727617528500E-04,  1.4921217625811958E-02,  3.2752935856744984E-10, -1.3427821964233249E-15,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2753056707142661E-10
  2.0020001000000013E-02,24,2,  1.6843794167115661E-01,  1.4815727620274495E-04,  1.4815727616964366E-04,  1.4921218095013941E-02,  3.2752936884176231E-10, -1.1982296642996365E-15,  3.2500000000000001E-01,  3.2500000000000001E-01,  3.2753017764678570E-10
  2.0020011000000015E-02,25,1,  1.6843794167100901E-01,  1.4815727616964366E-04,  1.4815727586377285E-04,  1.4921217925098276E-02,  3.2752936375964595E-10, -8.1388713975324670E-16,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2753009625807173E-10
