time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  1.0000000000000000E-03,1,1,  1.6857000000000000E-01,  1.4353734493231094E-04,  1.4353734493231094E-04,  1.5526999999999971E-02,  3.1990230572190201E-10,  0.0000000000000000E+00,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.1990230572190201E-10
  1.0000000000000000E-03,1,2,  1.6827701473021878E-01,  1.4353734493231094E-04,  1.5386021797676071E-04,  1.4222767959959040E-02,  3.3669511195454731E-10,  1.6792806232645302E-11,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2023816184655493E-10
  1.0000000000000000E-03,1,3,  1.6829020094469760E-01,  1.4353734493231094E-04,  1.5338993009355388E-04,  1.4278369411224442E-02,  3.3594819568046973E-10,  1.5710033833914796E-11,  3.1018164578879159E-01,  3.2500000000000001E-01,  3.2511112599655621E-10
  1.0000000000000000E-03,1,4,  1.6839270148690771E-01,  1.4353734493231094E-04,  1.4975205031106815E-04,  1.4720269661294583E-02,  3.3011200648224345E-10,  5.0008804856872388E-12,  4.2250000000000004E-01,  4.2250000000000004E-01,  3.2722399800175908E-10
  1.0000000000000000E-03,1,5,  1.6843330618902860E-01,  1.4353734493231094E-04,  1.4831987049110048E-04,  1.4900186149723882E-02,  3.2778597640676670E-10,  5.6197840500762287E-13,  4.7598977557967859E-01,  5.4925000000000013E-01,  3.2749149397663930E-10
  1.0000000000000000E-03,1,6,  1.6843723970765739E-01,  1.4353734493231094E-04,  1.4818140554483905E-04,  1.4917765075191533E-02,  3.2756024204955507E-10,  6.8748072915771211E-14,  5.4233480278011326E-01,  7.1402500000000024E-01,  3.2752877844920561E-10
  1.0000000000000000E-03,1,7,  1.6843780845654954E-01,  1.4353734493231094E-04,  1.4816138889839372E-04,  1.4920309022423375E-02,  3.2752759722924782E-10, -1.1812199577970861E-15,  5.3317388227702678E-01,  9.2823250000000035E-01,  3.2752814865357489E-10
  2.0000000000000000E-03,2,1,  1.6843776872819008E-01,  1.4816138889839372E-04,  1.4816335897285698E-04,  1.4920442483886492E-02,  3.2753923723126267E-10,  1.1088577687782129E-14,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2753369294241875E-10
  3.0000000000000001E-03,3,1,  1.6843798775219590E-01,  1.4816335897285698E-04,  1.4815565111200710E-04,  1.4921422428892397E-02,  3.2752666904192949E-10, -7.0239004892639371E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2753018099217412E-10
  4.0000000000000001E-03,4,1,  1.6843796680541637E-01,  1.4815565111200710E-04,  1.4815638733141795E-04,  1.4921328200361517E-02,  3.2752785581434997E-10, -2.3251778241518207E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752901840326202E-10
  5.0000000000000001E-03,5,1,  1.6843796861192858E-01,  1.4815638733141795E-04,  1.4815632384646330E-04,  1.4921336331688614E-02,  3.2752775360833023E-10, -1.2647949317931807E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752838600579615E-10
  6.0000000000000001E-03,6,1,  1.6843798523689654E-01,  1.4815632384646330E-04,  1.4815573876186274E-04,  1.4921410702683754E-02,  3.2752679918417727E-10, -1.5868216188806479E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752759259498668E-10
  7.0000000000000001E-03,7,1,  1.6843799312543661E-01,  1.4815573876186274E-04,  1.4815546107114060E-04,  1.4921445954507381E-02,  3.2752634518662581E-10, -1.2474083608729730E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752696889080627E-10
  8.0000000000000002E-03,8,1,  1.6843800291626462E-01,  1.4815546107114060E-04,  1.4815511647222414E-04,  1.4921489737489760E-02,  3.2752578261685899E-10, -1.1862739472775554E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752637575383263E-10
  9.0000000000000011E-03,9,1,  1.6843801462139429E-01,  1.4815511647222414E-04,  1.4815470449620189E-04,  1.4921542080284012E-02,  3.2752511002741234E-10, -1.2657264202945670E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752574289062251E-10
  1.0000000000000002E-02,10,1,  1.6843802066090052E-01,  1.4815470449620189E-04,  1.4815449189977119E-04,  1.4921569071975213E-02,  3.2752476251661691E-10, -9.8037400560094542E-16,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752525270361971E-10
  1.1000000000000003E-02,11,1,  1.6843803195667620E-01,  1.4815449189977119E-04,  1.4815409434691497E-04,  1.4921619592641155E-02,  3.2752411369098834E-10, -1.1390126313758790E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752468319730400E-10
  1.2000000000000004E-02,12,1,  1.6843804037886798E-01,  1.4815409434691497E-04,  1.4815379790004060E-04,  1.4921657245180450E-02,  3.2752362943887263E-10, -1.0537584313639589E-15,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752415631808834E-10
  1.3000000000000005E-02,13,1,  1.6843804555577613E-01,  1.4815379790004060E-04,  1.4815361567531860E-04,  1.4921680385799108E-02,  3.2752333167577897E-10, -8.2464230937494005E-16,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752374399693365E-10
  1.4000000000000005E-02,14,1,  1.6843805238433662E-01,  1.4815361567531860E-04,  1.4815337533916940E-04,  1.4921710923375089E-02,  3.2752293933611879E-10, -8.0466081486711302E-16,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752334166652622E-10
  1.5000000000000006E-02,15,1,  1.6843805447785606E-01,  1.4815337533916940E-04,  1.4815330163344480E-04,  1.4921720273273292E-02,  3.2752281867810094E-10, -5.2298842528571727E-16,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752308017231360E-10
  1.6000000000000007E-02,16,1,  1.6843806442207659E-01,  1.4815330163344480E-04,  1.4815295166341197E-04,  1.4921764757274719E-02,  3.2752224771350127E-10, -8.3245881233705914E-16,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752266394290744E-10
  1.7000000000000008E-02,17,1,  1.6843806698821959E-01,  1.4815295166341197E-04,  1.4815286131146421E-04,  1.4921776214291388E-02,  3.2752209970404591E-10, -5.6423886152290237E-16,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752238182347667E-10
  1.8000000000000009E-02,18,1,  1.6843807076867062E-01,  1.4815286131146421E-04,  1.4815272825728347E-04,  1.4921793121447147E-02,  3.2752188251659845E-10, -4.9930687822716724E-16,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752213217003756E-10
  1.9000000000000010E-02,19,1,  1.6843807568704952E-01,  1.4815272825728347E-04,  1.4815255515151829E-04,  1.4921815116704207E-02,  3.2752159992355297E-10, -5.3224648459416002E-16,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752186604679526E-10
  2.0000000000000011E-02,20,1,  1.6843807819995266E-01,  1.4815255515151829E-04,  1.4815246669517223E-04,  1.4921826347484499E-02,  3.2752145532800942E-10, -4.1071878584806720E-16,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2752166068740236E-10
  2.0018000000000011E-02,21,1,  1.6843808081684636E-01,  1.4815246669517223E-04,  1.4815237520698218E-04,  1.4921838385116307E-02,  3.2752131503676692E-10, -3.4565063544031483E-16,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2752162612233884E-10
  2.0019000000000012E-02,22,1,  1.6843807971387811E-01,  1.4815237520698218E-04,  1.4815240919476954E-04,  1.4921830823448154E-02,  3.2752129933869606E-10, -3.2678364278250992E-16,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2752162612233884E-10
  2.0020000000000013E-02,23,1,  1.6843807988188433E-01,  1.4815240919476954E-04,  1.4815240767393937E-04,  1.4921833964678263E-02,  3.2752136156176837E-10, -2.6456057047565907E-16,  1.0000000000000001E-01,  5.0000000000000000E-01,  3.2752162612233884E-10
  2.0020001000000013E-02,24,1,  1.6843808004124777E-01,  1.4815240767393937E-04,  1.4815240762745092E-04,  1.4921837703955110E-02,  3.2752144343011940E-10, -1.8269221944106070E-16,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2752162612233884E-10
  2.0020001000000013E-02,24,2,  1.6843808006139552E-01,  1.4815240767393937E-04,  1.4815240762176384E-04,  1.4921838176801941E-02,  3.2752145378355387E-10, -1.7233878497310475E-16,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2752162612233884E-10
  2.0020011000000015E-02,25,1,  1.6843808006143940E-01,  1.4815240762176384E-04,  1.4815240713891617E-04,  1.4921837915113922E-02,  3.2752144590485928E-10, -1.8021747956127743E-16,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2752162612233884E-10
  2.0020011000000015E-02,25,2,  1.6843808242617805E-01,  1.4815240762176384E-04,  1.4815240091373431E-04,  1.4921890389073114E-02,  3.2752257013871989E-10,  9.4401638104751239E-16,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2752172052397697E-10
  2.0020021000000016E-02,26,1,  1.6843808242669295E-01,  1.4815240091373431E-04,  1.4815239470607048E-04,  1.4921887023553751E-02,  3.2752246882175428E-10,  7.4829777730975432E-16,  1.0000000000000001E-01,  5.0000000000000000E-01,  3.2752179535375470E-10
  2.0020021000000016E-02,26,2,  1.6843808697133475E-01,  1.4815240091373431E-04,  1.4815238274228863E-04,  1.4921987869941256E-02,  3.2752462941509249E-10,  2.8340613377892488E-15,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2752185203498145E-10
  2.0020031000000018E-02,27,1,  1.6843808697128415E-01,  1.4815238274228863E-04,  1.4815236593009430E-04,  1.4921978720980333E-02,  3.2752435426904384E-10,  2.5022340623962254E-15,  2.0000000000000000E-02,  5.0000000000000000E-01,  3.2752190207966271E-10
  2.0020031000000018E-02,27,2,  1.6843809364268519E-01,  1.4815238274228863E-04,  1.4815234836761790E-04,  1.4922126760525886E-02,  3.2752752595488855E-10,  5.6238752258428705E-15,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2752201455716721E-10
  2.0020041000000020E-02,28,1,  1.6843809364196449E-01,  1.4815234836761790E-04,  1.4815231656587210E-04,  1.4922109439696907E-02,  3.2752700516684243E-10,  4.9906096752265870E-15,  2.0000000000000000E-02,  5.0000000000000000E-01,  3.2752211436936069E-10
  2.0020041000000020E-02,28,2,  1.6843810236608137E-01,  1.4815234836761790E-04,  1.4815229359962763E-04,  1.4922303029368200E-02,  3.2753115274128680E-10,  9.0383719261063717E-15,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2752229513679919E-10
  2.0020051000000021E-02,29,1,  1.6843810236630188E-01,  1.4815229359962763E-04,  1.4815224292739245E-04,  1.4922275463058562E-02,  3.2753032363633295E-10,  8.0284995337587789E-15,  2.0000000000000000E-02,  5.0000000000000000E-01,  3.2752245570678985E-10
