time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  1.0000000000000000E-03,1,1,  1.6857000000000000E-01,  1.4353734493231094E-04,  1.4353734493231094E-04,  1.5526999999999971E-02,  3.1990230572190201E-10,  0.0000000000000000E+00,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.1990230572190201E-10
  1.0000000000000000E-03,1,2,  1.6777967227440696E-01,  1.4353734493231094E-04,  1.7194640311642755E-04,  1.2315230548884656E-02,  3.6410675599085786E-10,  4.4204450268955847E-11,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2078639472728114E-10
  1.0000000000000000E-03,1,3,  1.6842737137419431E-01,  1.4353734493231094E-04,  1.4852887615539860E-04,  1.4873713747409950E-02,  3.2812642660235352E-10,  7.3400318750723755E-12,  2.3982176958088255E-02,  3.2500000000000001E-01,  3.2096242467058715E-10
  1.0000000000000000E-03,1,4,  1.6839415648471728E-01,  1.4353734493231094E-04,  1.4970064173497921E-04,  1.4726668256945616E-02,  3.3002879055943257E-10,  9.0663658888454177E-12,  2.0000000000000000E-02,  4.2250000000000004E-01,  3.2114375198836409E-10
  1.0000000000000000E-03,1,5,  1.6839829965526881E-01,  1.4353734493231094E-04,  1.4955428957072556E-04,  1.4744908143957153E-02,  3.2979177462831730E-10,  8.6480226399532174E-12,  4.3344148198178106E-01,  5.4925000000000013E-01,  3.2489216373763742E-10
  1.0000000000000000E-03,1,6,  1.6847721405243085E-01,  1.4353734493231094E-04,  1.4677704954109316E-04,  1.5097930264653711E-02,  3.2526229495889141E-10,  3.7013122125398502E-13,  4.5282204847552027E-01,  7.1402500000000024E-01,  3.2505976731545038E-10
  1.0000000000000000E-03,1,7,  1.6847770019629682E-01,  1.4353734493231094E-04,  1.4676000211207103E-04,  1.5100138465433677E-02,  3.2523430545851668E-10,  1.7453814306629617E-13,  8.5689933082470882E-01,  9.2823250000000035E-01,  3.2520932893344730E-10
  1.0000000000000000E-03,1,8,  1.6848072217587928E-01,  1.4353734493231094E-04,  1.4665404854751862E-04,  1.5113874435536093E-02,  3.2506029349918121E-10, -1.4903543426608583E-13,  4.6221826649109687E-01,  1.0000000000000000E+00,  3.2514044203337509E-10
  1.0000000000000000E-03,1,9,  1.6847915067078389E-01,  1.4353734493231094E-04,  1.4670914338061705E-04,  1.5106729387307505E-02,  3.2515078900455018E-10,  1.0346971175090313E-14,  4.3221144693817759E-01,  1.0000000000000000E+00,  3.2514491411275811E-10
  2.0000000000000000E-03,2,1,  1.6847930402030625E-01,  1.4670914338061705E-04,  1.4670416149932045E-04,  1.5107641179218062E-02,  3.2514833042571364E-10,  3.4163129555203373E-15,  4.3221144693817759E-01,  5.0000000000000000E-01,  3.2514639068232382E-10
