time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6843470219946122E-01,  1.4833827892724014E-04,  1.4897851563854203E-02,  3.2738252752090373E-10
  2.0000000000000000E-03,  1.6843927332025269E-01,  1.4805258902823577E-04,  1.4934547455660835E-02,  3.2762058329444082E-10
  3.0000000000000001E-03,  1.6843704464737463E-01,  1.4822219610535013E-04,  1.4912957756009801E-02,  3.2748183909007674E-10
  4.0000000000000001E-03,  1.6843707957552165E-01,  1.4818885012552547E-04,  1.4917207959934314E-02,  3.2748382074186634E-10
  5.0000000000000001E-03,  1.6843682637035154E-01,  1.4818761668642245E-04,  1.4917361919464592E-02,  3.2748572131493700E-10
  6.0000000000000001E-03,  1.6843682639183552E-01,  1.4819652831648330E-04,  1.4916229516739613E-02,  3.2748787448956852E-10
  7.0000000000000001E-03,  1.6843685531002245E-01,  1.4819652866235891E-04,  1.4916230212442275E-02,  3.2748998493687357E-10
  8.0000000000000002E-03,  1.6843688613479571E-01,  1.4819551085067228E-04,  1.4916359527441331E-02,  3.2749201997935277E-10
  9.0000000000000011E-03,  1.6843692031484217E-01,  1.4819442581130219E-04,  1.4916497301299417E-02,  3.2749397889517779E-10
  1.0000000000000002E-02,  1.6843696266133804E-01,  1.4819322267441680E-04,  1.4916650076670299E-02,  3.2749585935245036E-10
  1.1000000000000003E-02,  1.6843700441919052E-01,  1.4819173210127236E-04,  1.4916839366101914E-02,  3.2749765354090076E-10
  1.2000000000000004E-02,  1.6843703728480627E-01,  1.4819026221598984E-04,  1.4917026006845871E-02,  3.2749936384983268E-10
  1.3000000000000005E-02,  1.6843707819030679E-01,  1.4818910530651447E-04,  1.4917172885025851E-02,  3.2750100216529437E-10
  1.4000000000000005E-02,  1.6843712162323660E-01,  1.4818766547130464E-04,  1.4917355741729685E-02,  3.2750256071037995E-10
  1.5000000000000006E-02,  1.6843715481214727E-01,  1.4818613665260313E-04,  1.4917549885530984E-02,  3.2750403816752938E-10
  1.6000000000000007E-02,  1.6843719268915811E-01,  1.4818496836957814E-04,  1.4917698212245603E-02,  3.2750544791438412E-10
  1.7000000000000008E-02,  1.6843722964119182E-01,  1.4818363513626547E-04,  1.4917867531961573E-02,  3.2750678593791511E-10
  1.8000000000000009E-02,  1.6843727260168623E-01,  1.4818233444167936E-04,  1.4918032706159198E-02,  3.2750805472761760E-10
  1.9000000000000010E-02,  1.6843731524682837E-01,  1.4818082228830603E-04,  1.4918224757682064E-02,  3.2750924877187084E-10
  2.0000000000000011E-02,  1.6843735332633469E-01,  1.4817932121336506E-04,  1.4918415387718167E-02,  3.2751036991887037E-10
  2.0018000000000011E-02,  1.6843739267223412E-01,  1.4817798981430180E-04,  1.4918590488937913E-02,  3.2751565936826834E-10
  2.0019000000000012E-02,  1.6843740610679747E-01,  1.4817674918334383E-04,  1.4918844893880512E-02,  3.2752042994595954E-10
  2.0020000000000013E-02,  1.6843740786633182E-01,  1.4817619179390335E-04,  1.4918858968710841E-02,  3.2752450793339042E-10
  2.0020001000000013E-02,  1.6843741029579404E-01,  1.4817619006507988E-04,  1.4918956428174687E-02,  3.2753966682812452E-10
  2.0020011000000015E-02,  1.6843741272185156E-01,  1.4817617399882072E-04,  1.4918948325126788E-02,  3.2754886151342822E-10
  2.0020021000000016E-02,  1.6843741735793066E-01,  1.4817615271922285E-04,  1.4918994303282460E-02,  3.2756042925906197E-10
  2.0020031000000018E-02,  1.6843742413425586E-01,  1.4817612082507415E-04,  1.4919086464645070E-02,  3.2756493402065115E-10
  2.0020041000000020E-02,  1.6843743295723385E-01,  1.4817607350301032E-04,  1.4919220540904762E-02,  3.2756797925475911E-10
  2.0020051000000021E-02,  1.6843744375711500E-01,  1.4817600649168897E-04,  1.4919392491062361E-02,  3.2757138244431027E-10
  2.0020061000000023E-02,  1.6843745645383024E-01,  1.4817591605730817E-04,  1.4919598410378376E-02,  3.2757537808948391E-10
  2.0020071000000025E-02,  1.6843747096795336E-01,  1.4817579895769296E-04,  1.4919834629829279E-02,  3.2757992898319073E-10
  2.0020081000000026E-02,  1.6843748722015581E-01,  1.4817565240305279E-04,  1.4920097748730765E-02,  3.2758495685430786E-10
  2.0020091000000028E-02,  1.6843750513313777E-01,  1.4817547401940376E-04,  1.4920384617249219E-02,  3.2759038222628992E-10
  2.0020101000000030E-02,  1.6843752463203440E-01,  1.4817526181584099E-04,  1.4920692308600839E-02,  3.2759613096557228E-10
