time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6844613525148711E-01,  1.4787634085491167E-04,  1.4956610964468112E-02,  3.2704673239309445E-10
  2.0000000000000000E-03,  1.6843822634359537E-01,  1.4814780769649376E-04,  1.4922395716246845E-02,  3.2751277231473257E-10
  3.0000000000000001E-03,  1.6843814032203369E-01,  1.4815214257564424E-04,  1.4921867157656671E-02,  3.2751929614279462E-10
  4.0000000000000001E-03,  1.6843812531822894E-01,  1.4815099021018744E-04,  1.4922014015687241E-02,  3.2751905514324235E-10
  5.0000000000000001E-03,  1.6843811063963660E-01,  1.4815094541088865E-04,  1.4922019615313808E-02,  3.2751905514324235E-10
  6.0000000000000001E-03,  1.6843812367751942E-01,  1.4815088617816484E-04,  1.4922027141809582E-02,  3.2751914671414642E-10
  7.0000000000000001E-03,  1.6843812404457387E-01,  1.4815086603031725E-04,  1.4922029698275177E-02,  3.2751914671414642E-10
  8.0000000000000002E-03,  1.6843813202125721E-01,  1.4815085311037593E-04,  1.4922031339106884E-02,  3.2751914671414642E-10
  9.0000000000000011E-03,  1.6843812362982108E-01,  1.4815057239193514E-04,  1.4922067025673086E-02,  3.2751901243344212E-10
  1.0000000000000002E-02,  1.6843812424983182E-01,  1.4815092370790972E-04,  1.4922022339709087E-02,  3.2751909693816438E-10
  1.1000000000000003E-02,  1.6843811568016870E-01,  1.4815084589403344E-04,  1.4922032261304910E-02,  3.2751909693816438E-10
  1.2000000000000004E-02,  1.6843812440861888E-01,  1.4815084519040033E-04,  1.4922032344297009E-02,  3.2751909693816438E-10
  1.3000000000000005E-02,  1.6843812203405745E-01,  1.4815099212956670E-04,  1.4922013663964812E-02,  3.2751901264413608E-10
  1.4000000000000005E-02,  1.6843811601059808E-01,  1.4815070502058222E-04,  1.4922050176163798E-02,  3.2751900397166347E-10
  1.5000000000000006E-02,  1.6843811181194929E-01,  1.4815113582375360E-04,  1.4921995384621495E-02,  3.2751900397166347E-10
  1.6000000000000007E-02,  1.6843813180249656E-01,  1.4815128363681202E-04,  1.4921976629090936E-02,  3.2751901435349577E-10
  1.7000000000000008E-02,  1.6843811742043599E-01,  1.4815058014384583E-04,  1.4922066075917409E-02,  3.2751900158372425E-10
  1.8000000000000009E-02,  1.6843812712410872E-01,  1.4815141364507347E-04,  1.4921960055192904E-02,  3.2751901623418571E-10
  1.9000000000000010E-02,  1.6843812769661773E-01,  1.4815123287138202E-04,  1.4921983105900719E-02,  3.2751901744230564E-10
  2.0000000000000011E-02,  1.6843811534247052E-01,  1.4815072463235428E-04,  1.4922047702913263E-02,  3.2751900932241961E-10
  2.0018000000000011E-02,  1.6843811483161644E-01,  1.4815124239809675E-04,  1.4921979492419246E-02,  3.2751918401605053E-10
  2.0019000000000012E-02,  1.6843811630849839E-01,  1.4815113584442405E-04,  1.4922004264202371E-02,  3.2751918401605053E-10
  2.0020000000000013E-02,  1.6843811744360929E-01,  1.4815108372406055E-04,  1.4922006366650725E-02,  3.2751918401605053E-10
  2.0020001000000013E-02,  1.6843811744543821E-01,  1.4815108373730492E-04,  1.4922000938185020E-02,  3.2751918401605053E-10
  2.0020011000000015E-02,  1.6843811744141615E-01,  1.4815108386218967E-04,  1.4922000985058581E-02,  3.2751918401605053E-10
  2.0020021000000016E-02,  1.6843811744212459E-01,  1.4815108398611050E-04,  1.4922000977319189E-02,  3.2751918401605053E-10
  2.0020031000000018E-02,  1.6843811744282597E-01,  1.4815108410708416E-04,  1.4922000986417230E-02,  3.2751918401605053E-10
  2.0020041000000020E-02,  1.6843811743904596E-01,  1.4815108421532946E-04,  1.4922001078340588E-02,  3.2751918401605053E-10
  2.0020051000000021E-02,  1.6843811743697840E-01,  1.4815108433168564E-04,  1.4922000996219639E-02,  3.2751918401605053E-10
  2.0020061000000023E-02,  1.6843811743700068E-01,  1.4815108444217662E-04,  1.4922001030875667E-02,  3.2751918401605053E-10
  2.0020071000000025E-02,  1.6843811743493750E-01,  1.4815108454132371E-04,  1.4922001112461655E-02,  3.2751918401605053E-10
  2.0020081000000026E-02,  1.6843811743061798E-01,  1.4815108463613858E-04,  1.4922001136381771E-02,  3.2751918401605053E-10
  2.0020091000000028E-02,  1.6843811742957041E-01,  1.4815108473405995E-04,  1.4922001098150825E-02,  3.2751918401605053E-10
  2.0020101000000030E-02,  1.6843811743103385E-01,  1.4815108481687101E-04,  1.4922001213079711E-02,  3.2751918401605053E-10
  2.0020201000000029E-02,  1.6843811744000317E-01,  1.4815108493724917E-04,  1.4922001785370495E-02,  3.2751918401605053E-10
  2.0020301000000029E-02,  1.6843811744332726E-01,  1.4815108483284673E-04,  1.4922001985254868E-02,  3.2751918401605053E-10
  2.0020401000000028E-02,  1.6843811747803372E-01,  1.4815108462997868E-04,  1.4922002092777845E-02,  3.2751918401605053E-10
  2.0020501000000027E-02,  1.6843811753764842E-01,  1.4815108428354489E-04,  1.4922002255983960E-02,  3.2751918401605053E-10
  2.0020601000000027E-02,  1.6843811757216892E-01,  1.4815108332090910E-04,  1.4922002889874553E-02,  3.2751918401605053E-10
  2.0020701000000026E-02,  1.6843811761126984E-01,  1.4815108181495483E-04,  1.4922003532281292E-02,  3.2751918401605053E-10
  2.0020801000000026E-02,  1.6843811763871205E-01,  1.4815108024859898E-04,  1.4922003781427953E-02,  3.2751918401605053E-10
  2.0020901000000025E-02,  1.6843811767669040E-01,  1.4815107949957574E-04,  1.4922003198011430E-02,  3.2751918401605053E-10
  2.0021001000000024E-02,  1.6843811770341197E-01,  1.4815107785758104E-04,  1.4922004147995202E-02,  3.2751918401605053E-10
  2.0022001000000025E-02,  1.6843811885341281E-01,  1.4815103631064556E-04,  1.4922011512496836E-02,  3.2751918401605053E-10
  2.0023001000000026E-02,  1.6843812005262493E-01,  1.4815100818883501E-04,  1.4922013970664408E-02,  3.2751918401605053E-10
  2.0024001000000027E-02,  1.6843812109838255E-01,  1.4815095840819498E-04,  1.4922022093294976E-02,  3.2751918401605053E-10
  2.0025001000000028E-02,  1.6843812237189631E-01,  1.4815092406847869E-04,  1.4922025174069126E-02,  3.2751918401605053E-10
  2.0026001000000029E-02,  1.6843812349499659E-01,  1.4815088062006588E-04,  1.4922031450265952E-02,  3.2751918401605053E-10
  2.0027001000000030E-02,  1.6843812453971957E-01,  1.4815087335116908E-04,  1.4922029370003892E-02,  3.2751918401605053E-10
  2.0028001000000031E-02,  1.6843812571371350E-01,  1.4815083982819526E-04,  1.4922035808681830E-02,  3.2751918401605053E-10
  2.0029001000000032E-02,  1.6843812618148502E-01,  1.4815077761428118E-04,  1.4922046094764066E-02,  3.2751892877444069E-10
  2.0030001000000033E-02,  1.6843812703718503E-01,  1.4815074749290749E-04,  1.4922047257145243E-02,  3.2751892877444069E-10
  2.0040001000000033E-02,  1.6843813147371350E-01,  1.4815059443619831E-04,  1.4922065472444873E-02,  3.2751873159557324E-10
  2.0050001000000033E-02,  1.6843813121933307E-01,  1.4815053935109086E-04,  1.4922071657440444E-02,  3.2751853336348510E-10
  2.0060001000000032E-02,  1.6843813289210358E-01,  1.4815053987605605E-04,  1.4922071129050044E-02,  3.2751853336348510E-10
  2.0070001000000032E-02,  1.6843813254325568E-01,  1.4815050471616222E-04,  1.4922075892276468E-02,  3.2751845986337524E-10
  2.0080001000000031E-02,  1.6843813313998093E-01,  1.4815057771179753E-04,  1.4922065720458635E-02,  3.2751845986337524E-10
  2.0090001000000031E-02,  1.6843813434521068E-01,  1.4815053352858635E-04,  1.4922072306660275E-02,  3.2751845986337524E-10
  2.0100001000000031E-02,  1.6843813315378883E-01,  1.4815049276219332E-04,  1.4922077457539609E-02,  3.2751845986337524E-10
  2.0110001000000030E-02,  1.6843813314371239E-01,  1.4815057139137193E-04,  1.4922066476677182E-02,  3.2751845986337524E-10
  2.0120001000000030E-02,  1.6843813308942740E-01,  1.4815055053271032E-04,  1.4922069952689632E-02,  3.2751845986337524E-10
  2.0220001000000029E-02,  1.6843811882578263E-01,  1.4815121265907005E-04,  1.4921985109061744E-02,  3.2751909066112028E-10
  2.0320001000000028E-02,  1.6843811064017222E-01,  1.4815127841693064E-04,  1.4921977249931814E-02,  3.2751922755656876E-10
  2.0420001000000028E-02,  1.6843811201704373E-01,  1.4815108985727834E-04,  1.4922001416791092E-02,  3.2751934618254619E-10
  2.0520001000000027E-02,  1.6843812329083369E-01,  1.4815113892081662E-04,  1.4921994986184850E-02,  3.2751931157118796E-10
  2.0620001000000027E-02,  1.6843812051006016E-01,  1.4815100385859957E-04,  1.4922012298169057E-02,  3.2751929234088594E-10
