time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6118431593879953E-01,  4.4187454664532902E-04,  2.4023101773141542E-03,  3.7132623256184676E-10
  2.0000000000000000E-03,  1.6440725027503553E-01,  3.0535302903329976E-04,  5.2375521097658972E-03,  4.8835080171040852E-10
  3.0000000000000001E-03,  1.6501122750834005E-01,  2.8060213958940928E-04,  6.0386428058634145E-03,  4.7547413150021581E-10
  4.0000000000000001E-03,  1.6534487371175385E-01,  2.6703985379638836E-04,  6.5428862451427927E-03,  4.6658026570517612E-10
  5.0000000000000001E-03,  1.6562379204732791E-01,  2.5577300305990323E-04,  7.0027870373439993E-03,  4.5812693851721559E-10
  6.0000000000000001E-03,  1.6587114870439335E-01,  2.4584093563693641E-04,  7.4431970033973505E-03,  4.4985632685903415E-10
  7.0000000000000001E-03,  1.6609289874618327E-01,  2.3700329393015529E-04,  7.8661179165501055E-03,  4.4184232736635985E-10
  8.0000000000000002E-03,  1.6629260455736936E-01,  2.2908354876266331E-04,  8.2728401184958972E-03,  4.3414809924257166E-10
  9.0000000000000011E-03,  1.6647331495691148E-01,  2.2194623408385998E-04,  8.6642491771989627E-03,  4.2682670388839459E-10
  1.0000000000000002E-02,  1.6663669308098186E-01,  2.1553430073447357E-04,  9.0379818306301624E-03,  4.1986341003630798E-10
  1.1000000000000003E-02,  1.6678542468313187E-01,  2.0973687421936205E-04,  9.3955700742902742E-03,  4.1331086142093954E-10
  1.2000000000000004E-02,  1.6692086358225833E-01,  2.0448579404350219E-04,  9.7369599723534928E-03,  4.0714934199718291E-10
  1.3000000000000005E-02,  1.6704441119318320E-01,  1.9972135814203543E-04,  1.0062245342726206E-02,  4.0137266423633121E-10
  1.4000000000000005E-02,  1.6715726043631149E-01,  1.9539203178689450E-04,  1.0371581216554002E-02,  3.9596980400523879E-10
  1.5000000000000006E-02,  1.6726046811134887E-01,  1.9145168570906831E-04,  1.0665285523232537E-02,  3.9092542737416036E-10
  1.6000000000000007E-02,  1.6735496207252440E-01,  1.8786177560798189E-04,  1.0943595227765751E-02,  3.8622417192213681E-10
  1.7000000000000008E-02,  1.6744155495831753E-01,  1.8458726880160969E-04,  1.1206893853176733E-02,  3.8184822695337180E-10
  1.8000000000000009E-02,  1.6752096002826150E-01,  1.8159724967432852E-04,  1.1455611289466941E-02,  3.7777957968481643E-10
  1.9000000000000010E-02,  1.6759384244619083E-01,  1.7886500112571105E-04,  1.1690157879446134E-02,  3.7400059911665991E-10
  2.0000000000000011E-02,  1.6766075641021502E-01,  1.7636627275313262E-04,  1.1911020388587601E-02,  3.7049363191128453E-10
  2.0018000000000011E-02,  1.6766211911642784E-01,  1.7631508489016060E-04,  1.1915634720705906E-02,  3.7049155730909467E-10
  2.0019000000000012E-02,  1.6766219428895199E-01,  1.7631515175847438E-04,  1.1915425672205243E-02,  3.7048392437601316E-10
  2.0020000000000013E-02,  1.6766226881480636E-01,  1.7631263448057209E-04,  1.1915831750988121E-02,  3.7047725939141757E-10
  2.0020001000000013E-02,  1.6766226890832728E-01,  1.7631260694608066E-04,  1.1917579483124080E-02,  3.7047498992216526E-10
  2.0020011000000015E-02,  1.6766227200618247E-01,  1.7631234491128964E-04,  1.1917510136322543E-02,  3.7047235213021609E-10
  2.0020021000000016E-02,  1.6766227727684471E-01,  1.7631208833866532E-04,  1.1917495048728730E-02,  3.7046832724540048E-10
