time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6843470337957658E-01,  1.4833816871787873E-04,  1.4897865539048927E-02,  3.2738246178214301E-10
  2.0000000000000000E-03,  1.6843928060603919E-01,  1.4805182974766273E-04,  1.4934644102150008E-02,  3.2762110516545154E-10
  3.0000000000000001E-03,  1.6843704215601349E-01,  1.4822270597850893E-04,  1.4912892935760258E-02,  3.2748155685667212E-10
  4.0000000000000001E-03,  1.6843838717890761E-01,  1.4812264322058171E-04,  1.4925624294452627E-02,  3.2755931177337373E-10
  5.0000000000000001E-03,  1.6843763492651018E-01,  1.4817810767869048E-04,  1.4918564776341653E-02,  3.2751305947823900E-10
  6.0000000000000001E-03,  1.6843827337109143E-01,  1.4815836308117579E-04,  1.4921078910886287E-02,  3.2753927518078349E-10
  7.0000000000000001E-03,  1.6843785031913985E-01,  1.4815852315271382E-04,  1.4921056923987333E-02,  3.2752416889731607E-10
  8.0000000000000002E-03,  1.6843798765145915E-01,  1.4815740026803814E-04,  1.4921199675255375E-02,  3.2752918852686496E-10
  9.0000000000000011E-03,  1.6843797955682607E-01,  1.4815505111328648E-04,  1.4921498207053255E-02,  3.2752584956166130E-10
  1.0000000000000002E-02,  1.6843799206264751E-01,  1.4815537137232869E-04,  1.4921457300073479E-02,  3.2752651979289120E-10
  1.1000000000000003E-02,  1.6843801651353674E-01,  1.4815443504509747E-04,  1.4921576354889540E-02,  3.2752648281698833E-10
  1.2000000000000004E-02,  1.6843801515725920E-01,  1.4815394388605291E-04,  1.4921638715105198E-02,  3.2752548150376801E-10
  1.3000000000000005E-02,  1.6843803283233155E-01,  1.4815394418423640E-04,  1.4921638636421999E-02,  3.2752542427090677E-10
  1.4000000000000005E-02,  1.6843805300078046E-01,  1.4815317334565276E-04,  1.4921736629127269E-02,  3.2752530988199307E-10
  1.5000000000000006E-02,  1.6843804676389615E-01,  1.4815291293581421E-04,  1.4921769669902690E-02,  3.2752248007566506E-10
  1.6000000000000007E-02,  1.6843802642331937E-01,  1.4815430420929288E-04,  1.4921592783076421E-02,  3.2752300861367868E-10
  1.7000000000000008E-02,  1.6843805027497255E-01,  1.4815367329989339E-04,  1.4921673102331320E-02,  3.2752332629432910E-10
  1.8000000000000009E-02,  1.6843807145873055E-01,  1.4815300471941579E-04,  1.4921758043345987E-02,  3.2752310486933881E-10
  1.9000000000000010E-02,  1.6843806378278375E-01,  1.4815297715334023E-04,  1.4921761492196872E-02,  3.2752261605679632E-10
  2.0000000000000011E-02,  1.6843807410257836E-01,  1.4815276427528507E-04,  1.4921788552234111E-02,  3.2752247639506718E-10
  2.0018000000000011E-02,  1.6843806741067952E-01,  1.4815281669487376E-04,  1.4921781633237305E-02,  3.2752229094124472E-10
  2.0019000000000012E-02,  1.6843806852945131E-01,  1.4815280888242290E-04,  1.4921783516140805E-02,  3.2752229094124472E-10
  2.0020000000000013E-02,  1.6843806870056802E-01,  1.4815280072926789E-04,  1.4921784580228553E-02,  3.2752229094124472E-10
  2.0020001000000013E-02,  1.6843806872135719E-01,  1.4815280072578188E-04,  1.4921784193190596E-02,  3.2752229094124472E-10
  2.0020011000000015E-02,  1.6843807108586467E-01,  1.4815279446900187E-04,  1.4921836643945016E-02,  3.2752237490231442E-10
  2.0020021000000016E-02,  1.6843807563206056E-01,  1.4815277671526220E-04,  1.4921934349964985E-02,  3.2752287520038405E-10
  2.0020031000000018E-02,  1.6843808230579427E-01,  1.4815274272362140E-04,  1.4922073479396877E-02,  3.2752430159620831E-10
  2.0020041000000020E-02,  1.6843809103665561E-01,  1.4815268829571976E-04,  1.4922250061050579E-02,  3.2752656551702894E-10
  2.0020051000000021E-02,  1.6843810174397031E-01,  1.4815260975471615E-04,  1.4922460232400098E-02,  3.2752955349895798E-10
  2.0020061000000023E-02,  1.6843811434915870E-01,  1.4815250390906411E-04,  1.4922700370043521E-02,  3.2753316610100308E-10
  2.0020071000000025E-02,  1.6843812877134498E-01,  1.4815236801642777E-04,  1.4922967093131123E-02,  3.2753731222384354E-10
  2.0020081000000026E-02,  1.6843814492977729E-01,  1.4815219975171902E-04,  1.4923257233204396E-02,  3.2754190806275559E-10
  2.0020091000000028E-02,  1.6843816274896198E-01,  1.4815199716751863E-04,  1.4923567902449628E-02,  3.2754687715865965E-10
  2.0020101000000030E-02,  1.6843818215372225E-01,  1.4815175865404430E-04,  1.4923896502542985E-02,  3.2755215028530249E-10
  2.0020201000000029E-02,  1.6843847833123038E-01,  1.4814577872070914E-04,  1.4927640962072997E-02,  3.2755082741685257E-10
  2.0020301000000029E-02,  1.6843883786246311E-01,  1.4813681885843293E-04,  1.4931254002597816E-02,  3.2756244781890335E-10
  2.0020401000000028E-02,  1.6843923369082472E-01,  1.4812563732695871E-04,  1.4934520335012774E-02,  3.2757492426313754E-10
  2.0020501000000027E-02,  1.6843964751394622E-01,  1.4811294261891624E-04,  1.4937391248567966E-02,  3.2758061395216903E-10
  2.0020601000000027E-02,  1.6844006721184535E-01,  1.4809931862667223E-04,  1.4939895935507042E-02,  3.2758017962315931E-10
  2.0020701000000026E-02,  1.6844048507829837E-01,  1.4808520973502725E-04,  1.4942093674749635E-02,  3.2757726008189829E-10
  2.0020801000000026E-02,  1.6844089647087693E-01,  1.4807093488043639E-04,  1.4944048019064210E-02,  3.2756809326495949E-10
  2.0020901000000025E-02,  1.6844129865353666E-01,  1.4805671395125953E-04,  1.4945813201063682E-02,  3.2755176820114273E-10
  2.0021001000000024E-02,  1.6844169027822042E-01,  1.4804269001597088E-04,  1.4947434775330656E-02,  3.2753034841654936E-10
  2.0022001000000025E-02,  1.6844496423026570E-01,  1.4792443553044934E-04,  1.4960673830981902E-02,  3.2741808671852189E-10
  2.0023001000000026E-02,  1.6844789187418030E-01,  1.4781954992951749E-04,  1.4972944033598223E-02,  3.2717384333976035E-10
  2.0024001000000027E-02,  1.6845066120434807E-01,  1.4772155074448375E-04,  1.4984891039367121E-02,  3.2699879311519165E-10
  2.0025001000000028E-02,  1.6845335387784593E-01,  1.4762656001412092E-04,  1.4996791916824612E-02,  3.2683746278224545E-10
  2.0026001000000029E-02,  1.6845600040241868E-01,  1.4753334587425592E-04,  1.5008583123289149E-02,  3.2668139305035227E-10
  2.0027001000000030E-02,  1.6845861455109989E-01,  1.4744135747384721E-04,  1.5020277899773449E-02,  3.2652831678599978E-10
  2.0028001000000031E-02,  1.6846120210634158E-01,  1.4735035118855524E-04,  1.5031881429582658E-02,  3.2637725059154572E-10
  2.0029001000000032E-02,  1.6846376535141824E-01,  1.4726022819676338E-04,  1.5043393928954624E-02,  3.2622775930599978E-10
  2.0030001000000033E-02,  1.6846630544045493E-01,  1.4717094991949556E-04,  1.5054814957274801E-02,  3.2607966640398382E-10
  2.0040001000000033E-02,  1.6849136217030586E-01,  1.4628690258816046E-04,  1.5169290065365798E-02,  3.2598122270562538E-10
  2.0050001000000033E-02,  1.6851421930459434E-01,  1.4543683664391041E-04,  1.5280461054315894E-02,  3.2494387346869080E-10
  2.0060001000000032E-02,  1.6853220704355057E-01,  1.4478131260908423E-04,  1.5365651376528705E-02,  3.2209977268764781E-10
  2.0070001000000032E-02,  1.6854929505500865E-01,  1.4426254539632739E-04,  1.5433764533331853E-02,  3.2207212435832147E-10
  2.0080001000000031E-02,  1.6856501694807233E-01,  1.4368268060881885E-04,  1.5512313452602997E-02,  3.2141308650012898E-10
  2.0090001000000031E-02,  1.6857715808136470E-01,  1.4327613975255712E-04,  1.5565907233890466E-02,  3.1953219568099938E-10
  2.0100001000000031E-02,  1.6858897062296666E-01,  1.4288114938808814E-04,  1.5619620678393072E-02,  3.1947891185839512E-10
  2.0110001000000030E-02,  1.6859955356556891E-01,  1.4249172385976354E-04,  1.5672919169289264E-02,  3.1901821867241744E-10
  2.0120001000000030E-02,  1.6860776145764531E-01,  1.4219385459671600E-04,  1.5713128760755597E-02,  3.1771013684248269E-10
  2.0220001000000029E-02,  1.6864126045474151E-01,  1.4105100350418032E-04,  1.5870441197901403E-02,  3.1573156668333400E-10
  2.0320001000000028E-02,  1.6866190437813375E-01,  1.4034626479971692E-04,  1.5969333087276251E-02,  3.1572344762807519E-10
  2.0420001000000028E-02,  1.6865899428418496E-01,  1.4051613610612266E-04,  1.5944547274793830E-02,  3.1427860745863283E-10
  2.0520001000000027E-02,  1.6866079556491287E-01,  1.4037094242345629E-04,  1.5965349699020054E-02,  3.1476022566188012E-10
  2.0620001000000027E-02,  1.6865921896997985E-01,  1.4042016950040716E-04,  1.5958215205056060E-02,  3.1466344784440195E-10
