time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6843470281848424E-01,  1.4833809785252762E-04,  1.4897874525202887E-02,  3.2738249028559397E-10
  2.0000000000000000E-03,  1.6843927163210143E-01,  1.4805265492004663E-04,  1.4934539052703616E-02,  3.2762064199879154E-10
  3.0000000000000001E-03,  1.6843705020638200E-01,  1.4822274159458768E-04,  1.4912888480776321E-02,  3.2748196352382176E-10
  4.0000000000000001E-03,  1.6843708139179914E-01,  1.4818865454040956E-04,  1.4917232857123819E-02,  3.2748393632759660E-10
  5.0000000000000001E-03,  1.6843682878244515E-01,  1.4818755273745613E-04,  1.4917370028996707E-02,  3.2748583249604522E-10
  6.0000000000000001E-03,  1.6843682916017871E-01,  1.4819644341182444E-04,  1.4916240298667074E-02,  3.2748798067556716E-10
  7.0000000000000001E-03,  1.6843685904604327E-01,  1.4819643121644644E-04,  1.4916242586012707E-02,  3.2749008581786893E-10
  8.0000000000000002E-03,  1.6843688594952072E-01,  1.4819537934489282E-04,  1.4916376227550154E-02,  3.2749211455010751E-10
  9.0000000000000011E-03,  1.6843692482289338E-01,  1.4819443231599806E-04,  1.4916496463932449E-02,  3.2749407178187536E-10
  1.0000000000000002E-02,  1.6843696366665767E-01,  1.4819306400989062E-04,  1.4916670236631693E-02,  3.2749594520674184E-10
  1.1000000000000003E-02,  1.6843699978280069E-01,  1.4819169669855935E-04,  1.4916843851178044E-02,  3.2749773651764016E-10
  1.2000000000000004E-02,  1.6843704075750129E-01,  1.4819042539278036E-04,  1.4917005270388500E-02,  3.2749945048789670E-10
  1.3000000000000005E-02,  1.6843708021115558E-01,  1.4818898310303030E-04,  1.4917188426223443E-02,  3.2750108309075013E-10
  1.4000000000000005E-02,  1.6843711768929728E-01,  1.4818759433141745E-04,  1.4917364771071778E-02,  3.2750263769255360E-10
  1.5000000000000006E-02,  1.6843716119033750E-01,  1.4818627510024534E-04,  1.4917532287252469E-02,  3.2750411812314353E-10
  1.6000000000000007E-02,  1.6843719794452325E-01,  1.4818474390472459E-04,  1.4917726746732932E-02,  3.2750551895462800E-10
  1.7000000000000008E-02,  1.6843723748319869E-01,  1.4818345014525679E-04,  1.4917891020757135E-02,  3.2750684951533577E-10
  1.8000000000000009E-02,  1.6843727412263937E-01,  1.4818205841931424E-04,  1.4918067766527751E-02,  3.2750810802369046E-10
  1.9000000000000010E-02,  1.6843731980050194E-01,  1.4818076872440527E-04,  1.4918231541566990E-02,  3.2750929924484833E-10
  2.0000000000000011E-02,  1.6843735600369891E-01,  1.4817916094137705E-04,  1.4918435750752579E-02,  3.2751041415275031E-10
  2.0018000000000011E-02,  1.6843739560528559E-01,  1.4817789512318433E-04,  1.4918602212277407E-02,  3.2751568305438045E-10
  2.0019000000000012E-02,  1.6843740857216868E-01,  1.4817664688436479E-04,  1.4918858517655648E-02,  3.2752043594731562E-10
  2.0020000000000013E-02,  1.6843741031086007E-01,  1.4817610330736112E-04,  1.4918869060235415E-02,  3.2752449636971410E-10
  2.0020001000000013E-02,  1.6843741281385502E-01,  1.4817610157733926E-04,  1.4918967765931004E-02,  3.2753960139808125E-10
  2.0020011000000015E-02,  1.6843741523865216E-01,  1.4817608550044461E-04,  1.4918959653054079E-02,  3.2754876581353860E-10
