time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6843691129379848E-01,  1.4821296716618234E-04,  1.4913755254761268E-02,  3.2758045657481119E-10
  2.0000000000000000E-03,  1.6843750137592273E-01,  1.4819354247207824E-04,  1.4916610983229106E-02,  3.2758450682325199E-10
  3.0000000000000001E-03,  1.6843739750823342E-01,  1.4817277207468870E-04,  1.4919248748820765E-02,  3.2756957755466570E-10
  4.0000000000000001E-03,  1.6843743295792260E-01,  1.4817642505901842E-04,  1.4918782771669900E-02,  3.2756507284758104E-10
  5.0000000000000001E-03,  1.6843749458465646E-01,  1.4817517787911317E-04,  1.4918941574784378E-02,  3.2756180680623255E-10
  6.0000000000000001E-03,  1.6843754613765485E-01,  1.4817300881643663E-04,  1.4919217136462354E-02,  3.2755840386567604E-10
  7.0000000000000001E-03,  1.6843759772965350E-01,  1.4817119418682973E-04,  1.4919447583070108E-02,  3.2755522064724697E-10
  8.0000000000000002E-03,  1.6843763221060590E-01,  1.4816937823689829E-04,  1.4919678232555134E-02,  3.2755214652332549E-10
  9.0000000000000011E-03,  1.6843767039967841E-01,  1.4816816449656769E-04,  1.4919832346601020E-02,  3.2754961802495412E-10
  1.0000000000000002E-02,  1.6843771370238181E-01,  1.4816682033226994E-04,  1.4920003090299838E-02,  3.2754725652320031E-10
  1.1000000000000003E-02,  1.6843774354964411E-01,  1.4816529618991162E-04,  1.4920196702288349E-02,  3.2754483162287196E-10
  1.2000000000000004E-02,  1.6843777623466824E-01,  1.4816424557356729E-04,  1.4920330114919805E-02,  3.2754276101026497E-10
  1.3000000000000005E-02,  1.6843779940393558E-01,  1.4816309514842089E-04,  1.4920476255283935E-02,  3.2754078657436719E-10
  1.4000000000000005E-02,  1.6843782473233693E-01,  1.4816227960425351E-04,  1.4920579822876451E-02,  3.2753913322835466E-10
  1.5000000000000006E-02,  1.6843785065727768E-01,  1.4816138811649877E-04,  1.4920693072696584E-02,  3.2753757879713749E-10
  1.6000000000000007E-02,  1.6843787254011153E-01,  1.4816047562733780E-04,  1.4920808987124334E-02,  3.2753605662410057E-10
  1.7000000000000008E-02,  1.6843788653955341E-01,  1.4815970539148662E-04,  1.4920906818799123E-02,  3.2753466656765600E-10
  1.8000000000000009E-02,  1.6843791003682934E-01,  1.4815921261438975E-04,  1.4920969394044484E-02,  3.2753356896954305E-10
  1.9000000000000010E-02,  1.6843792765997376E-01,  1.4815838561608641E-04,  1.4921074477672464E-02,  3.2753234528822773E-10
  2.0000000000000011E-02,  1.6843794260005196E-01,  1.4815776530533410E-04,  1.4921153261073308E-02,  3.2753122681675729E-10
  2.0018000000000011E-02,  1.6843794144880378E-01,  1.4815724297012549E-04,  1.4921221973544244E-02,  3.2753103485410516E-10
  2.0019000000000012E-02,  1.6843794155259248E-01,  1.4815727583578669E-04,  1.4921212660814989E-02,  3.2753085617687922E-10
  2.0020000000000013E-02,  1.6843794165116421E-01,  1.4815727620274495E-04,  1.4921215312236905E-02,  3.2753070134964626E-10
  2.0020001000000013E-02,  1.6843794167100901E-01,  1.4815727616964366E-04,  1.4921218095013941E-02,  3.2753017764678570E-10
  2.0020011000000015E-02,  1.6843794403352377E-01,  1.4815726964410115E-04,  1.4921270350862534E-02,  3.2753012265952435E-10
  2.0020021000000016E-02,  1.6843794857617794E-01,  1.4815725164832216E-04,  1.4921367862757495E-02,  3.2753028651265566E-10
  2.0020031000000018E-02,  1.6843795524561439E-01,  1.4815721744003668E-04,  1.4921506804551093E-02,  3.2753052140491643E-10
  2.0020041000000020E-02,  1.6843796396787228E-01,  1.4815716282884063E-04,  1.4921683127075952E-02,  3.2753077886495969E-10
  2.0020051000000021E-02,  1.6843797466228722E-01,  1.4815708414874933E-04,  1.4921892942443615E-02,  3.2753117635672734E-10
  2.0020061000000023E-02,  1.6843798724861872E-01,  1.4815697822049515E-04,  1.4922132613979622E-02,  3.2753173026730709E-10
  2.0020071000000025E-02,  1.6843800164549869E-01,  1.4815684231636269E-04,  1.4922398739629764E-02,  3.2753245290855978E-10
  2.0020081000000026E-02,  1.6843801777290063E-01,  1.4815667411911370E-04,  1.4922688206231327E-02,  3.2753335296506038E-10
  2.0020091000000028E-02,  1.6843803555420062E-01,  1.4815647169307995E-04,  1.4922998092170736E-02,  3.2753443588983919E-10
  2.0020101000000030E-02,  1.6843805491336614E-01,  1.4815623344435828E-04,  1.4923325762902145E-02,  3.2753570433350143E-10
  2.0020201000000029E-02,  1.6843835078341748E-01,  1.4815026107768394E-04,  1.4927065040664253E-02,  3.2753887227485765E-10
  2.0020301000000029E-02,  1.6843870980203676E-01,  1.4814131024641828E-04,  1.4930675573244595E-02,  3.2754208341229482E-10
  2.0020401000000028E-02,  1.6843910498229570E-01,  1.4813014382141496E-04,  1.4933934797490417E-02,  3.2754585874428021E-10
  2.0020501000000027E-02,  1.6843951812895555E-01,  1.4811746987716142E-04,  1.4936798234921722E-02,  3.2754966033098744E-10
