time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6843776872819008E-01,  1.4816138889839372E-04,  1.4920309022423375E-02,  3.2752814865357489E-10
  2.0000000000000000E-03,  1.6843798775219590E-01,  1.4816335897285698E-04,  1.4920442483886492E-02,  3.2753369294241875E-10
  3.0000000000000001E-03,  1.6843796680541637E-01,  1.4815565111200710E-04,  1.4921422428892397E-02,  3.2753018099217412E-10
  4.0000000000000001E-03,  1.6843796861192858E-01,  1.4815638733141795E-04,  1.4921328200361517E-02,  3.2752901840326202E-10
  5.0000000000000001E-03,  1.6843798523689654E-01,  1.4815632384646330E-04,  1.4921336331688614E-02,  3.2752838600579615E-10
  6.0000000000000001E-03,  1.6843799312543661E-01,  1.4815573876186274E-04,  1.4921410702683754E-02,  3.2752759259498668E-10
  7.0000000000000001E-03,  1.6843800291626462E-01,  1.4815546107114060E-04,  1.4921445954507381E-02,  3.2752696889080627E-10
  8.0000000000000002E-03,  1.6843801462139429E-01,  1.4815511647222414E-04,  1.4921489737489760E-02,  3.2752637575383263E-10
  9.0000000000000011E-03,  1.6843802066090052E-01,  1.4815470449620189E-04,  1.4921542080284012E-02,  3.2752574289062251E-10
  1.0000000000000002E-02,  1.6843803195667620E-01,  1.4815449189977119E-04,  1.4921569071975213E-02,  3.2752525270361971E-10
  1.1000000000000003E-02,  1.6843804037886798E-01,  1.4815409434691497E-04,  1.4921619592641155E-02,  3.2752468319730400E-10
  1.2000000000000004E-02,  1.6843804555577613E-01,  1.4815379790004060E-04,  1.4921657245180450E-02,  3.2752415631808834E-10
  1.3000000000000005E-02,  1.6843805238433662E-01,  1.4815361567531860E-04,  1.4921680385799108E-02,  3.2752374399693365E-10
  1.4000000000000005E-02,  1.6843805447785606E-01,  1.4815337533916940E-04,  1.4921710923375089E-02,  3.2752334166652622E-10
  1.5000000000000006E-02,  1.6843806442207659E-01,  1.4815330163344480E-04,  1.4921720273273292E-02,  3.2752308017231360E-10
  1.6000000000000007E-02,  1.6843806698821959E-01,  1.4815295166341197E-04,  1.4921764757274719E-02,  3.2752266394290744E-10
  1.7000000000000008E-02,  1.6843807076867062E-01,  1.4815286131146421E-04,  1.4921776214291388E-02,  3.2752238182347667E-10
  1.8000000000000009E-02,  1.6843807568704952E-01,  1.4815272825728347E-04,  1.4921793121447147E-02,  3.2752213217003756E-10
  1.9000000000000010E-02,  1.6843807819995266E-01,  1.4815255515151829E-04,  1.4921815116704207E-02,  3.2752186604679526E-10
  2.0000000000000011E-02,  1.6843808081684636E-01,  1.4815246669517223E-04,  1.4921826347484499E-02,  3.2752166068740236E-10
  2.0018000000000011E-02,  1.6843807971387811E-01,  1.4815237520698218E-04,  1.4921838385116307E-02,  3.2752162612233884E-10
  2.0019000000000012E-02,  1.6843807988188433E-01,  1.4815240919476954E-04,  1.4921830823448154E-02,  3.2752162612233884E-10
  2.0020000000000013E-02,  1.6843808004124777E-01,  1.4815240767393937E-04,  1.4921833964678263E-02,  3.2752162612233884E-10
  2.0020001000000013E-02,  1.6843808006143940E-01,  1.4815240762176384E-04,  1.4921838176801941E-02,  3.2752162612233884E-10
  2.0020011000000015E-02,  1.6843808242669295E-01,  1.4815240091373431E-04,  1.4921890389073114E-02,  3.2752172052397697E-10
  2.0020021000000016E-02,  1.6843808697128415E-01,  1.4815238274228863E-04,  1.4921987869941256E-02,  3.2752185203498145E-10
  2.0020031000000018E-02,  1.6843809364196449E-01,  1.4815234836761790E-04,  1.4922126760525886E-02,  3.2752201455716721E-10
  2.0020041000000020E-02,  1.6843810236630188E-01,  1.4815229359962763E-04,  1.4922303029368200E-02,  3.2752229513679919E-10
  2.0020051000000021E-02,  1.6843811306255357E-01,  1.4815221477034791E-04,  1.4922512807768615E-02,  3.2752271476538720E-10
  2.0020061000000023E-02,  1.6843812564996125E-01,  1.4815210870132252E-04,  1.4922752435628808E-02,  3.2752328986497362E-10
  2.0020071000000025E-02,  1.6843814004753424E-01,  1.4815197266191183E-04,  1.4923018542176203E-02,  3.2752403279006489E-10
  2.0020081000000026E-02,  1.6843815617758065E-01,  1.4815180433873972E-04,  1.4923307957325938E-02,  3.2752495224436899E-10
  2.0020091000000028E-02,  1.6843817396076474E-01,  1.4815160179175435E-04,  1.4923617828391800E-02,  3.2752605375222282E-10
  2.0020101000000030E-02,  1.6843819332160706E-01,  1.4815136342614886E-04,  1.4923945491968599E-02,  3.2752733999354235E-10
  2.0020201000000029E-02,  1.6843848921608917E-01,  1.4814539015147105E-04,  1.4927684816473358E-02,  3.2753055775034084E-10
  2.0020301000000029E-02,  1.6843884825200875E-01,  1.4813643870137288E-04,  1.4931295343785095E-02,  3.2753378339209470E-10
  2.0020401000000028E-02,  1.6843924345433159E-01,  1.4812527161393236E-04,  1.4934554842380959E-02,  3.2753757253576691E-10
  2.0020501000000027E-02,  1.6843965662025406E-01,  1.4811259702673035E-04,  1.4937418492650650E-02,  3.2754138727341203E-10
  2.0020601000000027E-02,  1.6844007576902389E-01,  1.4809899512106960E-04,  1.4939918745669564E-02,  3.2754480912431384E-10
  2.0020701000000026E-02,  1.6844049326827273E-01,  1.4808490631406735E-04,  1.4942115599165681E-02,  3.2754754318859450E-10
  2.0020801000000026E-02,  1.6844090445366161E-01,  1.4807064786697649E-04,  1.4944070916059454E-02,  3.2754940062262493E-10
  2.0020901000000025E-02,  1.6844130669651103E-01,  1.4805643661259794E-04,  1.4945840465480614E-02,  3.2755027619819661E-10
  2.0021001000000024E-02,  1.6844169869787384E-01,  1.4804241254577890E-04,  1.4947470209632857E-02,  3.2755012646863582E-10
  2.0022001000000025E-02,  1.6844497550743984E-01,  1.4792405184524992E-04,  1.4960731583631898E-02,  3.2747563912493236E-10
  2.0023001000000026E-02,  1.6844791548073132E-01,  1.4781860355428408E-04,  1.4973111684852103E-02,  3.2723842559778835E-10
  2.0024001000000027E-02,  1.6845069348611633E-01,  1.4772037772743429E-04,  1.4985059871818585E-02,  3.2703370974087341E-10
  2.0025001000000028E-02,  1.6845339094117989E-01,  1.4762526047875838E-04,  1.4996968805417399E-02,  3.2686481336566160E-10
  2.0026001000000029E-02,  1.6845604164804895E-01,  1.4753191439517623E-04,  1.5008777590696479E-02,  3.2670649339365201E-10
  2.0027001000000030E-02,  1.6845865972312055E-01,  1.4743979095716247E-04,  1.5020490189097430E-02,  3.2655243077764738E-10
  2.0028001000000031E-02,  1.6846125104317713E-01,  1.4734865303346717E-04,  1.5032110603195328E-02,  3.2640074237443727E-10
  2.0029001000000032E-02,  1.6846381800508553E-01,  1.4725840061448244E-04,  1.5043639840667686E-02,  3.2625076292258726E-10
  2.0030001000000033E-02,  1.6846636159200143E-01,  1.4716899743208334E-04,  1.5055076869575565E-02,  3.2610223451807529E-10
  2.0040001000000033E-02,  1.6849148533313105E-01,  1.4628386989522888E-04,  1.5169694484212667E-02,  3.2605232321831752E-10
  2.0050001000000033E-02,  1.6851591033970986E-01,  1.4542762771662429E-04,  1.5281727857895888E-02,  3.2596373741316680E-10
  2.0060001000000032E-02,  1.6853934979684540E-01,  1.4460772228791540E-04,  1.5390176482576581E-02,  3.2582367865327962E-10
  2.0070001000000032E-02,  1.6856161112410803E-01,  1.4383074413629385E-04,  1.5494015513701359E-02,  3.2563656103892862E-10
  2.0080001000000031E-02,  1.6858256673516930E-01,  1.4310080371064758E-04,  1.5592537808269462E-02,  3.2540701205689785E-10
  2.0090001000000031E-02,  1.6860214060686429E-01,  1.4242036456398337E-04,  1.5685239433208077E-02,  3.2513973263956349E-10
  2.0100001000000031E-02,  1.6862029125990707E-01,  1.4179057001308907E-04,  1.5771792327515972E-02,  3.2483939042249657E-10
  2.0110001000000030E-02,  1.6863700651757915E-01,  1.4121160260598581E-04,  1.5852003931952435E-02,  3.2451054637842354E-10
  2.0120001000000030E-02,  1.6865229434415999E-01,  1.4068293243263812E-04,  1.5925789924081384E-02,  3.2415759906689163E-10
  2.0220001000000029E-02,  1.6865791126604815E-01,  1.4049404331916056E-04,  1.5947981932061449E-02,  3.1479526324290179E-10
  2.0320001000000028E-02,  1.6866256097181401E-01,  1.4032931496113206E-04,  1.5971259703365569E-02,  3.1478566545701168E-10
  2.0420001000000028E-02,  1.6866442035582666E-01,  1.4026626561803880E-04,  1.5980102623268148E-02,  3.1477271521011094E-10
  2.0520001000000027E-02,  1.6866199563768061E-01,  1.4035419882047056E-04,  1.5967515241085917E-02,  3.1454876419322127E-10
  2.0620001000000027E-02,  1.6866002718946618E-01,  1.4042826683359198E-04,  1.5957048388546724E-02,  3.1466093782919996E-10
