time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6843470993598531E-01,  1.4833817618797261E-04,  1.4897864591796470E-02,  3.2738262504320811E-10
  2.0000000000000000E-03,  1.6843927455610078E-01,  1.4805210673097231E-04,  1.4934608842961966E-02,  3.2762081863574553E-10
  3.0000000000000001E-03,  1.6843703937093274E-01,  1.4822238912864913E-04,  1.4912933200707218E-02,  3.2748178266802424E-10
  4.0000000000000001E-03,  1.6843707465998792E-01,  1.4818903585700095E-04,  1.4917184376151013E-02,  3.2748377151312389E-10
  5.0000000000000001E-03,  1.6843682730892201E-01,  1.4818778971406910E-04,  1.4917339948912228E-02,  3.2748567872105559E-10
  6.0000000000000001E-03,  1.6843682525510115E-01,  1.4819649530367778E-04,  1.4916233725414188E-02,  3.2748783167716383E-10
  7.0000000000000001E-03,  1.6843685653613266E-01,  1.4819656866711748E-04,  1.4916225127055552E-02,  3.2748994428426392E-10
  8.0000000000000002E-03,  1.6843688785393626E-01,  1.4819546770119659E-04,  1.4916365013026414E-02,  3.2749197873393152E-10
  9.0000000000000011E-03,  1.6843691533113450E-01,  1.4819436529891699E-04,  1.4916504986103724E-02,  3.2749393649946724E-10
  1.0000000000000002E-02,  1.6843695878832482E-01,  1.4819339807353957E-04,  1.4916627786030701E-02,  3.2749582352315853E-10
  1.1000000000000003E-02,  1.6843699983499544E-01,  1.4819186843703433E-04,  1.4916822057948087E-02,  3.2749762288126493E-10
  1.2000000000000004E-02,  1.6843703318070757E-01,  1.4819042357698531E-04,  1.4917005515360765E-02,  3.2749933907128598E-10
  1.3000000000000005E-02,  1.6843707440701805E-01,  1.4818924977282784E-04,  1.4917154541996297E-02,  3.2750098260011914E-10
  1.4000000000000005E-02,  1.6843711447786569E-01,  1.4818779864392693E-04,  1.4917338831985968E-02,  3.2750254588536752E-10
  1.5000000000000006E-02,  1.6843715737235995E-01,  1.4818638815306364E-04,  1.4917517938751304E-02,  3.2750403184693401E-10
