time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6843470134537353E-01,  1.4833827214118063E-04,  1.4897852424365837E-02,  3.2738257001965416E-10
  2.0000000000000000E-03,  1.6843927217133975E-01,  1.4805265761304792E-04,  1.4934538724369006E-02,  3.2762052986444917E-10
  3.0000000000000001E-03,  1.6843704602040774E-01,  1.4822236049843478E-04,  1.4912936882650413E-02,  3.2748189999791739E-10
  4.0000000000000001E-03,  1.6843708126248516E-01,  1.4818880182112851E-04,  1.4917214111344210E-02,  3.2748387886204216E-10
  5.0000000000000001E-03,  1.6843683194245770E-01,  1.4818755730693848E-04,  1.4917369460593438E-02,  3.2748577633421040E-10
  6.0000000000000001E-03,  1.6843682793980236E-01,  1.4819633219169295E-04,  1.4916254429711368E-02,  3.2748792200970159E-10
  7.0000000000000001E-03,  1.6843685730803143E-01,  1.4819647415541124E-04,  1.4916237121333886E-02,  3.2749002972171592E-10
  8.0000000000000002E-03,  1.6843688651262154E-01,  1.4819544052160650E-04,  1.4916368458428655E-02,  3.2749206157272517E-10
  9.0000000000000011E-03,  1.6843692173036642E-01,  1.4819441250460731E-04,  1.4916498986140364E-02,  3.2749401922011814E-10
  1.0000000000000002E-02,  1.6843696532569805E-01,  1.4819317285198522E-04,  1.4916656405844497E-02,  3.2749589724542796E-10
  1.1000000000000003E-02,  1.6843700178733509E-01,  1.4819163832066894E-04,  1.4916851277673004E-02,  3.2749768761548790E-10
  1.2000000000000004E-02,  1.6843703920789815E-01,  1.4819035483448211E-04,  1.4917014230794126E-02,  3.2749940026034085E-10
  1.3000000000000005E-02,  1.6843708011219108E-01,  1.4818903763354736E-04,  1.4917181491502632E-02,  3.2750103564374387E-10
  1.4000000000000005E-02,  1.6843711466098338E-01,  1.4818759782126551E-04,  1.4917364332155542E-02,  3.2750259131030120E-10
  1.5000000000000006E-02,  1.6843715786966829E-01,  1.4818638168333112E-04,  1.4917518744181360E-02,  3.2750407614502845E-10
  1.6000000000000007E-02,  1.6843719251207129E-01,  1.4818486078965981E-04,  1.4917711902871861E-02,  3.2750548163236351E-10
  1.7000000000000008E-02,  1.6843723810001246E-01,  1.4818364135555590E-04,  1.4917866732726826E-02,  3.2750681918046728E-10
  1.8000000000000009E-02,  1.6843727515025059E-01,  1.4818203673420456E-04,  1.4918070538054481E-02,  3.2750807759518306E-10
  1.9000000000000010E-02,  1.6843731779540860E-01,  1.4818073255507298E-04,  1.4918236136098384E-02,  3.2750926824437284E-10
  2.0000000000000011E-02,  1.6843735402226745E-01,  1.4817923150563735E-04,  1.4918426780387392E-02,  3.2751038607260225E-10
  2.0018000000000011E-02,  1.6843739387695844E-01,  1.4817796487313553E-04,  1.4918593357788529E-02,  3.2751566917865780E-10
  2.0019000000000012E-02,  1.6843740728096190E-01,  1.4817670870073940E-04,  1.4918851325360527E-02,  3.2752043499810772E-10
  2.0020000000000013E-02,  1.6843740905964460E-01,  1.4817615055790739E-04,  1.4918864268356619E-02,  3.2752450588489841E-10
  2.0020001000000013E-02,  1.6843741152137270E-01,  1.4817614881388970E-04,  1.4918962928500548E-02,  3.2753964890570553E-10
  2.0020011000000015E-02,  1.6843741394700198E-01,  1.4817613260662568E-04,  1.4918954752569352E-02,  3.2754883418852207E-10
  2.0020021000000016E-02,  1.6843741858313746E-01,  1.4817611119529031E-04,  1.4919000670540986E-02,  3.2756038931475741E-10
  2.0020031000000018E-02,  1.6843742536009854E-01,  1.4817607918034631E-04,  1.4919092756444471E-02,  3.2756488906563893E-10
  2.0020041000000020E-02,  1.6843743418378954E-01,  1.4817603174536336E-04,  1.4919226781703890E-02,  3.2756793210192743E-10
  2.0020051000000021E-02,  1.6843744498352348E-01,  1.4817596463103202E-04,  1.4919398662741015E-02,  3.2757133338268286E-10
  2.0020061000000023E-02,  1.6843745767999238E-01,  1.4817587410301838E-04,  1.4919604516171511E-02,  3.2757532719706432E-10
  2.0020071000000025E-02,  1.6843747219271640E-01,  1.4817575691691078E-04,  1.4919840687407315E-02,  3.2757987656260894E-10
  2.0020081000000026E-02,  1.6843748844450332E-01,  1.4817561028257243E-04,  1.4920103760114004E-02,  3.2758490292957613E-10
  2.0020091000000028E-02,  1.6843750635757543E-01,  1.4817543182512385E-04,  1.4920390589128738E-02,  3.2759032701365473E-10
  2.0020101000000030E-02,  1.6843752585668009E-01,  1.4817521955294501E-04,  1.4920698246263631E-02,  3.2759607465071076E-10
  2.0020201000000029E-02,  1.6843782304544733E-01,  1.4817373898133674E-04,  1.4920353252063548E-02,  3.2759101072460758E-10
  2.0020301000000029E-02,  1.6843818349749928E-01,  1.4816824546254673E-04,  1.4924382337146630E-02,  3.2763403268513135E-10
  2.0020401000000028E-02,  1.6843858146901300E-01,  1.4815952853400885E-04,  1.4928165895316217E-02,  3.2768170524260700E-10
  2.0020501000000027E-02,  1.6843899783818300E-01,  1.4814844877300744E-04,  1.4931535758283848E-02,  3.2771063844134833E-10
  2.0020601000000027E-02,  1.6843942031280593E-01,  1.4813577368863045E-04,  1.4934471687054099E-02,  3.2772259836614715E-10
  2.0020701000000026E-02,  1.6843984102018325E-01,  1.4812212055507191E-04,  1.4937019919589303E-02,  3.2772098510504002E-10
  2.0020801000000026E-02,  1.6844025514263083E-01,  1.4810795438218973E-04,  1.4939247702147995E-02,  3.2770931095568640E-10
  2.0020901000000025E-02,  1.6844065995719623E-01,  1.4809360781324688E-04,  1.4941222583344890E-02,  3.2769062956859491E-10
  2.0021001000000024E-02,  1.6844105410743918E-01,  1.4807930794457467E-04,  1.4943003270187244E-02,  3.2766737011473935E-10
  2.0022001000000025E-02,  1.6844436181353079E-01,  1.4805122135811989E-04,  1.4937031126325384E-02,  3.2756526798702088E-10
  2.0023001000000026E-02,  1.6844733483474744E-01,  1.4794502961336923E-04,  1.4957045523943238E-02,  3.2742057198692464E-10
  2.0024001000000027E-02,  1.6845014635537112E-01,  1.4784032238449672E-04,  1.4970277431211029E-02,  3.2724007994878480E-10
