time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.6847930402030625E-01,  1.4670914338061705E-04,  1.5106729387307505E-02,  3.2514491411275811E-10
  2.0000000000000000E-03,  1.6846719934880555E-01,  1.4714124734802470E-04,  1.5051142085439409E-02,  3.2583047595357670E-10
  3.0000000000000001E-03,  1.6846143422620416E-01,  1.4734495880752585E-04,  1.5024960289897762E-02,  3.2584483040889884E-10
  4.0000000000000001E-03,  1.6845678280625723E-01,  1.4751084181304852E-04,  1.5003681420062018E-02,  3.2586389911308707E-10
  5.0000000000000001E-03,  1.6845267198216138E-01,  1.4765772397610008E-04,  1.4984878611570246E-02,  3.2589227161698877E-10
  6.0000000000000001E-03,  1.6844901378799654E-01,  1.4778857810029389E-04,  1.4968159003478004E-02,  3.2592844016964276E-10
  7.0000000000000001E-03,  1.6844575735655529E-01,  1.4790489953927401E-04,  1.4953321140357870E-02,  3.2597110639666574E-10
  8.0000000000000002E-03,  1.6844287385038731E-01,  1.4800751517189635E-04,  1.4940251014207942E-02,  3.2601910892798571E-10
  9.0000000000000011E-03,  1.6844033395414934E-01,  1.4809804013116918E-04,  1.4928735910841567E-02,  3.2607141860286223E-10
  1.0000000000000002E-02,  1.6843811381760682E-01,  1.4817678955307757E-04,  1.4918730246434836E-02,  3.2612709119739921E-10
  1.1000000000000003E-02,  1.6843618918604802E-01,  1.4824519837568036E-04,  1.4910047064761692E-02,  3.2618529418822001E-10
  1.2000000000000004E-02,  1.6843452362652325E-01,  1.4830403155336049E-04,  1.4902585790451686E-02,  3.2624528086700993E-10
  1.3000000000000005E-02,  1.6843310698323816E-01,  1.4835395480640551E-04,  1.4896259186907693E-02,  3.2630639724131980E-10
  1.4000000000000005E-02,  1.6843190804653066E-01,  1.4839591005671841E-04,  1.4890945672860034E-02,  3.2636805770261733E-10
  1.5000000000000006E-02,  1.6843090302511643E-01,  1.4843085352099746E-04,  1.4886522505584865E-02,  3.2642976640222930E-10
  1.6000000000000007E-02,  1.6843008773128609E-01,  1.4845896056799433E-04,  1.4882966306747014E-02,  3.2649107984820872E-10
  1.7000000000000008E-02,  1.6842943432227792E-01,  1.4848139155677426E-04,  1.4880129246247070E-02,  3.2655161476793643E-10
  1.8000000000000009E-02,  1.6842892682604249E-01,  1.4849843170515491E-04,  1.4877974678835448E-02,  3.2661104384839240E-10
  1.9000000000000010E-02,  1.6842855858593975E-01,  1.4851075565202370E-04,  1.4876416806801532E-02,  3.2666909275804929E-10
  2.0000000000000011E-02,  1.6842829603868636E-01,  1.4851909323430245E-04,  1.4875363064253452E-02,  3.2672552937770940E-10
  2.0018000000000011E-02,  1.6842864526111295E-01,  1.4849706873013276E-04,  1.4878249792563136E-02,  3.2686156957021816E-10
  2.0019000000000012E-02,  1.6842868523491866E-01,  1.4848598470000430E-04,  1.4880468333120053E-02,  3.2698399962483138E-10
  2.0020000000000013E-02,  1.6842874301337710E-01,  1.4848351274354923E-04,  1.4880067588248391E-02,  3.2709221076886477E-10
  2.0020001000000013E-02,  1.6842874321222062E-01,  1.4848349391658058E-04,  1.4881424777656208E-02,  3.2748617476042310E-10
  2.0020011000000015E-02,  1.6842874742824115E-01,  1.4848330936527361E-04,  1.4881417319082269E-02,  3.2772500307931804E-10
  2.0020021000000016E-02,  1.6842875428334833E-01,  1.4848312046791969E-04,  1.4881477214091055E-02,  3.2800758262044450E-10
  2.0020031000000018E-02,  1.6842876331015202E-01,  1.4848292117522550E-04,  1.4881588535174059E-02,  3.2808062739053539E-10
  2.0020041000000020E-02,  1.6842877437128503E-01,  1.4848270750248942E-04,  1.4881734683944214E-02,  3.2809511551707938E-10
  2.0020051000000021E-02,  1.6842878738562370E-01,  1.4848247545620405E-04,  1.4881916238684262E-02,  3.2809572682691867E-10
  2.0020061000000023E-02,  1.6842880228337564E-01,  1.4848222148785775E-04,  1.4882129962231705E-02,  3.2809598924481828E-10
  2.0020071000000025E-02,  1.6842881898577386E-01,  1.4848194247540615E-04,  1.4882372716987613E-02,  3.2809638748399697E-10
  2.0020081000000026E-02,  1.6842883741507098E-01,  1.4848163574079660E-04,  1.4882641164045501E-02,  3.2809693447810035E-10
  2.0020091000000028E-02,  1.6842885749545414E-01,  1.4848129900440764E-04,  1.4882932291530176E-02,  3.2809763959382487E-10
  2.0020101000000030E-02,  1.6842887915181043E-01,  1.4848093035826242E-04,  1.4883243262480902E-02,  3.2809850901881828E-10
  2.0020201000000029E-02,  1.6842919785782878E-01,  1.4847387092328178E-04,  1.4886930610463589E-02,  3.2809932548010574E-10
  2.0020301000000029E-02,  1.6842957962040603E-01,  1.4846395411450528E-04,  1.4890552791877620E-02,  3.2810177911815247E-10
  2.0020401000000028E-02,  1.6842999746970289E-01,  1.4845188989004443E-04,  1.4893859085762878E-02,  3.2810472381687896E-10
  2.0020501000000027E-02,  1.6843043321531259E-01,  1.4843835719592337E-04,  1.4896789280645015E-02,  3.2810764747630979E-10
  2.0020601000000027E-02,  1.6843087488636130E-01,  1.4842392002746313E-04,  1.4899367185587875E-02,  3.2811014599615313E-10
  2.0020701000000026E-02,  1.6843131484669033E-01,  1.4840901001576148E-04,  1.4901647764801892E-02,  3.2811193256309107E-10
  2.0020801000000026E-02,  1.6843174844725511E-01,  1.4839393929170166E-04,  1.4903690449744628E-02,  3.2811282313137587E-10
  2.0020901000000025E-02,  1.6843217305101083E-01,  1.4837892161373846E-04,  1.4905549629571607E-02,  3.2811271550686145E-10
  2.0021001000000024E-02,  1.6843258736921338E-01,  1.4836409549798959E-04,  1.4907270066732009E-02,  3.2811156803115399E-10
  2.0022001000000025E-02,  1.6843608277197608E-01,  1.4823786938518823E-04,  1.4921456303703673E-02,  3.2802358860740053E-10
  2.0023001000000026E-02,  1.6843923491609383E-01,  1.4812481360094228E-04,  1.4934728080484669E-02,  3.2776077143912943E-10
  2.0024001000000027E-02,  1.6844222035068032E-01,  1.4801923456803396E-04,  1.4947541201292325E-02,  3.2753930358476500E-10
  2.0025001000000028E-02,  1.6844512125630187E-01,  1.4791688366010952E-04,  1.4960314300414224E-02,  3.2735771121520445E-10
  2.0026001000000029E-02,  1.6844797159533192E-01,  1.4781643340183820E-04,  1.4972972875707632E-02,  3.2718755538493501E-10
  2.0027001000000030E-02,  1.6845078557332560E-01,  1.4771733906507887E-04,  1.4985520670752775E-02,  3.2702197208169468E-10
  2.0028001000000031E-02,  1.6845356916973805E-01,  1.4761936434590613E-04,  1.4997961669235366E-02,  3.2685898861399668E-10
  2.0029001000000032E-02,  1.6845632488994111E-01,  1.4752240175824825E-04,  1.5010298412845721E-02,  3.2669792649293282E-10
  2.0030001000000033E-02,  1.6845905374206624E-01,  1.4742641359870434E-04,  1.5022529459041978E-02,  3.2653851486333668E-10
  2.0040001000000033E-02,  1.6848587925524558E-01,  1.4648070561514625E-04,  1.5144577981138024E-02,  3.2648508179293552E-10
  2.0050001000000033E-02,  1.6851186601262902E-01,  1.4556928201555746E-04,  1.5263528269167104E-02,  3.2639058523290006E-10
  2.0060001000000032E-02,  1.6853673583779613E-01,  1.4469908105830132E-04,  1.5378424761063034E-02,  3.2624142050514040E-10
  2.0070001000000032E-02,  1.6856030252553916E-01,  1.4387633026324395E-04,  1.5488261977311193E-02,  3.2604240959966007E-10
  2.0080001000000031E-02,  1.6858244674638112E-01,  1.4310496021652889E-04,  1.5592327735787823E-02,  3.2579856144864539E-10
  2.0090001000000031E-02,  1.6860309709980104E-01,  1.4238710027271689E-04,  1.5690138168333562E-02,  3.2551492753869000E-10
  2.0100001000000031E-02,  1.6862222029759269E-01,  1.4172366773138653E-04,  1.5781370561990513E-02,  3.2519650169684966E-10
  2.0110001000000030E-02,  1.6863980847349477E-01,  1.4111457276870781E-04,  1.5865847935321184E-02,  3.2484814304675498E-10
  2.0120001000000030E-02,  1.6865587612495186E-01,  1.4055910559410928E-04,  1.5943490130614829E-02,  3.2447452729271197E-10
  2.0220001000000029E-02,  1.6866122158812161E-01,  1.4037979606445998E-04,  1.5964126699483924E-02,  3.1460195254497825E-10
  2.0320001000000028E-02,  1.6866575417887394E-01,  1.4021939005535644E-04,  1.5986833973805299E-02,  3.1459257704425228E-10
  2.0420001000000028E-02,  1.6866753975849971E-01,  1.4015892288893298E-04,  1.5995325820042025E-02,  3.1457998108548082E-10
  2.0520001000000027E-02,  1.6866707271981607E-01,  1.4016239347813453E-04,  1.5994777079078190E-02,  3.1457288822083886E-10
  2.0620001000000027E-02,  1.6866499323616185E-01,  1.4024788125241786E-04,  1.5982578332752469E-02,  3.1455616487382712E-10
