time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  1.0000000000000000E-03,  1.5003203613905577E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  2.0000000000000000E-03,  1.5003202701285967E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  3.0000000000000001E-03,  1.5003202263869361E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  4.0000000000000001E-03,  1.5003202524712875E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  5.0000000000000001E-03,  1.5003202321655704E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  6.0000000000000001E-03,  1.5003201966512911E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  7.0000000000000001E-03,  1.5003201704057387E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  8.0000000000000002E-03,  1.5003202153048900E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  9.0000000000000011E-03,  1.5003202112557809E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  1.0000000000000002E-02,  1.5003201942541805E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  1.1000000000000003E-02,  1.5003201807878594E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  1.2000000000000004E-02,  1.5003201640330985E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  1.3000000000000005E-02,  1.5003201500139315E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  1.4000000000000005E-02,  1.5003201444673295E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  1.5000000000000006E-02,  1.5003201466319613E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  1.6000000000000007E-02,  1.5003201789422771E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  1.7000000000000008E-02,  1.5003201670520108E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
  1.8000000000000009E-02,  1.5003201079981859E-01,  7.1481671366316335E-04,  9.9999999999999995E-07,  5.1096293413220487E-13
