time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  5.0000000000000004E-06,  1.6856999999989980E-01,  1.4364660186971643E-04,  1.5586448326662075E-02,  3.2161617124834921E-10
  1.0000000000000001E-05,  1.6864327917249983E-01,  1.4100308383678851E-04,  1.5879112167035213E-02,  3.1570643828629425E-10
  1.5000000000000002E-05,  1.6865476133168325E-01,  1.4060303048478765E-04,  1.5932675130951431E-02,  3.1497643528278474E-10
  2.0000000000000002E-05,  1.6865584597959138E-01,  1.4056531416555712E-04,  1.5937775276129405E-02,  3.1490824684474231E-10
  2.5000000000000001E-05,  1.6865576113811503E-01,  1.4056825617909905E-04,  1.5937371896968720E-02,  3.1491345841492359E-10
  3.0000000000000001E-05,  1.6865587596021028E-01,  1.4056425536073655E-04,  1.5937907383512771E-02,  3.1490611300376122E-10
  3.5000000000000004E-05,  1.6865632127131089E-01,  1.4054890761359948E-04,  1.5940075832230345E-02,  3.1488018516566722E-10
  4.0000000000000003E-05,  1.6865705261074579E-01,  1.4052370472854455E-04,  1.5943638674041333E-02,  3.1483762332932599E-10
  4.5000000000000003E-05,  1.6865800984205145E-01,  1.4049071673963510E-04,  1.5948301668318003E-02,  3.1478186070389093E-10
  5.0000000000000002E-05,  1.6865914026707443E-01,  1.4045176207703994E-04,  1.5953809384904601E-02,  3.1471597123876161E-10
  5.5000000000000002E-05,  1.6866040031683213E-01,  1.4040834434218954E-04,  1.5959950744992006E-02,  3.1464249941019053E-10
  6.0000000000000002E-05,  1.6866175388994564E-01,  1.4036170924411928E-04,  1.5966550750565793E-02,  3.1456355339293129E-10
  6.5000000000000008E-05,  1.6866317174833967E-01,  1.4031286547873571E-04,  1.5973467570013881E-02,  3.1448084097401608E-10
  7.0000000000000007E-05,  1.6866462932324622E-01,  1.4026265989076518E-04,  1.5980581607060826E-02,  3.1439579019160143E-10
  7.5000000000000007E-05,  1.6866610660667053E-01,  1.4021178259434927E-04,  1.5987795723107844E-02,  3.1430957557513190E-10
  8.0000000000000007E-05,  1.6866758783593541E-01,  1.4016077682999615E-04,  1.5995033148677833E-02,  3.1422311977581324E-10
  8.5000000000000006E-05,  1.6866905980488736E-01,  1.4011009739452253E-04,  1.6002229382388447E-02,  3.1413719491805212E-10
  9.0000000000000006E-05,  1.6867051182267609E-01,  1.4006011180980237E-04,  1.6009331853152835E-02,  3.1405242014558792E-10
  9.5000000000000005E-05,  1.6867193540702974E-01,  1.4001111212453391E-04,  1.6016299096073397E-02,  3.1396929729155599E-10
  1.0000000000000000E-04,  1.6867332407954896E-01,  1.3996332081783888E-04,  1.6023099129000878E-02,  3.1388820451720565E-10
  1.0500000000000000E-04,  1.6867467234555908E-01,  1.3991692623628656E-04,  1.6029704635846936E-02,  3.1380946007691446E-10
  1.1000000000000000E-04,  1.6867597631828504E-01,  1.3987206186607767E-04,  1.6036096432879496E-02,  3.1373329665508238E-10
  1.1500000000000000E-04,  1.6867723340452440E-01,  1.3982881631797469E-04,  1.6042261476463197E-02,  3.1365986649023556E-10
  1.2000000000000000E-04,  1.6867844138221941E-01,  1.3978726519111743E-04,  1.6048188410532231E-02,  3.1358929680239451E-10
  1.2500000000000000E-04,  1.6867959883132336E-01,  1.3974745681893537E-04,  1.6053869988891918E-02,  3.1352167295622777E-10
  1.3000000000000002E-04,  1.6868070532946783E-01,  1.3970940516516009E-04,  1.6059303831994852E-02,  3.1345702103224430E-10
  1.3500000000000003E-04,  1.6868176056887324E-01,  1.3967312038831595E-04,  1.6064488196705008E-02,  3.1339536212466886E-10
  1.4000000000000004E-04,  1.6868276465553267E-01,  1.3963859796888630E-04,  1.6069423127713436E-02,  3.1333668594947600E-10
  1.4500000000000006E-04,  1.6868371842709246E-01,  1.3960580877965621E-04,  1.6074112563816460E-02,  3.1328094722110898E-10
  1.5000000000000007E-04,  1.6868462247619961E-01,  1.3957473188087532E-04,  1.6078559111221490E-02,  3.1322811082955040E-10
  1.5500000000000008E-04,  1.6868547793235533E-01,  1.3954532789603740E-04,  1.6082768026290321E-02,  3.1317810997991136E-10
  1.6000000000000009E-04,  1.6868628598459923E-01,  1.3951755568859250E-04,  1.6086745014168687E-02,  3.1313087809412249E-10
  1.6500000000000011E-04,  1.6868704794856651E-01,  1.3949136961655467E-04,  1.6090496319039013E-02,  3.1308633825535230E-10
  1.7000000000000012E-04,  1.6868776538197047E-01,  1.3946671567461528E-04,  1.6094029352978392E-02,  3.1304439813019265E-10
  1.7500000000000013E-04,  1.6868843985024659E-01,  1.3944353986455261E-04,  1.6097351714337703E-02,  3.1300496844760333E-10
  1.8000000000000015E-04,  1.6868907285602663E-01,  1.3942179039448273E-04,  1.6100470718385003E-02,  3.1296796378155948E-10
  1.8500000000000016E-04,  1.6868966589438894E-01,  1.3940141485648422E-04,  1.6103393166761855E-02,  3.1293328544677139E-10
  1.9000000000000017E-04,  1.6869022100241074E-01,  1.3938234443215114E-04,  1.6106129735320031E-02,  3.1290083587690014E-10
  1.9500000000000019E-04,  1.6869073943535273E-01,  1.3936453439338594E-04,  1.6108685739302006E-02,  3.1287052103259062E-10
  2.0000000000000020E-04,  1.6869122290673916E-01,  1.3934792620922298E-04,  1.6111069808960328E-02,  3.1284224890432392E-10
  2.0500000000000021E-04,  1.6869167310136760E-01,  1.3933246203192269E-04,  1.6113290267703910E-02,  3.1281592418853122E-10
  2.1000000000000023E-04,  1.6869209151287659E-01,  1.3931809038400579E-04,  1.6115354389430167E-02,  3.1279145944977011E-10
  2.1500000000000024E-04,  1.6869247973521748E-01,  1.3930475607299962E-04,  1.6117269796297684E-02,  3.1276875701253806E-10
  2.2000000000000025E-04,  1.6869283925425391E-01,  1.3929240799748498E-04,  1.6119043783160904E-02,  3.1274773092527115E-10
  2.2500000000000026E-04,  1.6869317138338227E-01,  1.3928100098309221E-04,  1.6120682795752642E-02,  3.1272830511529301E-10
  2.3000000000000028E-04,  1.6869347774531748E-01,  1.3927047957394909E-04,  1.6122194992381031E-02,  3.1271039032696100E-10
