time_s,tes_temperature_K,tes_current_A,tes_resistance_ohm,tes_power_W
  2.0000011000000002E-02,  1.6843536120508007E-01,  1.4824811637927375E-04,  1.4909688401032156E-02,  3.2767760804586516E-10
  2.0000021000000003E-02,  1.6843536380574947E-01,  1.4824810887053050E-04,  1.4909745749873957E-02,  3.2767828592903225E-10
  2.0000031000000005E-02,  1.6843536637525705E-01,  1.4824809515520324E-04,  1.4909798985498893E-02,  3.2767917954797140E-10
  2.0000041000000007E-02,  1.6843536892702454E-01,  1.4824807574441163E-04,  1.4909848703070522E-02,  3.2768012978657955E-10
  2.0000051000000008E-02,  1.6843537147786886E-01,  1.4824805106673479E-04,  1.4909895533043518E-02,  3.2768106496193401E-10
  2.0000061000000010E-02,  1.6843537402455264E-01,  1.4824802152721257E-04,  1.4909939619331500E-02,  3.2768195170921762E-10
  2.0000071000000012E-02,  1.6843537656856461E-01,  1.4824798749665810E-04,  1.4909981198866953E-02,  3.2768277676919287E-10
  2.0000081000000013E-02,  1.6843537911137166E-01,  1.4824794931427552E-04,  1.4910020490867398E-02,  3.2768353667089422E-10
  2.0000091000000015E-02,  1.6843538165151048E-01,  1.4824790729774372E-04,  1.4910057633619744E-02,  3.2768423190060113E-10
  2.0000101000000017E-02,  1.6843538419091081E-01,  1.4824786173588933E-04,  1.4910092829864094E-02,  3.2768486556770973E-10
  2.0000201000000016E-02,  1.6843538672687913E-01,  1.4824756991722898E-04,  1.4909993953035106E-02,  3.2768458262298546E-10
  2.0000301000000015E-02,  1.6843541134607559E-01,  1.4824702104501033E-04,  1.4910276871845082E-02,  3.2768470710674488E-10
  2.0000401000000015E-02,  1.6843543540850628E-01,  1.4824633881986129E-04,  1.4910474079105757E-02,  3.2768495094610770E-10
  2.0000501000000014E-02,  1.6843545907401414E-01,  1.4824558911631820E-04,  1.4910625194033827E-02,  3.2768517107152297E-10
  2.0000601000000014E-02,  1.6843548242946252E-01,  1.4824480698721155E-04,  1.4910751341331491E-02,  3.2768530064418612E-10
  2.0000701000000013E-02,  1.6843550555337181E-01,  1.4824401057626137E-04,  1.4910864248119701E-02,  3.2768530064418612E-10
  2.0000801000000012E-02,  1.6843552842930629E-01,  1.4824321017331798E-04,  1.4910969125005863E-02,  3.2768518993313761E-10
  2.0000901000000012E-02,  1.6843555111367581E-01,  1.4824241057940815E-04,  1.4911069916845127E-02,  3.2768495829994094E-10
  2.0001001000000011E-02,  1.6843557363790046E-01,  1.4824161395430357E-04,  1.4911168541024283E-02,  3.2768461438286343E-10
  2.0002001000000012E-02,  1.6843559600868721E-01,  1.4824003641231468E-04,  1.4910838632085061E-02,  3.2768288246540128E-10
  2.0003001000000013E-02,  1.6843581241729791E-01,  1.4823308273125360E-04,  1.4912167155241268E-02,  3.2768116892189047E-10
  2.0004001000000014E-02,  1.6843602174577404E-01,  1.4822575937257435E-04,  1.4913127280410596E-02,  3.2767849866932276E-10
  2.0005001000000015E-02,  1.6843622348477488E-01,  1.4821863321929843E-04,  1.4914015425168639E-02,  3.2767489617586640E-10
  2.0006001000000016E-02,  1.6843641774110082E-01,  1.4821176329727587E-04,  1.4914866229259235E-02,  3.2767048569965268E-10
  2.0007001000000017E-02,  1.6843660313786069E-01,  1.4820519922401234E-04,  1.4915674164616852E-02,  3.2766538889389833E-10
  2.0008001000000018E-02,  1.6843677979269406E-01,  1.4819894276117381E-04,  1.4916442968738133E-02,  3.2765972426305430E-10
  2.0009001000000019E-02,  1.6843694741368515E-01,  1.4819300323423980E-04,  1.4917170819958053E-02,  3.2765359860915009E-10
  2.0010001000000020E-02,  1.6843710560927147E-01,  1.4818739392273738E-04,  1.4917855694158419E-02,  3.2764710950570303E-10
  2.0015001000000022E-02,  1.6843725396325943E-01,  1.4818162096613766E-04,  1.4918219042903177E-02,  3.2763951481233327E-10
  2.0020001000000023E-02,  1.6843790038788917E-01,  1.4815927788327588E-04,  1.4921332040918445E-02,  3.2762963537833841E-10
  2.0025001000000025E-02,  1.6843844019552853E-01,  1.4814019791076089E-04,  1.4923701980013540E-02,  3.2761750923715742E-10
  2.0030001000000026E-02,  1.6843887356564999E-01,  1.4812485312326454E-04,  1.4925589962656124E-02,  3.2760395362719738E-10
  2.0035001000000028E-02,  1.6843920407956564E-01,  1.4811313150031285E-04,  1.4927019636584826E-02,  3.2758970717850188E-10
  2.0040001000000029E-02,  1.6843943711681600E-01,  1.4810484527898529E-04,  1.4928015915696258E-02,  3.2757540683906680E-10
  2.0045001000000031E-02,  1.6843958251864277E-01,  1.4809965174966664E-04,  1.4928624801870280E-02,  3.2756157558802071E-10
  2.0050001000000033E-02,  1.6843964981824555E-01,  1.4809721513364742E-04,  1.4928888791453473E-02,  3.2754862903899042E-10
  2.0055001000000034E-02,  1.6843965132435401E-01,  1.4809710457103887E-04,  1.4928864210822138E-02,  3.2753687434362327E-10
  2.0060001000000036E-02,  1.6843959678197254E-01,  1.4809897499439435E-04,  1.4928593505553242E-02,  3.2752652844872130E-10
  2.0065001000000037E-02,  1.6843949958361315E-01,  1.4810235816936100E-04,  1.4928138267729874E-02,  3.2751771460637559E-10
  2.0070001000000039E-02,  1.6843936985352234E-01,  1.4810689513281001E-04,  1.4927542340749431E-02,  3.2751048112195827E-10
